year,specialite,iris,iris_string,type_iris,nb,apl,ap,accessibilite_weight,R,wpop,swpop,pop_gp,iris_label,dept,code_commune,commune_label
2021,10,60010000,060010000,C,0.0,32.9682379612206,0.0,1.0,0.0,99.27508944541934,295.0857981583066,99.27508944541934,Aiglun,6,06001,Aiglun
2021,10,60020000,060020000,C,0.0,0.0,0.0,1.0,0.0,59.473302103349994,254.9684503747953,59.473302103349994,Amirat,6,06002,Amirat
2021,10,60030000,060030000,C,0.0,16.99877950780932,0.0,1.0,0.0,621.7251244110578,1230.503600371796,621.7251244110578,Andon,6,06003,Andon
2021,10,60040101,060040101,C,0.0,139.84450092379325,0.0,1.0,0.0,1725.263969708488,190008.35891669826,1725.263969708488,Les Trois Moulins,6,06004,Antibes
2021,10,60040102,060040102,A,2.0,111.85803060040344,1.3172297942028932,1.0,1.3172297942028932,2534.690522791742,151833.7961077078,2534.690522791742,Les Semboules,6,06004,Antibes
2021,10,60040103,060040103,A,1.0,67.6678886153164,1.1528831591261137,1.0,1.1528831591261137,974.8094854116628,86739.05868813286,974.8094854116628,Le Cap,6,06004,Antibes
2021,10,60040104,060040104,A,1.0,131.70287284261454,0.561035223102214,1.0,0.561035223102214,2332.5421338232663,178241.9282822483,2332.5421338232663,Les Cougoulins-Rastines,6,06004,Antibes
2021,10,60040105,060040105,A,2.0,108.47531246858335,1.3489655030430558,1.0,1.3489655030430558,4423.197555291364,148261.7602517123,4423.197555291364,La Constance-Le Puy,6,06004,Antibes
2021,10,60040106,060040106,A,8.666666666666666,108.11734228105227,6.052585520383177,1.0,6.052585520383177,3110.1896219440955,143189.49542274285,3110.1896219440955,Les Groules-Les Bréguières,6,06004,Antibes
2021,10,60040107,060040107,A,4.0,113.38850414409346,2.6182336496024945,1.0,2.6182336496024945,3321.82665427777,152774.7533382778,3321.82665427777,Azurville-Val Claret,6,06004,Antibes
2021,10,60040108,060040108,A,0.0,108.48070594824603,0.0,1.0,0.0,2718.584679660336,146046.91222399523,2718.584679660336,La Fontonne,6,06004,Antibes
2021,10,60040109,060040109,A,2.0,119.61096802564757,1.226185767631282,1.0,1.226185767631282,6760.419622665008,163107.42244737965,6760.419622665008,Les Combes,6,06004,Antibes
2021,10,60040110,060040110,A,0.0,109.96197820524895,0.0,1.0,0.0,1671.4103680449703,145973.10387888062,1671.4103680449703,Rabiac-La Paganne,6,06004,Antibes
2021,10,60040111,060040111,A,0.0,100.13593238323355,0.0,1.0,0.0,3726.2058425035266,131022.42123803742,3726.2058425035266,La Colle,6,06004,Antibes
2021,10,60040112,060040112,A,1.5,118.30953422808001,0.9442946768084911,1.0,0.9442946768084911,2503.383255337639,158848.7192440469,2503.383255337639,Les Prugnons,6,06004,Antibes
2021,10,60040113,060040113,C,0.0,109.80462406092364,0.0,1.0,0.0,40.339531170456176,144538.50125015722,40.339531170456176,Port Vauban,6,06004,Antibes
2021,10,60040114,060040114,A,13.0,120.4311994071058,8.264734643264863,1.0,8.264734643264863,2833.07512561654,157294.8262845199,2833.07512561654,Lagare,6,06004,Antibes
2021,10,60040115,060040115,A,2.0,112.72624162605729,1.3914388528351282,1.0,1.3914388528351282,1942.3441375364816,143736.10424381186,1942.3441375364816,Vieille Ville,6,06004,Antibes
2021,10,60040116,060040116,A,3.0,118.43318117900193,1.8764515274888052,1.0,1.8764515274888052,4148.677167030895,159876.23213559925,4148.677167030895,Les Bastides,6,06004,Antibes
2021,10,60040117,060040117,A,1.0,120.01588239029634,0.6220499780996684,1.0,0.6220499780996684,4456.311612263896,160758.787108224,4456.311612263896,Fontmerle,6,06004,Antibes
2021,10,60040118,060040118,A,0.5,106.74648792810646,0.3559627967795315,1.0,0.3559627967795315,2975.9651672914906,140464.11718404357,2975.9651672914906,Laval,6,06004,Antibes
2021,10,60040119,060040119,A,0.0,115.08648018940397,0.0,1.0,0.0,3723.4434240882706,156777.19879208866,3723.4434240882706,L'Estagnol,6,06004,Antibes
2021,10,60040120,060040120,A,0.0,105.94243673431745,0.0,1.0,0.0,2252.775201690588,139461.587870567,2252.775201690588,Saint-Jean,6,06004,Antibes
2021,10,60040121,060040121,A,0.0,96.35709118395772,0.0,1.0,0.0,1588.619821889571,126980.43126851914,1588.619821889571,La Badine,6,06004,Antibes
2021,10,60040122,060040122,A,4.0,105.36457177167055,2.862990712445914,1.0,2.862990712445914,3244.0359088059304,139714.04037782276,3244.0359088059304,Saint-Maymes-Lauvert,6,06004,Antibes
2021,10,60040123,060040123,A,23.0,115.63089988897751,15.499302756851655,1.0,15.499302756851655,5166.73452808216,148393.77203489086,5166.73452808216,Place de Gaulle,6,06004,Antibes
2021,10,60040124,060040124,A,3.0,100.59858370695828,2.3122942874367904,1.0,2.3122942874367904,5150.33193122612,129741.27109597024,5150.33193122612,Ponteil,6,06004,Antibes
2021,10,60040125,060040125,A,11.5,102.23010701083986,8.811374546094198,1.0,8.811374546094198,4981.348137184504,130513.12187265477,4981.348137184504,Juan Les Pins-Gallice,6,06004,Antibes
2021,10,60040126,060040126,A,4.0,104.56695545597735,2.8994589163585696,1.0,2.8994589163585696,4992.927037864056,137956.7745358365,4992.927037864056,Pont du Lys-Antibes-Les Pins,6,06004,Antibes
2021,10,60050000,060050000,C,0.0,0.0,0.0,1.0,0.0,192.485774178462,345.68087622915846,192.485774178462,Ascros,6,06005,Ascros
2021,10,60060000,060060000,C,2.0,44.83066166167441,2.7739808398418635,1.0,2.7739808398418635,2333.046163644596,72098.55134089585,2333.046163644596,Aspremont,6,06006,Aspremont
2021,10,60070000,060070000,C,4.0,72.91475189117115,6.157149389442183,1.0,6.157149389442183,3295.046983794779,64965.1282923052,3295.046983794779,Auribeau-sur-Siagne,6,06007,Auribeau-sur-Siagne
2021,10,60080000,060080000,C,0.0,2.7973389481014648,0.0,1.0,0.0,46.129195286536195,196.16241185620657,46.129195286536195,Auvare,6,06008,Auvare
2021,10,60090000,060090000,C,0.0,0.0,0.0,1.0,0.0,126.47032458981528,130.42336803406602,126.47032458981528,Bairols,6,06009,Bairols
2021,10,60100000,060100000,C,3.0,45.56425498449109,10.162939159451676,1.0,10.162939159451676,3031.52237477366,29519.01957624097,3031.52237477366,Le Bar-sur-Loup,6,06010,Le Bar-sur-Loup
2021,10,60110000,060110000,C,5.0,55.40915800499292,6.591723545609167,1.0,6.591723545609167,4190.2325468220915,75852.69566304196,4190.2325468220915,Beaulieu-sur-Mer,6,06011,Beaulieu-sur-Mer
2021,10,60120101,060120101,A,0.0,67.08685670036233,0.0,1.0,0.0,2196.550399595311,60638.8574092283,2196.550399595311,Beausoleil Supérieur,6,06012,Beausoleil
2021,10,60120102,060120102,A,6.0,67.98942980808995,12.104909858796747,1.0,12.104909858796747,2537.484409526203,49566.66402302654,2537.484409526203,Tenao Inférieur,6,06012,Beausoleil
2021,10,60120103,060120103,A,1.0,70.16538718112002,1.6094820126904321,1.0,1.6094820126904321,2343.4491596094504,62131.79098089989,2343.4491596094504,Moneghetti Ouest,6,06012,Beausoleil
2021,10,60120104,060120104,A,2.0,70.22172637057196,3.4521994160502834,1.0,3.4521994160502834,2513.3470152725586,57934.08082689012,2513.3470152725586,Moneghetti Est,6,06012,Beausoleil
2021,10,60120105,060120105,A,10.0,70.40227218260166,19.439356345824468,1.0,19.439356345824468,3135.4575227099845,51442.03245262273,3135.4575227099845,Centre,6,06012,Beausoleil
2021,10,60130000,060130000,C,0.0,37.447682740002165,0.0,1.0,0.0,690.3084334408102,1681.3580434656183,690.3084334408102,Belvédère,6,06013,Belvédère
2021,10,60140000,060140000,C,0.0,3.9075297193455025,0.0,1.0,0.0,1039.1511036972913,3700.8189761402255,1039.1511036972913,Bendejun,6,06014,Bendejun
2021,10,60150000,060150000,C,0.0,12.547342407073014,0.0,1.0,0.0,1287.396728151346,12378.495956317089,1287.396728151346,Berre-les-Alpes,6,06015,Berre-les-Alpes
2021,10,60160000,060160000,C,0.0,2.7442533306401713,0.0,1.0,0.0,622.4346360512687,678.4345710804909,622.4346360512687,Beuil,6,06016,Beuil
2021,10,60170000,060170000,C,0.0,9.887037292658704,0.0,1.0,0.0,260.1954474828273,1968.4259282936166,260.1954474828273,Bézaudun-les-Alpes,6,06017,Bézaudun-les-Alpes
2021,10,60180101,060180101,A,7.0,99.08702384801335,5.351048616222628,1.0,5.351048616222628,3247.5409028720733,130815.48126433184,3247.5409028720733,Village-Saint-Julien-Saint-Pierre,6,06018,Biot
2021,10,60180102,060180102,A,0.0,70.89242102522398,0.0,1.0,0.0,3046.0404332602075,92136.41997843122,3046.0404332602075,Vallée Verte-Issarts-Vignasses,6,06018,Biot
2021,10,60180103,060180103,A,2.0,103.93294033431,1.471416887796594,1.0,1.471416887796594,3405.552627734118,135923.40937414035,3405.552627734118,Bois Fleuri-Chèvre d'Or-Saint-Philippe,6,06018,Biot
2021,10,60190000,060190000,C,2.0,31.659547588448465,6.338590204716976,1.0,6.338590204716976,1672.3535045182405,31552.757559743553,1672.3535045182405,Blausasc,6,06019,Blausasc
2021,10,60200000,060200000,C,0.0,49.396683643483975,0.0,1.0,0.0,648.5773442274411,1962.2128261412513,648.5773442274411,La Bollène-Vésubie,6,06020,La Bollène-Vésubie
2021,10,60210000,060210000,C,0.0,16.0597547084892,0.0,1.0,0.0,713.7418511381355,4770.4318318794285,713.7418511381355,Bonson,6,06021,Bonson
2021,10,60220000,060220000,C,0.5,16.821102661292425,12.75794323049753,1.0,12.75794323049753,515.6865915601827,3919.127017313912,515.6865915601827,Bouyon,6,06022,Bouyon
2021,10,60230000,060230000,C,4.5,163.4164807352446,158.99807987375002,1.0,158.99807987375002,2450.5092970441037,2830.222857768569,2450.5092970441037,Breil-sur-Roya,6,06023,Breil-sur-Roya
2021,10,60240000,060240000,C,0.0,0.0,0.0,1.0,0.0,217.23466068681986,342.83326941662324,217.23466068681986,Briançonnet,6,06024,Briançonnet
2021,10,60250000,060250000,C,0.0,15.41295898873743,0.0,1.0,0.0,1362.0145737163662,12517.524059193782,1362.0145737163662,Le Broc,6,06025,Le Broc
2021,10,60260000,060260000,C,1.0,64.15067991325678,2.2687647981688355,1.0,2.2687647981688355,1535.0767148061875,44076.84749019024,1535.0767148061875,Cabris,6,06026,Cabris
2021,10,60270101,060270101,A,11.0,136.2858375568229,5.790071443939672,1.0,5.790071443939672,5028.217368912361,189980.38463779984,5028.217368912361,Le Centre-Le Haut de Cagnes,6,06027,Cagnes-sur-Mer
2021,10,60270102,060270102,A,5.0,138.7668167174335,2.604555698787659,1.0,2.604555698787659,4194.666646902857,191971.32172398336,4194.666646902857,La Gare,6,06027,Cagnes-sur-Mer
2021,10,60270103,060270103,A,14.0,141.85448375466086,7.097379373237527,1.0,7.097379373237527,3011.922495189955,197255.906212236,3011.922495189955,L'Hubac,6,06027,Cagnes-sur-Mer
