IRIS1,IRIS,TYP_IRIS,NB,APL,LIB_IRIS,DEP,DEPCOM,LIBCOM,YEAR,SPECIALITE
60010000,060010000,C,0.0,34.4781648949996,Aiglun,6,06001,Aiglun,2021,10
60020000,060020000,C,0.0,0.0,Amirat,6,06002,Amirat,2021,10
60030000,060030000,C,0.0,18.18459494731021,Andon,6,06003,Andon,2021,10
60040101,060040101,C,0.0,153.50493671746676,Les Trois Moulins,6,06004,Antibes,2021,10
60040102,060040102,A,2.0,122.8174347122494,Les Semboules,6,06004,Antibes,2021,10
60040103,060040103,A,1.0,74.59168793722192,Le Cap,6,06004,Antibes,2021,10
60040104,060040104,A,1.0,144.59221742364605,Les Cougoulins-Rastines,6,06004,Antibes,2021,10
60040105,060040105,A,2.0,119.25451996822399,La Constance-Le Puy,6,06004,Antibes,2021,10
60040106,060040106,A,8.666666666666666,118.84614696523509,Les Groules-Les Bréguières,6,06004,Antibes,2021,10
60040107,060040107,A,4.0,124.73049470776066,Azurville-Val Claret,6,06004,Antibes,2021,10
60040108,060040108,A,0.0,119.30837460853503,La Fontonne,6,06004,Antibes,2021,10
60040109,060040109,A,2.0,131.4838399974632,Les Combes,6,06004,Antibes,2021,10
60040110,060040110,A,0.0,120.98751061437348,Rabiac-La Paganne,6,06004,Antibes,2021,10
60040111,060040111,A,0.0,110.32352232108363,La Colle,6,06004,Antibes,2021,10
60040112,060040112,A,1.5,130.17151942658487,Les Prugnons,6,06004,Antibes,2021,10
60040113,060040113,C,0.0,120.85810504944118,Port Vauban,6,06004,Antibes,2021,10
60040114,060040114,A,13.0,132.59244055445066,Lagare,6,06004,Antibes,2021,10
60040115,060040115,A,2.0,124.15693957481585,Vieille Ville,6,06004,Antibes,2021,10
60040116,060040116,A,3.0,130.2317924447035,Les Bastides,6,06004,Antibes,2021,10
60040117,060040117,A,1.0,132.05267692079497,Fontmerle,6,06004,Antibes,2021,10
60040118,060040118,A,0.5,117.50231538280568,Laval,6,06004,Antibes,2021,10
60040119,060040119,A,0.0,126.54163625719241,L'Estagnol,6,06004,Antibes,2021,10
60040120,060040120,A,0.0,116.63053971165156,Saint-Jean,6,06004,Antibes,2021,10
60040121,060040121,A,0.0,106.12516123538016,La Badine,6,06004,Antibes,2021,10
60040122,060040122,A,4.0,115.96439928829783,Saint-Maymes-Lauvert,6,06004,Antibes,2021,10
60040123,060040123,A,23.0,127.3530397034662,Place de Gaulle,6,06004,Antibes,2021,10
60040124,060040124,A,3.0,110.8194104264615,Ponteil,6,06004,Antibes,2021,10
60040125,060040125,A,11.5,112.67076107472599,Juan Les Pins-Gallice,6,06004,Antibes,2021,10
60040126,060040126,A,4.0,115.15382977747667,Pont du Lys-Antibes-Les Pins,6,06004,Antibes,2021,10
60050000,060050000,C,0.0,0.0,Ascros,6,06005,Ascros,2021,10
60060000,060060000,C,2.0,49.0888756090507,Aspremont,6,06006,Aspremont,2021,10
60070000,060070000,C,4.0,79.24138938859473,Auribeau-sur-Siagne,6,06007,Auribeau-sur-Siagne,2021,10
60080000,060080000,C,0.0,2.958050221543333,Auvare,6,06008,Auvare,2021,10
60090000,060090000,C,0.0,0.0,Bairols,6,06009,Bairols,2021,10
60100000,060100000,C,3.0,49.118004502490194,Le Bar-sur-Loup,6,06010,Le Bar-sur-Loup,2021,10
60110000,060110000,C,5.0,60.66049712497816,Beaulieu-sur-Mer,6,06011,Beaulieu-sur-Mer,2021,10
60120101,060120101,A,0.0,72.80705759730364,Beausoleil Supérieur,6,06012,Beausoleil,2021,10
60120102,060120102,A,6.0,73.63268156321149,Tenao Inférieur,6,06012,Beausoleil,2021,10
60120103,060120103,A,1.0,76.12531619356434,Moneghetti Ouest,6,06012,Beausoleil,2021,10
60120104,060120104,A,2.0,76.12486980845539,Moneghetti Est,6,06012,Beausoleil,2021,10
60120105,060120105,A,10.0,76.23110600340355,Centre,6,06012,Beausoleil,2021,10
60130000,060130000,C,0.0,41.07306340646495,Belvédère,6,06013,Belvédère,2021,10
60140000,060140000,C,0.0,4.245256656617187,Bendejun,6,06014,Bendejun,2021,10
60150000,060150000,C,0.0,13.666070342643367,Berre-les-Alpes,6,06015,Berre-les-Alpes,2021,10
60160000,060160000,C,0.0,3.1895499518625154,Beuil,6,06016,Beuil,2021,10
60170000,060170000,C,0.0,10.59489994072311,Bézaudun-les-Alpes,6,06017,Bézaudun-les-Alpes,2021,10
60180101,060180101,A,7.0,108.82435226636072,Village-Saint-Julien-Saint-Pierre,6,06018,Biot,2021,10
60180102,060180102,A,0.0,77.78131300991251,Vallée Verte-Issarts-Vignasses,6,06018,Biot,2021,10
60180103,060180103,A,2.0,113.99237438954204,Bois Fleuri-Chèvre d'Or-Saint-Philippe,6,06018,Biot,2021,10
60190000,060190000,C,2.0,34.50790691199368,Blausasc,6,06019,Blausasc,2021,10
60200000,060200000,C,0.0,54.154048730777525,La Bollène-Vésubie,6,06020,La Bollène-Vésubie,2021,10
60210000,060210000,C,0.0,17.26433472539842,Bonson,6,06021,Bonson,2021,10
60220000,060220000,C,0.5,17.868545350686876,Bouyon,6,06022,Bouyon,2021,10
60230000,060230000,C,4.5,182.11824609549078,Breil-sur-Roya,6,06023,Breil-sur-Roya,2021,10
60240000,060240000,C,0.0,0.0,Briançonnet,6,06024,Briançonnet,2021,10
60250000,060250000,C,0.0,16.644700656976447,Le Broc,6,06025,Le Broc,2021,10
60260000,060260000,C,1.0,69.01211943222266,Cabris,6,06026,Cabris,2021,10
60270101,060270101,A,11.0,149.54916908811066,Le Centre-Le Haut de Cagnes,6,06027,Cagnes-sur-Mer,2021,10
60270102,060270102,A,5.0,152.25154370533275,La Gare,6,06027,Cagnes-sur-Mer,2021,10
60270103,060270103,A,14.0,155.6244985868513,L'Hubac,6,06027,Cagnes-sur-Mer,2021,10
60270104,060270104,A,4.5,129.38527069969052,Saint-Jean,6,06027,Cagnes-sur-Mer,2021,10
60270105,060270105,A,0.0,136.030218827223,Saint-Véran,6,06027,Cagnes-sur-Mer,2021,10
60270106,060270106,D,3.0,118.72179139510682,Hippodrome,6,06027,Cagnes-sur-Mer,2021,10
60270107,060270107,A,6.0,162.39192704318071,Juin-Kennedy,6,06027,Cagnes-sur-Mer,2021,10
60270108,060270108,A,1.0,148.7098933432615,Le Cros de Cagnes,6,06027,Cagnes-sur-Mer,2021,10
60270109,060270109,A,1.0,157.34106624536906,Les Vespins,6,06027,Cagnes-sur-Mer,2021,10
60270110,060270110,A,3.0,143.98643284576448,Bréguières Sud,6,06027,Cagnes-sur-Mer,2021,10
60270111,060270111,A,1.0,127.59204670927362,Bréguières Nord,6,06027,Cagnes-sur-Mer,2021,10
60270112,060270112,A,2.0,81.08057336420917,Le Nord-Est,6,06027,Cagnes-sur-Mer,2021,10
60270113,060270113,A,2.0,119.17289385617116,Les Gros Buaux,6,06027,Cagnes-sur-Mer,2021,10
60270114,060270114,A,2.0,121.00994921230846,Les Colettes,6,06027,Cagnes-sur-Mer,2021,10
60270115,060270115,A,0.0,100.53807303421553,Le Nord-Ouest,6,06027,Cagnes-sur-Mer,2021,10
60270116,060270116,A,2.0,159.01830758703605,Le Village du Cros,6,06027,Cagnes-sur-Mer,2021,10
60270117,060270117,A,3.0,158.0081673075123,RN7,6,06027,Cagnes-sur-Mer,2021,10
60280000,060280000,C,0.0,33.13449233098019,Caille,6,06028,Caille,2021,10
60290101,060290101,A,4.0,104.68548668443346,Moure Rouge,6,06029,Cannes,2021,10
60290102,060290102,A,3.0,119.89641402579801,La Source,6,06029,Cannes,2021,10
60290103,060290103,A,2.0,104.95962814030783,La Californie,6,06029,Cannes,2021,10
60290104,060290104,A,0.0,103.41701584969321,Montfleury,6,06029,Cannes,2021,10
60290105,060290105,A,0.0,135.86660019776986,La Peyrière,6,06029,Cannes,2021,10
60290106,060290106,A,6.0,108.78032701273136,Terrefial,6,06029,Cannes,2021,10
60290107,060290107,A,7.5,145.019608661762,Camp Long,6,06029,Cannes,2021,10
60290108,060290108,A,1.0,135.18335460063153,Carnot,6,06029,Cannes,2021,10
60290109,060290109,A,1.0,131.08556410367066,Saint-Nicolas,6,06029,Cannes,2021,10
60290110,060290110,A,5.0,136.7868533364161,Gare,6,06029,Cannes,2021,10
60290111,060290111,A,17.0,123.38398596680177,Croisette-Palm-Beach,6,06029,Cannes,2021,10
60290112,060290112,A,6.0,141.11369724315938,Petit Juas,6,06029,Cannes,2021,10
60290113,060290113,A,1.0,115.27614923324022,Vallergues,6,06029,Cannes,2021,10
60290114,060290114,A,3.5,128.3793341548653,Broussailles,6,06029,Cannes,2021,10
60290115,060290115,A,2.0,117.25015218468477,Tassigny,6,06029,Cannes,2021,10
60290116,060290116,A,1.0,139.49427383196257,Stanislas,6,06029,Cannes,2021,10
60290117,060290117,A,4.0,94.74870986043118,Le Vieux Port-Les îles,6,06029,Cannes,2021,10
60290118,060290118,A,1.0,130.4811682946848,Le Grand Jas,6,06029,Cannes,2021,10
60290119,060290119,A,2.0,124.56882614965548,Le Riou,6,06029,Cannes,2021,10
60290120,060290120,A,0.0,86.33631966284865,Croix des Gardes,6,06029,Cannes,2021,10
60290121,060290121,A,7.0,111.59806886717108,Pierre Longue,6,06029,Cannes,2021,10
60290122,060290122,A,0.0,94.15283305806965,Font de Veyre,6,06029,Cannes,2021,10
60290123,060290123,A,5.0,109.87172227627318,Saint-Joseph,6,06029,Cannes,2021,10
60290124,060290124,C,4.0,93.68841411378443,Saint-Cassien-Bastide Rouge,6,06029,Cannes,2021,10
60290125,060290125,A,7.5,108.85087056251432,Bocca Centre,6,06029,Cannes,2021,10
60290126,060290126,A,0.0,114.85894121646955,Les Mûriers,6,06029,Cannes,2021,10
60290127,060290127,A,1.0,115.52833857030414,Le Plan,6,06029,Cannes,2021,10
60290128,060290128,A,1.0,108.64801669929159,Colline des Puits,6,06029,Cannes,2021,10
60290130,060290130,A,0.0,112.35089924492657,Ranguin,6,06029,Cannes,2021,10
60290131,060290131,A,0.0,93.36394516317193,Le Grand Saule,6,06029,Cannes,2021,10
60290132,060290132,A,0.0,121.22442827953165,Pont d'Avril-L'Abadie,6,06029,Cannes,2021,10
60300101,060300101,A,2.0,116.64347510960287,Garibondy,6,06030,Le Cannet,2021,10
