IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
60010000,Z,0,0,Aiglun (commune non irisée),06001,Aiglun
60020000,Z,0,0,Amirat (commune non irisée),06002,Amirat
60030000,Z,0,19.307055,Andon (commune non irisée),06003,Andon
60040101,A,0,187.79898,Les Trois Moulins,06004,Antibes
60040102,H,2,154.79964,Les Semboules,06004,Antibes
60040103,H,0,60.522591,Le Cap,06004,Antibes
60040104,H,1,178.16772,Les Cougoulins-Rastines,06004,Antibes
60040105,H,2,122.18807,La Constance-Le Puy,06004,Antibes
60040106,H,8.8299999,116.33142,Les Groules-Les Bréguières,06004,Antibes
60040107,H,4.5,107.74518,Azurville-Val Claret,06004,Antibes
60040108,H,0,110.15157,La Fontonne,06004,Antibes
60040109,H,2,145.65378,Les Combes,06004,Antibes
60040110,H,0,114.18756,Rabiac-La Paganne,06004,Antibes
60040111,H,0,113.91683,La Colle,06004,Antibes
60040112,H,2.6600001,116.57404,Les Prugnons,06004,Antibes
60040113,A,0,82.870033,Port Vauban,06004,Antibes
60040114,H,11,131.45462,Lagare,06004,Antibes
60040115,H,2.5,87.039795,Vieille Ville,06004,Antibes
60040116,H,3,143.2384,Les Bastides,06004,Antibes
60040117,H,1,139.33267,Fontmerle,06004,Antibes
60040118,H,.5,119.23777,Laval,06004,Antibes
60040119,H,0,140.05887,L'Estagnol,06004,Antibes
60040120,H,0,120.87599,Saint-Jean,06004,Antibes
60040121,H,0,104.2617,La Badine,06004,Antibes
60040122,H,4,123.11762,Saint-Maymes-Lauvert,06004,Antibes
60040123,H,22,124.99866,Place de Gaulle,06004,Antibes
60040124,H,3,96.324066,Ponteil,06004,Antibes
60040125,H,9,99.917488,Juan Les Pins-Gallice,06004,Antibes
60040126,H,3,116.20336,Pont du Lys-Antibes-Les Pins,06004,Antibes
60050000,Z,0,0,Ascros (commune non irisée),06005,Ascros
60060000,Z,2.3299999,40.934875,Aspremont (commune non irisée),06006,Aspremont
60070000,Z,4,71.485489,Auribeau-sur-Siagne (commune non irisée),06007,Auribeau-sur-Siagne
60080000,Z,0,0,Auvare (commune non irisée),06008,Auvare
60090000,Z,0,2.2168291,Bairols (commune non irisée),06009,Bairols
60100000,Z,3,60.486225,Le Bar-sur-Loup (commune non irisée),06010,Le Bar-sur-Loup
60110000,Z,5,62.382038,Beaulieu-sur-Mer (commune non irisée),06011,Beaulieu-sur-Mer
60120101,H,0,73.563972,Beausoleil Supérieur,06012,Beausoleil
60120102,H,6.5,93.743706,Tenao Inférieur,06012,Beausoleil
