,IRIS1,IRIS2,TIME
0,60010000,60010000,0.0
3957,61060000,60010000,17.983334
5057,61350000,60010000,16.3
3290,60810000,60010000,14.466666
1821,60520000,60010000,20.733334
5024,61310000,60010000,29.733334
4230,61160000,60020000,26.116667
4218,61150000,60020000,29.133333
5,60020000,60020000,0.0
727,60240000,60020000,12.466666
5025,61310000,60020000,16.033333
5058,61350000,60020000,25.2
1574,60450000,60020000,9.483334
2735,60930000,60020000,26.583334
3474,60870000,60020000,10.333333
2453,60630000,60020000,10.883333
5047,61340000,60030000,9.116667
4231,61160000,60030000,28.85
2749,61070000,60030000,19.583334
2685,60700000,60030000,19.55
1342,60370000,60030000,16.383333
4987,61300000,60030000,23.783333
2646,60680000,60030000,29.766666
807,60280000,60030000,6.4333334
2072,60580000,60030000,15.783334
15,60030000,60030000,0.0
5547,61540000,60030000,9.116667
5164,61380000,60040101,26.833334
21370,60290121,60040101,24.516666
17147,60270114,60040101,16.2
66356,60883102,60040101,12.783334
76778,61550109,60040101,15.016666
839,60310000,60040101,28.433332
57196,60882202,60040101,24.133333
54045,60881803,60040101,21.366667
5096,61370000,60040101,29.083334
54773,60881901,60040101,20.716667
68793,60883801,60040101,25.566668
51344,60881602,60040101,21.116667
30200,60690112,60040101,15.516666
79742,61610105,60040101,6.7833333
30390,60690113,60040101,16.633333
22441,60290128,60040101,16.95
57851,60882302,60040101,23.316668
78458,61610101,60040101,13.0
50899,60881506,60040101,24.9
19989,60290112,60040101,15.8
25848,60300115,60040101,16.716667
24657,60300109,60040101,13.85
21232,60290120,60040101,20.9
44457,60881005,60040101,27.966667
33862,60850103,60040101,17.25
30870,60690117,60040101,24.283333
51122,60881601,60040101,24.35
65770,60883003,60040101,16.633333
30745,60690116,60040101,25.55
9347,60040116,60040101,6.5666666
74605,61520103,60040101,8.933333
30580,60690114,60040101,21.783333
2476,60640000,60040101,27.833334
1388,60380000,60040101,23.633333
23672,60300104,60040101,17.183332
38816,60880502,60040101,25.25
46664,60881204,60040101,24.15
66063,60883101,60040101,17.066668
60913,60882702,60040101,17.833334
39044,60880503,60040101,27.45
11303,60040124,60040101,14.4
39262,60880504,60040101,26.666666
39479,60880505,60040101,27.116667
44675,60881101,60040101,23.516666
16867,60270113,60040101,16.666666
19863,60290111,60040101,20.683332
74442,61520102,60040101,17.8
34044,60850104,60040101,17.383333
23501,60300103,60040101,17.633333
29755,60690109,60040101,21.033333
50677,60881505,60040101,26.183332
