IRIS1,TYP_IRIS,POPGP,NB,R,IRIS2
60010000,C,92.810629272,0.0,0.0,60010000
60020000,C,58.1517977459779,0.0,0.0,60020000
60030000,C,625.8173634430001,0.0,0.0,60030000
60040101,C,1559.6935227169167,0.0,0.0,60040101
60040102,A,2368.339364706736,2.0,1.4459186538108006,60040102
60040103,A,858.1083505527552,1.0,1.2832528872642261,60040103
60040104,A,2059.8165162271644,1.0,0.6157651876090283,60040104
60040105,A,3898.0062263673185,2.0,1.4861357364081162,60040105
60040106,A,2729.254385908428,8.666666666666666,6.675588874910859,60040106
60040107,A,3125.7062450304884,4.0,2.890352701600901,60040107
60040108,A,2400.1678759393376,0.0,0.0,60040108
60040109,A,6536.135719599222,2.0,1.3489768204931727,60040109
60040110,A,1571.465637239603,0.0,0.0,60040110
60040111,A,3133.012295225441,0.0,0.0,60040111
60040112,A,2287.338733547636,1.5,1.0437777196066056,60040112
60040113,C,40.87314598855994,0.0,0.0,60040113
60040114,A,2462.8151706336967,13.0,9.14853601292216,60040114
60040115,A,1743.5881369807926,2.0,1.5418829346101346,60040115
60040116,A,3810.4908625358303,3.0,2.0663013428976034,60040116
60040117,A,4058.086139785255,1.0,0.6868800742062936,60040117
60040118,A,2703.345683950878,0.5,0.39351331534460504,60040118
60040119,A,3540.772433738166,0.0,0.0,60040119
60040120,A,2215.7682683990206,0.0,0.0,60040120
60040121,A,1373.610461413903,0.0,0.0,60040121
60040122,A,2859.507946747097,4.0,3.1694970436052117,60040122
60040123,A,4410.601617074725,23.0,17.180577670982938,60040123
60040124,A,4245.417185281099,3.0,2.5656724544333986,60040124
60040125,A,4115.257765455374,11.5,9.799115149932742,60040125
60040126,A,4568.607301510843,4.0,3.2157381101701055,60040126
60050000,C,177.0821450619164,0.0,0.0,60050000
60060000,C,2252.3546765663714,2.0,3.033421567968683,60060000
60070000,C,3091.631306902,4.0,6.658752020340156,60070000
60080000,C,38.693573621480006,0.0,0.0,60080000
60090000,C,107.59994781375178,0.0,0.0,60090000
60100000,C,2827.7078154320743,3.0,10.856107513424993,60100000
60110000,C,3695.103748435545,5.0,7.226542142400777,60110000
60120101,A,2120.3340579100045,0.0,0.0,60120101
60120102,A,2657.985358242411,6.0,13.006685449940527,60120102
60120103,A,2293.925223179513,1.0,1.7354506683127608,60120103
60120104,A,2365.057320011218,2.0,3.718308963957777,60120104
60120105,A,3164.5800498473977,10.0,20.882565753963668,60120105
60130000,C,673.7970550886921,0.0,0.0,60130000
60140000,C,927.3755827043572,0.0,0.0,60140000
60150000,C,1238.2796256617862,0.0,0.0,60150000
60160000,C,580.0520872440399,0.0,0.0,60160000
60170000,C,243.80979724773758,0.0,0.0,60170000
60180101,A,2971.450953223666,7.0,5.8833027792413874,60180101
60180102,A,2773.0850325453275,0.0,0.0,60180102
60180103,A,3349.635265837922,2.0,1.60994311945422,60180103
60190000,C,1617.0070820442052,2.0,6.8726536624222865,60190000
60200000,C,595.6506795121179,0.0,0.0,60200000
60210000,C,684.25003547776,0.0,0.0,60210000
60220000,C,516.6478347994562,0.5,13.440022328873582,60220000
60230000,C,2181.737619314167,4.5,178.10517426649383,60230000
60240000,C,212.52477344117338,0.0,0.0,60240000
60250000,C,1333.5045862148424,0.0,0.0,60250000
60260000,C,1443.5236668978469,1.0,2.4283827489058827,60260000
60270101,A,4325.65373628317,11.0,6.36963992155668,60270101
