IRIS1,IRIS2,KM,TIME
40080000,60530000,17,22
40080000,60990000,21,24
40390000,61540000,24,30
40420000,60530000,11,19
40420000,60710000,22,30
40420000,60990000,17,24
40420000,61240000,15,30
40430000,60020000,15,20
40430000,60240000,8,11
40430000,60450000,18,23
40430000,60630000,17,25
40430000,60870000,18,22
40430000,60990000,18,27
40430000,61160000,16,26
40430000,61310000,22,28
40690000,61160000,16,21
40760000,60240000,16,25
40760000,60510000,16,23
40760000,60530000,15,19
40760000,60980000,13,18
40760000,60990000,7,9
40760000,61240000,19,30
40760000,61430000,17,20
40900000,60530000,22,28
40900000,60990000,26,30
40920000,60280000,22,29
40920000,61160000,24,30
40920000,61340000,19,26
40920000,61540000,20,25
41480000,60030000,22,25
41480000,60240000,20,30
41480000,60280000,16,19
41480000,60580000,23,27
41480000,61160000,14,17
41480000,61340000,13,16
41480000,61540000,10,12
41700000,60020000,22,28
41700000,60050000,19,30
41700000,60450000,16,21
41700000,60520000,20,27
41700000,60870000,18,23
41700000,60930000,13,17
41700000,61060000,18,24
41700000,61070000,19,26
41700000,61150000,13,20
41700000,61310000,12,17
41700000,61350000,13,17
41740000,60530000,14,20
41740000,60990000,18,22
41940000,60010000,18,25
41940000,60020000,17,22
41940000,60050000,15,23
41940000,60240000,21,26
41940000,60450000,11,15
41940000,60520000,15,20
41940000,60630000,19,27
41940000,60870000,13,17
41940000,60930000,8,11
41940000,60990000,18,30
41940000,61060000,14,18
41940000,61070000,15,19
41940000,61150000,9,14
41940000,61310000,8,10
41940000,61350000,8,10
42020000,60530000,6,9
42020000,60710000,17,20
42020000,60940000,23,28
42020000,60980000,24,30
42020000,60990000,18,20
42020000,61240000,10,20
42020000,61600000,24,29
42100000,60240000,14,23
42100000,61160000,8,9
42100000,61540000,25,30
42240000,60240000,18,23
60010000,41940000,18,25
60010000,60010000,0,0
60010000,60520000,13,17
60010000,60810000,9,16
60010000,60930000,20,29
60010000,61060000,11,15
60010000,61070000,12,16
60010000,61310000,19,27
60010000,61350000,10,15
60020000,40430000,15,20
60020000,41700000,22,28
60020000,41940000,17,22
60020000,60020000,0,0
60020000,60240000,7,10
60020000,60450000,6,8
60020000,60630000,6,11
60020000,60870000,6,8
60020000,60930000,20,26
60020000,61150000,20,28
60020000,61160000,15,25
60020000,61310000,11,14
60020000,61350000,19,24
60030000,41480000,22,25
60030000,60030000,0,0
60030000,60280000,6,7
60030000,60370000,14,20
60030000,60410000,23,30
60030000,60580000,16,19
60030000,60700000,15,19
60030000,61340000,8,10
60030000,61540000,10,15
60030000,830100000,26,29
60030000,830130000,19,22
60030000,830400000,22,26
60030000,830740000,20,23
60030000,830800000,23,28
60030000,831090000,22,24
60040101,60040101,0,0
60040101,60040102,3,4
60040101,60040103,8,11
60040101,60040104,11,8
60040101,60040105,3,5
60040101,60040106,7,8
60040101,60040107,5,7
60040101,60040108,4,6
60040101,60040109,2,3
60040101,60040110,4,5
60040101,60040111,6,8
60040101,60040112,4,6
60040101,60040113,6,7
60040101,60040114,5,6
60040101,60040115,5,7
60040101,60040116,3,4
60040101,60040117,4,5
60040101,60040118,4,5
60040101,60040119,3,4
60040101,60040120,5,6
60040101,60040121,6,7
60040101,60040122,4,5
60040101,60040123,5,6
60040101,60040124,6,7
60040101,60040125,6,8
60040101,60040126,5,7
60040101,60070000,17,22
60040101,60100000,20,25
60040101,60180101,5,6
60040101,60180102,7,9
60040101,60180103,3,4
60040101,60260000,21,26
60040101,60270101,11,9
60040101,60270102,10,9
60040101,60270103,11,9
60040101,60270104,12,11
60040101,60270105,10,8
60040101,60270106,9,10
60040101,60270107,10,8
60040101,60270108,10,10
60040101,60270109,12,10
60040101,60270110,11,10
60040101,60270111,12,11
60040101,60270112,14,16
60040101,60270113,13,13
60040101,60270114,12,11
60040101,60270115,13,14
60040101,60270116,11,10
60040101,60270117,10,9
60040101,60290101,10,13
60040101,60290102,10,12
60040101,60290103,10,12
60040101,60290104,10,14
60040101,60290105,13,13
60040101,60290106,10,14
60040101,60290107,12,12
60040101,60290108,12,12
60040101,60290109,13,13
60040101,60290110,11,14
60040101,60290111,11,14
60040101,60290112,12,11
60040101,60290113,13,14
60040101,60290114,12,12
60040101,60290115,13,13
60040101,60290116,13,13
60040101,60290117,11,15
60040101,60290118,12,12
60040101,60290119,13,14
60040101,60290120,14,16
60040101,60290121,15,15
60040101,60290122,15,16
60040101,60290123,15,16
60040101,60290124,16,14
60040101,60290125,15,16
60040101,60290126,15,16
60040101,60290127,15,16
60040101,60290128,15,16
60040101,60290130,14,14
60040101,60290131,16,16
60040101,60290132,15,12
60040101,60300101,14,14
60040101,60300102,13,12
60040101,60300103,12,12
60040101,60300104,12,12
60040101,60300105,11,10
60040101,60300106,12,11
60040101,60300107,11,10
60040101,60300108,10,10
60040101,60300109,11,10
60040101,60300110,11,10
60040101,60300111,11,10
60040101,60300112,9,12
60040101,60300113,11,10
60040101,60300114,10,15
60040101,60300115,10,15
60040101,60300116,10,16
60040101,60300117,8,11
60040101,60320000,40,29
60040101,60330101,27,19
60040101,60330102,27,20
60040101,60330103,27,20
60040101,60330104,30,21
60040101,60330105,29,24
60040101,60340000,32,29
60040101,60380000,13,15
60040101,60440101,15,15
60040101,60440102,15,14
60040101,60440103,16,17
60040101,60460000,29,25
60040101,60600000,28,28
60040101,60640000,25,29
60040101,60650101,21,22
60040101,60650102,17,22
60040101,60680000,26,29
60040101,60690101,17,22
60040101,60690102,20,23
60040101,60690103,17,20
60040101,60690104,16,18
60040101,60690105,17,19
60040101,60690106,16,19
60040101,60690107,13,15
60040101,60690108,15,18
60040101,60690109,15,20
60040101,60690110,14,16
60040101,60690111,16,21
60040101,60690112,11,12
60040101,60690113,16,17
60040101,60690114,19,21
60040101,60690116,16,22
60040101,60690117,17,23
60040101,60790101,15,11
60040101,60790102,16,13
60040101,60790103,18,17
60040101,60790105,20,19
60040101,60790106,18,14
60040101,60790107,17,13
60040101,60790108,17,13
60040101,60790109,17,13
60040101,60840101,13,16
60040101,60840102,12,16
60040101,60840103,10,12
60040101,60840104,11,12
60040101,60850101,9,11
60040101,60850102,11,10
60040101,60850103,12,13
60040101,60850104,11,13
60040101,60850105,7,8
60040101,60850107,6,10
60040101,60850108,7,10
60040101,60880101,24,22
60040101,60880102,22,19
60040101,60880103,24,23
60040101,60880201,23,20
60040101,60880202,23,22
60040101,60880203,23,21
60040101,60880204,23,21
60040101,60880205,23,21
60040101,60880206,23,21
60040101,60880301,23,19
60040101,60880302,24,20
60040101,60880303,24,20
60040101,60880304,24,20
60040101,60880305,24,20
60040101,60880401,26,28
60040101,60880402,24,23
60040101,60880403,25,25
60040101,60880404,25,22
60040101,60880501,24,20
60040101,60880502,24,21
60040101,60880503,24,21
60040101,60880504,24,21
60040101,60880505,24,21
60040101,60880506,25,22
60040101,60880507,25,21
60040101,60880508,25,23
60040101,60880509,25,23
60040101,60880601,25,21
60040101,60880602,24,21
60040101,60880603,25,22
60040101,60880604,25,22
60040101,60880605,27,23
60040101,60880701,25,22
60040101,60880702,27,24
60040101,60880801,29,27
60040101,60880901,28,25
