IRIS1,IRIS2,TIME
60010000,60010000,0.0
61060000,60010000,17.983334
61350000,60010000,16.3
60810000,60010000,14.466666
60520000,60010000,20.733334
61310000,60010000,29.733334
61160000,60020000,26.116667
61150000,60020000,29.133333
60020000,60020000,0.0
60240000,60020000,12.466666
61310000,60020000,16.033333
61350000,60020000,25.2
60450000,60020000,9.483334
60930000,60020000,26.583334
60870000,60020000,10.333333
60630000,60020000,10.883333
61340000,60030000,9.116667
61160000,60030000,28.85
61070000,60030000,19.583334
60700000,60030000,19.55
60370000,60030000,16.383333
61300000,60030000,23.783333
60680000,60030000,29.766666
60280000,60030000,6.4333334
60580000,60030000,15.783334
60030000,60030000,0.0
61540000,60030000,9.116667
61380000,60040101,26.833334
60290121,60040101,24.516666
60270114,60040101,16.2
60883102,60040101,12.783334
61550109,60040101,15.016666
60310000,60040101,28.433332
60882202,60040101,24.133333
60881803,60040101,21.366667
61370000,60040101,29.083334
60881901,60040101,20.716667
60883801,60040101,25.566668
60881602,60040101,21.116667
60690112,60040101,15.516666
61610105,60040101,6.7833333
60690113,60040101,16.633333
60290128,60040101,16.95
60882302,60040101,23.316668
61610101,60040101,13.0
60881506,60040101,24.9
60290112,60040101,15.8
60300115,60040101,16.716667
60300109,60040101,13.85
60290120,60040101,20.9
60881005,60040101,27.966667
60850103,60040101,17.25
60690117,60040101,24.283333
60881601,60040101,24.35
60883003,60040101,16.633333
60690116,60040101,25.55
60040116,60040101,6.5666666
61520103,60040101,8.933333
60690114,60040101,21.783333
60640000,60040101,27.833334
60380000,60040101,23.633333
60300104,60040101,17.183332
60880502,60040101,25.25
60881204,60040101,24.15
60883101,60040101,17.066668
60882702,60040101,17.833334
60880503,60040101,27.45
60040124,60040101,14.4
60880504,60040101,26.666666
60880505,60040101,27.116667
60881101,60040101,23.516666
60270113,60040101,16.666666
60290111,60040101,20.683332
61520102,60040101,17.8
60850104,60040101,17.383333
60300103,60040101,17.633333
60690109,60040101,21.033333
60881505,60040101,26.183332
60270115,60040101,17.083334
60883501,60040101,24.166666
60880203,60040101,27.65
60300108,60040101,12.816667
60881804,60040101,20.5
60880507,60040101,27.566668
60290109,60040101,19.116667
60300117,60040101,14.033334
60882603,60040101,20.533333
60290122,60040101,21.083334
60883601,60040101,29.2
60290130,60040101,17.7
61550110,60040101,15.016666
60883602,60040101,26.266666
61610106,60040101,11.65
60881309,60040101,23.633333
60040110,60040101,9.7
61260000,60040101,26.1
60883701,60040101,29.833334
60881304,60040101,21.75
60880204,60040101,25.7
60882701,60040101,18.416666
61080000,60040101,18.416666
60883403,60040101,24.616667
60290110,60040101,19.45
60300116,60040101,15.883333
60040114,60040101,11.4
60881805,60040101,23.516666
60883201,60040101,24.733334
60880506,60040101,27.3
60882203,60040101,25.25
60883202,60040101,23.183332
60882301,60040101,23.0
60690111,60040101,22.85
60883301,60040101,20.966667
60881401,60040101,24.966667
60883401,60040101,25.266666
60040107,60040101,11.566667
60883402,60040101,23.233334
60040125,60040101,14.3
60690110,60040101,20.866667
60881102,60040101,23.1
60880205,60040101,26.25
60270101,60040101,12.55
60850105,60040101,11.216666
61520101,60040101,13.95
61280000,60040101,20.733334
60040123,60040101,11.7
60881902,60040101,22.15
60270112,60040101,20.833334
60270106,60040101,8.666667
60040105,60040101,8.166667
60300105,60040101,14.283334
60880305,60040101,26.05
60290126,60040101,18.1
60882901,60040101,12.983334
60882104,60040101,22.116667
61550107,60040101,10.433333
60290116,60040101,19.433332
60300112,60040101,12.033334
60840101,60040101,17.5
60881302,60040101,25.216667
60460000,60040101,27.516666
60040103,60040101,17.95
60270109,60040101,14.916667
60882902,60040101,13.283334
60882102,60040101,19.433332
60260000,60040101,28.9
60880302,60040101,23.766666
61550104,60040101,10.55
61610103,60040101,12.516666
60882201,60040101,23.983334
60881403,60040101,25.9
60270107,60040101,8.6
60850101,60040101,14.716666
60290115,60040101,19.633333
60881003,60040101,26.25
60040104,60040101,1.9333333
60882802,60040101,16.866667
60881203,60040101,25.233334
60840103,60040101,14.283334
60882804,60040101,19.5
60040112,60040101,9.85
60881002,60040101,27.716667
61550106,60040101,10.683333
60880303,60040101,25.116667
60882103,60040101,20.666666
60290117,60040101,21.0
61610102,60040101,14.716666
60300111,60040101,14.283334
60882803,60040101,16.966667
60840102,60040101,20.516666
60790109,60040101,15.533334
60882805,60040101,21.116667
60270108,60040101,13.133333
60880901,60040101,23.7
60180101,60040101,9.883333
60881501,60040101,23.216667
60290118,60040101,18.333334
60880304,60040101,25.766666
60881404,60040101,25.966667
60881202,60040101,21.133333
60881303,60040101,27.016666
60881301,60040101,25.133333
61550105,60040101,13.583333
60540000,60040101,28.5
60840104,60040101,15.85
61520104,60040101,13.516666
60882903,60040101,12.983334
60882101,60040101,19.466667
60880301,60040101,24.483334
60880902,60040101,24.95
60290113,60040101,19.5
60300114,60040101,15.15
60880206,60040101,28.033333
60882906,60040101,17.483334
60270103,60040101,11.433333
60881001,60040101,27.25
