psp_spe_snds,ann,age_ben_snds,nb,total_nb,ratio
0,20,0,6295143,57702446,0.10909664037465587
0,20,20,6142006,57702446,0.1064427320810629
0,20,30,7080341,57702446,0.12270434774983369
0,20,40,6799711,57702446,0.11784094906479355
0,20,50,7835456,57702446,0.1357907080750095
0,20,60,8505776,57702446,0.14740754664022387
0,20,70,7692393,57702446,0.13331138510142188
0,20,80,7212128,57702446,0.12498825439739591
0,20,99,139492,57702446,0.002417436515602822
0,21,0,7302688,63979901,0.11414034541879019
0,21,20,7008522,63979901,0.10954255774794025
0,21,30,7841395,63979901,0.12256028654999013
0,21,40,7511578,63979901,0.11740527701035361
0,21,50,8591926,63979901,0.1342910174243627
0,21,60,9384710,63979901,0.1466821588235968
0,21,70,8536321,63979901,0.13342191636088965
0,21,80,7611330,63979901,0.11896439164543253
0,21,99,191431,63979901,0.002992049018644152
0,22,0,7605172,65976512,0.11527090125649564
0,22,20,7200971,65976512,0.10914446341146376
0,22,30,7919952,65976512,0.12004199312628107
0,22,40,7540653,65976512,0.11429299263349964
0,22,50,8676489,65976512,0.13150875572203635
0,22,60,9711394,65976512,0.1471947168107341
0,22,70,9127106,65976512,0.13833871666328768
0,22,80,8007305,65976512,0.12136599461335573
0,22,99,187470,65976512,0.002841465762846026
0,23,0,7322593,65602974,0.11161983296671886
0,23,20,7168129,65602974,0.10926530556373862
0,23,30,7803428,65602974,0.11894930251180381
0,23,40,7401949,65602974,0.11282947324918532
0,23,50,8604718,65602974,0.13116353536045486
0,23,60,9746108,65602974,0.1485619844002804
0,23,70,9337929,65602974,0.1423400256213994
0,23,80,8042612,65602974,0.12259523478310602
0,23,99,175508,65602974,0.002675305543312716
0,24,0,3714973,32703547,0.11359541520068145
0,24,20,3618039,32703547,0.11063139420320371
0,24,30,3888949,32703547,0.11891520513050159
0,24,40,3675072,32703547,0.1123753334768244
0,24,50,4256516,32703547,0.13015456702601708
0,24,60,4852418,32703547,0.14837589329377637
0,24,70,4652507,32703547,0.14226307011896905
0,24,80,3959832,32703547,0.12108264586712872
0,24,99,85241,32703547,0.0026064756828976378
1,20,0,20006799,170874330,0.11708487167147927
1,20,20,17127019,170874330,0.10023166733119013
1,20,30,17833626,170874330,0.10436691105094603
1,20,40,18584273,170874330,0.10875988804169708
1,20,50,22067147,170874330,0.1291425517220755
1,20,60,24999843,170874330,0.14630543394083828
1,20,70,24409396,170874330,0.14284998805847549
1,20,80,25621766,170874330,0.1499450853735608
1,20,99,224461,170874330,0.0013136028097374252
1,21,0,22293491,182507797,0.12215089638060778
1,21,20,18739477,182507797,0.10267767902540624
1,21,30,19235790,182507797,0.10539708613106541
1,21,40,19793841,182507797,0.10845476919542238
1,21,50,23287937,182507797,0.12759968276862166
1,21,60,26371187,182507797,0.14449348155794134
1,21,70,26073406,182507797,0.142861874553228
1,21,80,26483418,182507797,0.14510841966932514
1,21,99,229250,182507797,0.0012561107183820756
1,22,0,23116414,186356418,0.1240440991949094
1,22,20,19279703,186356418,0.10345607200928277
1,22,30,19487435,186356418,0.10457077469690365
1,22,40,19918523,186356418,0.10688401941702914
1,22,50,23472204,186356418,0.1259532902161706
1,22,60,26813466,186356418,0.14388270759743838
1,22,70,27145155,186356418,0.14566257117047612
1,22,80,26909470,186356418,0.14439787096573192
1,22,99,214048,186356418,0.0011485947320580073
1,23,0,23777282,192864435,0.12328494882947186
1,23,20,20236086,192864435,0.10492388604461989
1,23,30,20353924,192864435,0.10553487479430824
1,23,40,20561510,192864435,0.10661120594888321
1,23,50,24220479,192864435,0.12558292045912975
1,23,60,27729209,192864435,0.1437756473867253
1,23,70,28416131,192864435,0.14733733049330738
1,23,80,27380497,192864435,0.14196757945548644
1,23,99,189317,192864435,0.000981606588067935
1,24,0,12194526,99119649,0.12302834123232216
1,24,20,10457863,99119649,0.10550746603228993
1,24,30,10427354,99119649,0.10519966631439544
1,24,40,10509352,99119649,0.10602692913087293
1,24,50,12382144,99119649,0.12492118490048325
1,24,60,14258124,99119649,0.1438476038186939
1,24,70,14802234,99119649,0.1493370300373037
1,24,80,13996304,99119649,0.14120614975139792
1,24,99,91748,99119649,0.0009256287822407442
2,20,0,832718,8291777,0.10042696517284534
2,20,20,782561,8291777,0.09437796023699142
2,20,30,942898,8291777,0.1137148285584622
2,20,40,987935,8291777,0.11914635427363761
2,20,50,1181381,8291777,0.14247621468835933
2,20,60,1358572,8291777,0.16384569917883707
2,20,70,1293459,8291777,0.15599297955070426
2,20,80,907892,8291777,0.10949305558989346
2,20,99,4361,8291777,0.0005259427502693332
2,21,0,1005871,9325725,0.10785981786938817
2,21,20,886667,9325725,0.09507754088824193
2,21,30,1065559,9325725,0.11426017816309188
2,21,40,1110825,9325725,0.11911406351784982
2,21,50,1312936,9325725,0.14078648040768948
2,21,60,1496683,9325725,0.1604897206383418
2,21,70,1452860,9325725,0.1557905685616936
2,21,80,989462,9325725,0.10610027638601824
2,21,99,4862,9325725,0.0005213535676850861
2,22,0,1123093,10120729,0.11096957541299643
2,22,20,958284,10120729,0.09468527415367016
2,22,30,1142714,10120729,0.11290826975013361
2,22,40,1185669,10120729,0.11715252922986082
2,22,50,1402729,10120729,0.1385996008785533
