;BIGGI ACZEL;URSULA;;;;;1500;AMBERIEU EN BUGEY;;37;;;c2;;;;;;;;;;;;;;;;;;;
;MAMBIE;CATHERINE;;;;;2000;LAON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BARGUIL VITTUPIER;CATHERINE;;;;;1300;BELLEY;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LEPHAY;CHRISTINE;;;;;2200;SOISSONS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BLANC;JACQUES;;;;;3200;VICHY;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LALLEMENT;DOMINIQUE;;;;;2200;SOISSONS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BROYER JOURDAN;MONIQUE;;;;;1000;BOURG EN BRESSE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;STENER;VIRGINIE;;;;;3200;VICHY;;37;;;c2;;;;;;30;40;;;;;;;;;;;;
;PONCELET MARIE;FRANCE;;;;;2200;SOISSONS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DESHAYES DEVONEC;SIMONE;;;;;1700;MIRIBEL;;37;;;c2;;;;;;28;45;;;;;;;;;;;;
;BERDUGO;MURIEL;;;;;3100;MONTLUCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DESSOUKI ALMORAD;ISTIKLAL;;;;;2200;SOISSONS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;HELUA;HENRI;;;;;3100;MONTLUCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BONGLET;CATHERINE;;;;;1000;BOURG EN BRESSE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DAPSANCE;VERONIQUE;;;;;2100;ST QUENTIN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BERDUGO;SALOMON;;;;;3100;MONTLUCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LAGIER MOREL;CLAUDINE;;;;;5000;GAP;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;JOUX ANNE;MARIE;;;;;7200;AUBENAS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MAZILI MARIE;LINE;;;;;8000;CHARLEVILLE MEZIERES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BELIN SABOUL;MADELEINE;;;;;7200;AUBENAS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DUPONT;MICHEL;;;;;9200;ST GIRONS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;SEIFFERT;FRANCOISE;;;;;8000;CHARLEVILLE MEZIERES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DURAN GONZALEZ;CELIA;;;;;7000;PRIVAS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MERCIER;CHRISTINE;;;;;9100;PAMIERS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MOUTON ANNE;MARIE;;;;;8300;RETHEL;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BALANDRAU;FRANCOISE;;;;;7100;ANNONAY;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BONNEVIE LAPEYRE;CLAUDINE;;;;;9200;ST GIRONS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CROCHET BAYLE;JACQUELINE;;;;;7200;AUBENAS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;WALLOIS;PATRICK;;;;;8500;REVIN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DERSARKISSIAN;JUTTA;;;;;9000;FOIX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;FABRE;DIDIER;;;;;8200;SEDAN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ERIZE;FLORENCE;;;;;4100;MANOSQUE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ADOTEVI BAUDRY;TCHOTCHO;;;;;8000;CHARLEVILLE MEZIRES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GUERY MARIE;FRANCE;;;;;10000;TROYES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;HERRIOT;MARIE;;;;;4100;MANOSQUE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BOULENGER ETIENNE;CATHERINE;;;;;10000;TROYES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DECOURT PERRUCHO;GENEVIEVE;;;;;11200;LEZIGNAN CORBIERES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ISOARD;MICHELE;;;;;4160;CHATEAU ARNOUX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DUBOST;HELENE;;;;;11200;LEZIGNAN CORBIERES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GIANNETTI;GENEVIEVE;;;;;4000;DIGNE LES BAINS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;HATT;ERIC;;;;;12000;RODEZ;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CABANIS;CATHERINE;;;;;11400;CASTELNAUDARY;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ANGLES MARIE;LUCE;;;;;12000;RODEZ;;37;;;c2;;;;;;38;42;;;;;;;;;;;;
;MERCADIER;BRIGITTE;;;;;11400;CASTELNAUDARY;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DE LAPANOUSE;MARIE;;;;;12202;VILLEFRANCHE ROUERGUE CED;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BABIN;ANNE;;;;;12000;RODEZ;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ODIER;ANTOINETTE;;;;;13360;ROQUEVAIRE;;37;;;c2;;;;;55;;;;;;;;;;;;;;
;MONTARNAL;FRANCOISE;;;;;12000;RODEZ;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BENSADOUN;GUY;;;;;13006;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MARCHAND;CATHERINE;;;;;14160;DIVES SUR MER;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MURY;CLAIRE;;;;;15000;AURILLAC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VERDURAND NIVEAU MARIE;CECILE;;;;;12100;MILLAU;;37;;;c2;;;;;;40;45;;;;;;;;;;;;
;FUSERI;DANIELLE;;;;;13004;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BERNARD RENARD;ANNE;;;;;14000;CAEN;;37;;;c2;;;;;;41;55;;;;;;;;;;;;
;MAZEL;CHRISTIAN;;;;;15000;AURILLAC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;FALSON;VERONIQUE;;;;;13090;AIX EN PROVENCE;;37;;;c2;;;;;58;;;;;;;;;;;;;;
;VAUGEOIS;CLAUDINE;;;;;14200;HEROUVILLE ST CLAIR;;37;;;c1;;;;;28;;;;;;;;;;;;;;
