;LAMIELLE;CLAUDE;;;;;4100;MANOSQUE;;56;;;c2;;;;;;28;48;;;;;;;;;;;;
;DELAFOULHOUZE;CHRISTINE;;;;;3000;MOULINS;;56;;;c2;;;;;;28;44;;;;;;;;;;;;
;FALGAIRETTE;CHRISTINE;;;;;4100;MANOSQUE;;56;;;c2;;;;;50;;;;;;;;;;;;;;
;FRANCOZ TAILLANTER;NICOLE;;;;;3200;VICHY;;56;;;c2;;;;;;40;48;;;;;;;;;;;;
;CHATAIGNON;HENRI;;;;;4100;MANOSQUE;;56;;;c2;;;;;55;;;;;;;;;;;;;;
;BRUN;NOELLE;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;ROUSSILLE;MICHEL;;;;;1000;BOURG EN BRESSE;;56;;;c2;;;;;;30;42;;;;;;;;;;;;
;BOURLIER JEAN;PIERRE;;;;;4200;SISTERON;;56;;;c2;;;;;35;;;;;;;;;;;;;;
;DUSSEUX;PASCAL;;;;;1000;BOURG EN BRESSE;;56;;;c1;;;;;;;;;;;;;;;;;;;
;SZO;TIMEA;;;;;13008;MARSEILLE;;56;;;c2;;;;;;28;48;;;;;;;;;;;;
;CLOT GOUDARD LEVEQUE;FLORENCE;;;;;1600;TREVOUX;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;RICHARD;JEROME;;;;;4100;MANOSQUE;;56;;;c2;;;;;55;;;;;;;;;;;;;;
;RIVIERE;AGNES;;;;;1500;AMBERIEU EN BUGEY;;56;;;c2;;;;;42;;;;;;;;;;;;;;
;MKINSI BENNOUNA;FOUZIA;;;;;4000;DIGNE LES BAINS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;HOJABR GHELITCHI;THEODORE;;;;;1280;PREVESSIN MOENS;;56;;;c2;;;;;;30;45;;;;;;;;;;;;
;FRANCO;PIERRE;;;;;4100;MANOSQUE;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;FOLLENS;INGRID;;;;;5000;GAP;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BRUN;MICHEL;;;;;4000;DIGNE LES BAINS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BUFFET JEAN;MICHEL;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;GUILLOME;PATRICK;;;;;5200;EMBRUN;;56;;;c2;;;;;;40;45;;;;;;;;;;;;
;DE VIAL;ELISABETH;;;;;5100;BRIANCON;;56;;;c2;;;;;;;;;;;;;;;;;;;
;FREZARD;DOMINIQUE;;;;;3200;VICHY;;56;;;c2;;;;;;30;47;;;;;;;;;;;;
;NICOLE JOSSE;CATHERINE;;;;;1460;MONTREAL LA CLUSE;;56;;;c2;;;;;;;;;;;;;;;;;;;
;BRUSLEA;DELIA;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BRUN;GERALD;;;;;1120;MONTLUEL;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;DE BACKER;ERIC;;;;;1000;BOURG EN BRESSE;;56;;;c2;;;;;;;;;;;;;;;;;;;
;BRAIKEH;SAMIR;;;;;3000;MOULINS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;KONQUI;PHILIPPE;;;;;5000;GAP;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;MOLCARD;CHRISTINE;;;;;2200;SOISSONS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BRUNEL JEAN;MARIE;;;;;3200;VICHY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;VAN KERCKHOVEN;WALTER;;;;;5000;GAP;;56;;;c1;;;;;;;;;;;;;;;;;;;
;LOMBARDO JEAN;CLAUDE;;;;;2000;LAON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;FRANCO JEAN;LUC;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BURGUIERE;OLIVIER;;;;;5000;GAP;;56;;;c2;;;;;;35;46;;;;;;;;;;;;
;PERRET;PATRICK;;;;;2200;SOISSONS;;56;;;c2;;;;;;23;35;;;;;;;;;;;;
;BERNE BRUNEL;ELISABETH;;;;;3200;VICHY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;LE BOURDON;EMMANUELLE;;;;;5000;GAP;;56;;;c1;;;;;;;;;;;;;;;;;;;
;KHAITRINE;LAURENT;;;;;51100;REIMS;;56;;;c2;;;;;;70;120;;;;;;;;;;;;
;CRUTZ;JOSIANE;;;;;5100;BRIANCON;;56;;;c2;;;;;;30;35;;;;;;;;;;;;
;RABAH BENABBAS;SALIM;;;;;77600;BUSSY ST GEORGES;;56;;;c2;;;;;50;;;;;;;;;;;;;;
;WEISS;DIDIER;;;;;4100;MANOSQUE;;56;;;c2;;;;;55;;;;;;;;;;;;;;
;HECART JEAN;FRANCOIS;;;;;2200;SOISSONS;;56;;;c2;;;;;;40;55;;;;;;;;;;;;
;PERROT;DOMINIQUE;;;;;2400;CHATEAU THIERRY;;56;;;c2;;;;;;23;46;;;;;;;;;;;;
;CROS;CHRISTOPHE;;;;;51100;REIMS;;56;;;c2;;;;;;30;70;;;;;;;;;;;;
;DEMARCQ JEAN;FRANCOIS;;;;;4200;SISTERON;;56;;;c2;;;;;37;;;;;;;;;;;;;;
;CRISPEL;ALAIN;;;;;1300;BELLEY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;JEAN LOUIS;BRUNO;;;;;1000;BOURG EN BRESSE;;56;;;c2;;;;;;;;;;;;;;;;;;;
;POPESCU;OANA;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;WEISSLINGER JEAN;MARIE;;;;;1000;BOURG EN BRESSE;;56;;;c2;;;;;48;;;;;;;;;;;;;;
;MIALLIER;DOMINIQUE;;;;;3000;MOULINS;;56;;;c2;;;;;;23;43;;;;;;;;;;;;
;FLORES;DENIS;;;;;6000;NICE;;56;;;c2;;;;;;;;;;;;;;;;;;;
;PAGAY;MONIQUE;;;;;1100;OYONNAX;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BERNARD LUNEAU;CHRISTIAN;;;;;6140;VENCE;;56;;;c2;;;;;;;;;;;;;;;;;;;
;SANSORGNE;RENAUD;;;;;3000;MOULINS;;56;;;c2;;;;;;23;43;;;;;;;;;;;;
;DUMAS;ISABELLE;;;;;6000;NICE;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;CARBONEL JEAN;CLAUDE;;;;;6000;NICE;;56;;;c2;;;;;;;;;;;;;;;;;;;
;PITOIS;FRANCIS;;;;;2200;MERCIN ET VAUX;;56;;;c2;;;;;;35;38;;;;;;;;;;;;
;DUPLAY;ERIC;;;;;6600;ANTIBES;;56;;;c2;;;;;;23;45;;;;;;;;;;;;
;DHEYRIAT;VERONIQUE;;;;;1100;OYONNAX;;56;;;c2;;;;;;;;;;;;;;;;;;;
;BLONDEL;JEROME;;;;;6000;NICE;;56;;;c2;;;;;;30;50;;;;;;;;;;;;
;VUILLEMIN MARIE;CHRISTINE;;;;;2100;ST QUENTIN;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;HEBERT PIERRE;YVES;;;;;6000;NICE;;56;;;c2;;;;;;30;50;;;;;;;;;;;;
;CONVERT;MICHEL;;;;;2600;VILLERS COTTERETS;;56;;;c2;;;;;;;;;;;;;;;;;;;
;TAUPIN;PHILIPPE;;;;;7200;AUBENAS;;56;;;c2;;;;;;35;55;;;;;;;;;;;;
;PAVIER JOUVENT;MARTINE;;;;;1110;HAUTEVILLE LOMPNES;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;ZUR;CHRISTINE;;;;;6000;NICE;;56;;;c2;;;;;;25;55;;;;;;;;;;;;
;THOREZ JEAN;FRANCOIS;;;;;2700;TERGNIER;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;LOZIVIT;LOIC;;;;;6000;NICE;;56;;;c2;;;;;;23;50;;;;;;;;;;;;
;DELAIRE JEAN;CLAUDE;;;;;3200;VICHY;;56;;;c2;;;;;;28;47;;;;;;;;;;;;
;ROUHETTE;HERVE;;;;;6250;MOUGINS;;56;;;c2;;;;;;23;50;;;;;;;;;;;;
;BLOISE;LOUISETTE;;;;;6700;ST LAURENT DU VAR;;56;;;c2;;;;;;35;42;;;;;;;;;;;;
;CREPET;HUGO;;;;;1000;BOURG EN BRESSE;;56;;;c2;;;;;;35;55;;;;;;;;;;;;
;LOMBARD;FRANCOISE;;;;;3200;VICHY;;56;;;c2;;;;;;23;45;;;;;;;;;;;;
;BENSA;CHRISTIAN;;;;;6000;NICE;;56;;;c2;;;;;;40;50;;;;;;;;;;;;
;DEMAREST;ANTOINE;;;;;2100;ST QUENTIN;;56;;;c2;;;;;;;;;;;;;;;;;;;
;FILLACIER;KATHLEEN;;;;;6400;CANNES;;56;;;c2;;;;;;45;60;;;;;;;;;;;;
;MIKLOS;IOANA;;;;;2300;CHAUNY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BOVET;JEROME;;;;;1280;PREVESSIN MOENS;;56;;;c2;;;;;;30;45;;;;;;;;;;;;
;GUILLEMOT;FRANCOIS;;;;;6250;MOUGINS;;56;;;c2;;;;;50;;;;;;;;;;;;;;
;COSTENOBLE;PATRICIA;;;;;2200;SOISSONS;;56;;;c2;;;;;;30;35;;;;;;;;;;;;
