;BENOIT;GUY;;;;;3300;CUSSET;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;PAYNAT;JENNY;;;;;3300;CUSSET;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;GOUMY;PIERRE;;;;;3200;VICHY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;GEMBARA;PIOTR;;;;;3200;VICHY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;MAZAURIC;BRUNO;;;;;1200;BELLEGARDE SUR VALSERINE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;NIKOLOVA;DALINA;;;;;1500;AMBERIEU EN BUGEY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;FAISSOLLE;PEGGY;;;;;6600;ANTIBES;;60;;;c2;;;;;40;;;;;;;;;;;;;;
;JANVIER JEAN;PIERRE;;;;;1800;MEXIMIEUX;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;KHALFI;ALI;;;;;6606;ANTIBES CEDEX;;60;;;c1;;;;;;;;;;;;;;;;;;;
;JOUFFROY;EMILIE;;;;;1220;DIVONNE LES BAINS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;ETTER;ZAHERA;;;;;6800;CAGNES SUR MER;;60;;;c2;;;;;;40;48;;;;;;;;;;;;
;CHAPEL SCOTTO;ISABELLE;;;;;1330;VILLARS LES DOMBES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;LUGOL;PIERRE;;;;;6000;NICE;;60;;;c2;;;;;;45;50;;;;;;;;;;;;
;AGUER;MICHEL;;;;;5000;GAP;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;ARNOULD;SOPHIE;;;;;1000;BOURG EN BRESSE;;60;;;c2;;;;;;28;40;;;;;;;;;;;;
;GILLON;PHILIPPE;;;;;6600;ANTIBES;;60;;;c2;;;;;40;;;;;;;;;;;;;;
;DAN;BRIGITTE;;;;;5700;SERRES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;TREMOLET JEAN;PAUL;;;;;1000;BOURG EN BRESSE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BAECHLER SADOUL;ELISABETH;;;;;6200;NICE;;60;;;c2;;;;;;45;50;;;;;;;;;;;;
;GOSSELIN;AGATHE;;;;;5000;GAP;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BERKAS;NASREDINE;;;;;1506;AMBERIEU EN BUGEY CEDEX;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;NGUYEN KIM;LUAN;;;;;6300;NICE;;60;;;c2;;;;;;40;73;;;;;;;;;;;;
;BACHELET;YVES;;;;;5000;GAP;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BONTIKOUS;NICOLAS;;;;;1130;NANTUA;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;GAROTTA MOSCA;ELISA;;;;;5000;GAP;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;RICHAUD;BERNARD;;;;;6300;NICE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;GUY;ELISABETH;;;;;1630;ST GENIS POUILLY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BAUM;STEPHANE;;;;;4100;MANOSQUE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;KHALIFEH;GHASSAN;;;;;1300;BELLEY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;MUSSET;BEATRICE;;;;;4000;DIGNE LES BAINS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;PILAPRAT MARIE;JOSE;;;;;6000;NICE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;DECHELETTE;PASCAL;;;;;4100;MANOSQUE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;DURAND;FRANCOISE;;;;;1000;BOURG EN BRESSE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BARA;CHRISTEL;;;;;6000;NICE;;60;;;c2;;;;;43;;;;;;;;;;;;;;
;BONY ZYKA;CLAIRE;;;;;7100;ANNONAY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;FOURNIER;AGNES;;;;;1000;BOURG EN BRESSE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;ZEPHIR PIERRE;HENRI;;;;;4000;DIGNE LES BAINS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;GUILLAUME;MARC;;;;;4100;MANOSQUE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;KANDARA;KHALED;;;;;1100;OYONNAX;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;ZYKA;FRANZ;;;;;7100;BOULIEU LES ANNONAY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;PIERRILLAS JEAN;CLAUDE;;;;;6700;ST LAURENT DU VAR;;60;;;c2;;;;;;45;50;;;;;;;;;;;;
;PICHOT;EMMANUEL;;;;;1700;MIRIBEL;;60;;;c2;;;;;;35;50;;;;;;;;;;;;
;LEHINGUE;YVES;;;;;7000;PRIVAS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;FOREST;HENRI;;;;;6500;MENTON;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BLANC ANNE;MARIE;;;;;7200;AUBENAS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;REMEDIANI;NATHALIE;;;;;6240;BEAUSOLEIL;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;LEMPERIERE;ANNE;;;;;7000;PRIVAS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;KREIDIEH JEAN;MARC;;;;;8200;SEDAN;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BONIJOLY;MURIEL;;;;;7100;ANNONAY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
