BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2020;010000024;010780054;M100H;;10;1.17;0;0
BLOCS_P;2020;010000024;010780054;M1030;;18;11.7;1;0
BLOCS_P;2020;010000024;010780054;M200H;;30;8.73;0;1
BLOCS_P;2020;010000024;010780054;N2200;5;1;7.22;0;0
BLOCS_P;2020;010000024;010780054;N2310;19;11;24.47;1;1
BLOCS_P;2020;010000024;010780054;N2320;19;10;23.91;1;1
BLOCS_P;2020;010000024;010780054;N2510;13;2;13.77;0;0
BLOCS_P;2020;010000024;010780054;NAUT;2;;2;0;0
BLOCS_P;2020;010000032;010780062;M200H;9;2;9.03;;
BLOCS_P;2020;010000032;010780062;N2200;7;1;6.5;;
BLOCS_P;2020;010000032;010780062;N2310;4;2;3.64;;
BLOCS_P;2020;010000032;010780062;N2320;1;;1.67;;
BLOCS_P;2020;010000032;010780062;N2510;4;;1.24;;
BLOCS_P;2020;010000032;010780062;NAUT;4;1;5.03;;
BLOCS_P;2020;010005239;010008407;M100H;0;0;0.05;;
BLOCS_P;2020;010005239;010008407;M1030;2;4;5.15;;
BLOCS_P;2020;010005239;010008407;M200H;6;1;2.75;;
BLOCS_P;2020;010005239;010008407;N2200;6;3;8.11;;
BLOCS_P;2020;010005239;010008407;N2310;4;3;5.1;;
BLOCS_P;2020;010005239;010008407;N2320;2;1;2.35;;
BLOCS_P;2020;010005239;010008407;N4160;1;0;1;;
BLOCS_P;2020;010005239;010008407;NAUT;2;0;1.98;;
BLOCS_P;2020;010007300;010007292;M100H;;3;0.6;0;0
BLOCS_P;2020;010007300;010007292;M1030;;4;0.53;0;0
BLOCS_P;2020;010007300;010007292;M200H;;8;0.44;0;0
BLOCS_P;2020;010007300;010007292;N2200;;4;3.2;0;0
BLOCS_P;2020;010007300;010007292;N2310;;1;0.7;0;0
BLOCS_P;2020;010007300;010007292;N4160;1;;1;0;0
BLOCS_P;2020;010007300;010007292;NAUT;;2;1.6;0;0
BLOCS_P;2020;010780195;010000156;M100H;39;;32;0;1
BLOCS_P;2020;010780195;010000156;M1030;12;;11.5;1;1
BLOCS_P;2020;010780195;010000156;M200H;47;;47;1;1
BLOCS_P;2020;010780195;010000156;N2200;21;4;24.24;0;1
BLOCS_P;2020;010780195;010000156;N2310;1;1;1.96;0;1
BLOCS_P;2020;010780195;010000156;N2320;2;0;2.4;0;1
BLOCS_P;2020;010780195;010000156;N2510;11;2;6.91;0;1
BLOCS_P;2020;010780195;010000156;N4130;0;0;0;0;1
BLOCS_P;2020;010780195;010000156;N4160;2;0;2;0;1
BLOCS_P;2020;010780195;010000156;NAUT;7;0;6.4;0;1
BLOCS_P;2020;010780203;010010718;M100H;;2;1;0;1
BLOCS_P;2020;010780203;010010718;M1030;5;;5;0;1
BLOCS_P;2020;010780203;010010718;M200H;12;14;20;0;1
BLOCS_P;2020;010780203;010010718;N2200;8;5;11.35;0;
BLOCS_P;2020;010780203;010010718;N2310;2;2;3.5;0;
BLOCS_P;2020;010780203;010010718;N2320;3;;3.16;0;
BLOCS_P;2020;010780203;010010718;N2510;2;;2.63;0;
BLOCS_P;2020;010780203;010010718;N4160;1;;1;0;
BLOCS_P;2020;010780203;010010718;NAUT;4;4;5.48;0;
BLOCS_P;2020;020000162;020000063;M100H;0;3;0.5;0;0
BLOCS_P;2020;020000162;020000063;M1030;4;64;8.9;1;
BLOCS_P;2020;020000162;020000063;M200H;13;19;24.95;0;1
BLOCS_P;2020;020000162;020000063;N2200;21;7;23.91;1;
BLOCS_P;2020;020000162;020000063;N2310;19;9;24.29;1;
BLOCS_P;2020;020000162;020000063;N2320;11;4;14.08;1;
BLOCS_P;2020;020000162;020000063;N2510;12;1;11.22;0;0
BLOCS_P;2020;020000162;020000063;NAUT;40;25;51.4;0;0
BLOCS_P;2020;020000360;020014742;M100H;1;;1;;
BLOCS_P;2020;020000360;020014742;M1030;3;;3;;
BLOCS_P;2020;020000360;020014742;M200H;2;21;;;
BLOCS_P;2020;020000360;020014742;N2200;13;1;8.68;;
BLOCS_P;2020;020000360;020014742;N2320;2;;0.1;;
BLOCS_P;2020;020000360;020014742;N2510;3;;1.81;;
BLOCS_P;2020;020000360;020014742;N4160;1;;0.94;;
BLOCS_P;2020;020000360;020014742;NAUT;2;;0.87;;
BLOCS_P;2020;020000394;020000253;M1030;7;0;6.45;1;0
BLOCS_P;2020;020000394;020000253;N2200;13;6;15.69;1;1
BLOCS_P;2020;020000394;020000253;N2310;10;0;10.08;1;1
BLOCS_P;2020;020000394;020000253;N2320;6;1;5.72;1;1
BLOCS_P;2020;020000394;020000253;N2510;7;2;7.77;0;0
BLOCS_P;2020;020000394;020000253;NAUT;6;1;6.62;0;0
BLOCS_P;2020;020000519;020000261;M1030;6;1;6.4;1;0
BLOCS_P;2020;020000519;020000261;M200H;21;8;26.2;;0
BLOCS_P;2020;020000519;020000261;N2200;14;3;14.4;0;0
BLOCS_P;2020;020000519;020000261;N2310;6;5;9.9;1;1
BLOCS_P;2020;020000519;020000261;N2320;6;4;9.29;1;1
BLOCS_P;2020;020000519;020000261;N2510;10;0;10;0;0
BLOCS_P;2020;020000519;020000261;N4160;1;;1;1;1
BLOCS_P;2020;020000519;020000261;NAUT;5;0;6.5;0;0
BLOCS_P;2020;020000535;020000287;M100H;;3;0.2;0;1
BLOCS_P;2020;020000535;020000287;M1030;;2;5.98;1;0
BLOCS_P;2020;020000535;020000287;M200H;;8;0.86;0;1
BLOCS_P;2020;020000535;020000287;N2200;4;;3.14;;
BLOCS_P;2020;020000535;020000287;N2310;1;1;1.8;;1
BLOCS_P;2020;020000535;020000287;N2320;5;;5;;1
BLOCS_P;2020;020000535;020000287;N2510;4;;3.44;;
BLOCS_P;2020;020000535;020000287;NAUT;2;2;2.32;;
BLOCS_P;2020;020001061;020004404;M1030;;;;1;0
BLOCS_P;2020;020001061;020004404;M200H;;;;0;1
BLOCS_P;2020;020010047;020001632;M100H;21;10;23.2;;
BLOCS_P;2020;020010047;020001632;M1030;7;;7;;
BLOCS_P;2020;020010047;020001632;M200H;14;10;16.6;0;1
BLOCS_P;2020;020010047;020001632;N2200;14;1;14.8;0;1
BLOCS_P;2020;020010047;020001632;N2320;4;;4;0;1
BLOCS_P;2020;020010047;020001632;N2510;9;1;9.5;0;0
BLOCS_P;2020;020010047;020001632;N4160;3;;3;0;0
BLOCS_P;2020;020010047;020001632;NAUT;10;;10;0;0
BLOCS_P;2020;030000061;030780092;M100H;0;5;1.4;0;1
BLOCS_P;2020;030000061;030780092;M1030;0;9;5.93;1;0
BLOCS_P;2020;030000061;030780092;M200H;0;18;5.34;0;1
BLOCS_P;2020;030000061;030780092;N2200;11;0;10.33;1;1
BLOCS_P;2020;030000061;030780092;N2310;13;0;13.37;1;0
BLOCS_P;2020;030000061;030780092;N2320;10;0;9.92;1;1
BLOCS_P;2020;030000061;030780092;N2510;11;2;9.63;0;1
BLOCS_P;2020;030000061;030780092;N4160;1;0;0.95;0;0
BLOCS_P;2020;030000061;030780092;NAUT;4;4;4.49;0;0
BLOCS_P;2020;030000079;030780100;M1030;5;1;5.13;1;0
BLOCS_P;2020;030000079;030780100;N2200;7;;5.3;0;1
