BOR;AN;nofinesset;nofinessej;LIT_REA;SEJ_REA;SEJENF_REA;JOU_REA;LIT_BRU;SEJ;SEJENF;JOU;SAL;TISS;CONVSSR;ACT;VEN;CONS;FILADU;FILENF
BRULES;2020;130783236;130786049;24;593;25;4336;;0;0;0;0;1;1;49;0;897;99;17
BRULES;2020;310016977;310781406;;586;561;1977;;0;0;0;0;0;1;182;4;649;0;76
BRULES;2020;310783055;310781406;9;72;4;1835;6;109;6;1052;1;0;0;780;0;260;115;8
BRULES;2020;330781360;330781196;16;260;43;4639;4;35;9;105;1;;;;11;2714;171;40
BRULES;2020;340785161;340780477;9;35;2;323;3;616;11;2402;1;1;1;;3;2622;103;2
BRULES;2020;370004467;370000481;12;328;9;3204;;0;0;0;1;1;1;1862;0;1397;137;6
BRULES;2020;440000271;440000289;6;93;0;1571;17;710;231;4322;1;1;0;1817;31;;261;78
BRULES;2020;540002698;540023264;;0;0;0;1;159;159;1079;0;1;1;;0;;0;144
BRULES;2020;570026682;570005165;11;44;0;1159;0;0;0;0;1;0;1;2466;0;917;33;0
BRULES;2020;590796975;590780193;12;223;20;3285;4;1661;305;0;1;1;1;914;258;4938;373;80
BRULES;2020;690783154;690781810;10;402;170;6327;20;366;37;2866;1;1;0;1575;0;6202;301;166
BRULES;2020;750100075;750712184;15;183;2;4480;5;100;1;819;1;1;1;3370;0;;122;2
BRULES;2020;750100109;750712184;10;281;280;3425;16;916;913;4618;1;1;1;610;23;3316;0;624
BRULES;2020;830100574;750821092;6;22;1;433;6;233;2;1964;1;0;1;482;0;540;42;1
BRULES;2020;920120011;750821092;12;209;5;3756;;0;0;0;1;0;0;638;0;879;93;4
BRULES;2020;970100442;970100228;;21;0;249;;0;0;0;;;;;0;;17;0
BRULES;2020;970400024;970408589;10;31;1;864;4;203;94;85;1;1;1;168;22;684;41;11
BRULES;2019;130783236;130786049;16;623;18;5108;;0;0;0;1;1;;;0;1731;107;12
BRULES;2019;310016977;310781406;;644;619;1995;;0;0;0;0;0;1;113;0;;0;51
BRULES;2019;310783055;310781406;6;76;1;1751;;151;1;1220;;;;938;1;618;137;1
BRULES;2019;330781360;330781196;16;258;13;4351;12;38;20;0;;;;;18;2805;181;17
BRULES;2019;340785161;340780477;9;65;0;837;3;464;14;2262;1;1;1;;7;5235;130;5
BRULES;2019;370004467;370000481;12;301;4;3249;0;0;0;0;1;1;1;1864;0;1635;133;1
BRULES;2019;440000271;440000289;6;79;4;1631;17;720;258;4704;1;1;0;1887;18;;244;78
BRULES;2019;540002698;540023264;;0;0;0;0;156;156;1048;0;1;1;1355;0;2028;0;132
BRULES;2019;570026682;570005165;11;183;5;3951;0;0;0;0;1;0;1;3236;0;1700;151;4
