BOR;AN;nofinesset;nofinessej;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_B17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2020;010000024;010780054;1;1;1;27748;414;26617;7951;436;1;;;;8352;414;358;7728;436;953;92;0;0;2;0;;816;17743;148;0;0;955;0;0;2;2;4;;1;;2;12;2;2;2;3.6;13.18;0.4;4.43;7;24;;;409;9373;0;0;0;0;0;0;2422;0;0;0;3;;2;;4.35;;10;6;;;3;11;3;1;1;;16.97;8.21;0.61;0.1;3
CANCERO;2020;010000032;010780062;1;0;0;737;0;649;703;0;0;730000015;;;672;0;23;626;0;93;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;010005239;010008407;1;0;0;83;0;69;215;0;0;10780054;;;60;0;0;60;0;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;010780195;010000156;1;0;1;3855;0;3481;2436;0;1;;;;3301;0;5;3258;0;378;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;0;3515;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0.2;1;2;0;0;0;0;0;0;2;1;1;1.98;0;1;0.5;0.14
CANCERO;2020;010780203;010010718;1;0;0;164;0;84;552;0;0;690023411;;;16;0;0;16;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;020000089;020000022;1;0;0;;1;;;1;0;;;;;1;;;1;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;020000162;020000063;1;1;1;25538;0;24565;9814;0;1;;;;9684;0;365;9020;0;928;0;5;0;3;0;0;795;14417;227;0;0;790;0;0;2;3;16;0;3;1;1;0;0;1;2.8;3.5;14.37;0;2.42;21;30;0;0;733;10754;0;0;0;7;0;0;6783;0;0;0;4;3;2;0;4.7;3;22;10;2;0;6;7;5;0;0;2;25.7;13.69;2;0;6.43
CANCERO;2020;020000360;020014742;0;0;0;231;0;128;425;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;020000394;020000253;1;0;1;778;0;632;1386;0;1;;;;618;0;1;617;0;80;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;31;11;;;1;276;0;0;0;2;0;0;6;0;0;0;1;0;0;0;0.2;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;1
CANCERO;2020;020000519;020000261;1;1;1;8212;0;7983;2246;0;1;;;;3240;0;3;3203;0;361;0;0;0;1;1;;257;4494;33;0;0;259;0;0;1;;;;;1;;;;;1.2;;;;;8;16;;;508;3357;0;0;0;0;0;0;2729;0;0;0;2;1;;1;2;1.8;11;7;0;0;6;1;0;0;0;3;12.4;7.08;0.05;0;8.2
CANCERO;2020;020000535;020000287;1;0;1;1837;0;1786;366;0;1;;;;1625;0;2;1579;0;151;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1617;0;0;0;0;0;0;0;0;0;0;1;;;2;1;0.6;1;2;;;2;2;;;;2;1.26;2.32;;0.1;2.26
CANCERO;2020;020001061;020004404;1;0;1;600;0;536;458;0;0;20000261;;;495;0;2;475;0;78;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;431;0;0;0;0;0;0;0;0;0;0;;;;1;;0.1;;;;;;4;1;;;1;0.4;0.4;;;0.1
CANCERO;2020;020010047;020001632;1;0;1;3010;0;2673;2468;0;1;;;;2666;0;8;2635;0;312;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;0;3591;0;0;0;7;0;0;0;0;0;0;2;;;2;2;1;3;;;;;1;;1;;;3.88;;0.25;;
CANCERO;2020;030000061;030780092;1;1;1;12879;0;12412;6829;0;1;;;;4750;0;64;4512;0;497;0;0;0;2;1;0;338;7851;93;0;0;392;0;0;1;3;7;0;2;0;0;2;0;2;1.43;3;8.63;0;2.63;;8;;;;4576;;;;;;;;;;;2;;2;;2.81;;3;2;0;0;4;6;1;0;0;2;7.54;2.5;0;0;5.18
CANCERO;2020;030000079;030780100;1;0;1;3232;1;2904;3934;2;1;;;;2905;1;20;2788;2;284;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;11;9;;;351;3178;0;0;0;0;0;0;4398;0;0;0;1;;;;1;0.76;10;8;;1;11;;;;;;8.92;6.22;;0.5;8.17
