BOR;AN;nofinesset;nofinessej;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2020;010000024;010780054;1;1;0;43;203;44;26;0;18;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;010780195;010000156;1;1;1;1239;2713;1366;155;0;1211;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2020;020000162;020000063;1;2;2;1233;4426;1429;377;0;1052;0;0;0;0;0;0;0;0;0;0;29;0;0
CHIRCAR;2020;020000519;020000261;1;1;1;611;1691;641;87;0;554;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;030000061;030780092;1;1;0;262;793;273;246;0;27;0;0;0;0;0;0;0;0;0;0;15;0;0
CHIRCAR;2020;030000079;030780100;1;1;1;618;1435;685;2;0;683;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2020;030000087;030780118;1;2;2;1266;2486;1347;76;1;1270;0;0;0;;;0;0;;0;0;25;0;0
CHIRCAR;2020;060000510;060780954;1;1;1;1206;4457;1530;642;0;888;0;0;0;;;0;0;;0;;44;0;0
CHIRCAR;2020;060000544;060780988;1;2;1;1213;3315;1323;481;0;842;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;060780715;060000361;1;;4;1867;4503;1972;522;0;1450;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;060785003;060785011;1;2;2;1235;3871;1476;704;0;772;0;0;0;;;0;0;;0;;42;0;0
CHIRCAR;2020;060794013;060790797;1;3;3;1640;3181;1832;504;0;1328;1;0;0;2;2;0;432;49;409;24;;3919;3358
CHIRCAR;2020;060800166;060780608;1;1;;259;712;316;300;0;16;0;0;0;;;0;0;;0;;35;0;0
CHIRCAR;2020;080000425;080011174;1;0;1;61;338;63;42;0;21;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;100000090;100000017;1;1;1;999;3832;1125;302;0;823;0;0;0;;;0;0;;0;;47;0;0
CHIRCAR;2020;110000023;110780061;1;;1;745;3203;864;174;0;690;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;110000056;110780137;1;;;0;0;;;;;0;0;0;;;;;;;;;0;0
CHIRCAR;2020;120000039;120780044;1;2;1;946;3662;1116;228;0;888;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130000409;130041916;1;2;2;1574;5119;1849;539;0;1310;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2020;130001225;130782634;1;;;;;;;;;0;0;0;;;;;;;;;;
CHIRCAR;2020;130002827;130789274;1;1;;120;486;132;95;0;37;0;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2020;130002835;130789316;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;56;;40;0;16;0;0
CHIRCAR;2020;130041767;130041262;1;0;2;1069;2984;1162;38;0;1124;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130042096;130042062;1;0;2;1214;3724;1313;179;0;1134;0;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2020;130780521;130786049;1;2;0;1863;4687;1939;398;0;1541;0;0;0;0;0;0;0;0;0;0;41;0;0
CHIRCAR;2020;130781479;130000599;1;3;2;856;3072;1057;161;0;896;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2020;130782147;130000979;1;1;;735;1964;869;31;0;841;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130783293;130786049;1;5;0;2304;8441;3094;1008;1;2085;1;0;1;4;5;5;1195;;1019;44;76;1516;10770
CHIRCAR;2020;130784051;130037823;1;3;3;1959;5341;2513;1288;0;1225;1;0;0;3;4;0;819;0;708;17;34;933;6303
CHIRCAR;2020;130784713;130038847;1;2;1;970;4855;1155;395;0;760;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130785652;130014228;1;2;1;2003;5655;2431;1168;0;1263;1;0;0;;;0;950;;831;22;49;1049;3310
CHIRCAR;2020;130804297;130786049;0;;;0;0;0;0;0;0;0;1;1;1;2;284;0;;0;16;;811;2904
CHIRCAR;2020;140000209;140000100;1;1;3;2336;6986;2634;835;1;1798;1;0;1;2;2;0;851;;0;;22;0;0
CHIRCAR;2020;140017237;140003278;1;3;1;3171;7626;3591;942;0;2649;1;0;0;2;2;0;676;;628;14;40;549;2330
CHIRCAR;2020;150000040;150780096;1;1;0;868;2463;954;119;0;835;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;160000253;160000451;1;1;1;1515;4592;1634;473;0;1161;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;170000087;170024194;1;3;0;1851;3901;2045;770;0;1275;0;0;0;;;;;;;;46;0;0
CHIRCAR;2020;170000103;170780175;1;;1;1785;4875;2004;501;0;1503;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;180000010;180000028;1;1;2;1432;4263;1636;336;0;1300;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;190000018;190000042;1;1;1;1304;3180;1474;99;0;1375;0;0;0;;;0;0;;0;0;34;0;0
CHIRCAR;2020;190000026;190000059;1;0;0;68;198;71;51;0;20;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;210012670;210011367;1;;2;1525;3135;1590;300;0;1290;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;210987558;210780581;1;3;2;2473;6661;2857;994;0;1863;1;0;1;2;3;8;1056;;807;17;44;817;5861
CHIRCAR;2020;220000012;220000020;1;2;2;1331;3346;1466;356;0;1110;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;230000820;230780041;1;1;0;113;580;127;85;0;42;0;0;0;0;0;0;0;;0;0;23;0;0
CHIRCAR;2020;240000489;240000117;1;1;1;1299;4520;1557;432;0;1125;0;0;0;0;0;0;0;0;0;0;39;0;0
CHIRCAR;2020;250000270;250000643;1;2;2;1179;1718;1230;316;0;914;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;250006954;250000015;1;3;3;2573;6469;2957;860;0;2097;1;0;0;3;4;1;829;0;685;24;37;799;5138
