BOR;AN;nofinesset;nofinessej;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETP_PM;ETP_PMDOU;ETP_IDE;ETP_IDEDOU;ETP_PSY;ETP_PNMAUT
DOULEUR;2020;010000024;010780054;Consultation;19;;0;;;;19;;;;378;;253;253;;467;1098;14;163;;;;0;;;;;;;;0;0;;;;;;;;2;2;3;;2;1;1;1;;;;;1;1;2;;2;;;;1;;;1;0.46;0.35;1.03;;0.44;0.5
DOULEUR;2020;020000162;020000063;Consultation;0;12;12;12;0;12;24;0;0;0;1003;763;1120;1120;0;1964;4087;35;610;197;3;2;2;2;0;0;5;0;6;2;425;176;21;2;2;2;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1.5;1.5;1.44;0.75;1;0.9
DOULEUR;2020;020000394;020000253;Consultation;;;0;;;;;;;;408;222;780;780;0;686;1874;213;497;211;;;0;;;;;;;;342;162;;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1.25;0
DOULEUR;2020;020000519;020000261;Consultation;411;89;2410;2385;25;610;3431;59;;210;552;267;2764;2444;320;593;3909;89;1198;420;;;18;18;;;18;;;;0;0;148;2;;2;;0;1;5;2;0;;2;2;2;;;;;;1;;;;;;2;2;;;2;2;3.53;1.2;2.04;;0.73;4
DOULEUR;2020;020001061;020004404;Consultation;;;0;;;;;;;;391;;528;528;;97;1016;;315;;;;0;;;;;;;;0;0;;;;;;;;6;6;3;3;1;1;6;6;3;3;;;;;;;1;1;;;;;;;0.5;0.5;0.2;0.2;0.35;0.2
DOULEUR;2020;020001087;020004495;Consultation;;;22;22;;;22;;;;;;877;877;;;877;;;;;;0;;;;;;;;0;0;;0;;;;0;0;4;3;1;1;1;2;;3;1;1;1;2;4;;;;;;;;;;;;0.4;0.3;0.2;0.1;0.1;0.3
DOULEUR;2020;030000061;030780092;Consultation;1;124;162;162;0;140;303;0;65;26;136;1216;1645;1645;0;1019;2800;325;676;276;3;8;14;14;0;6;23;0;11;6;0;0;0;1;;0;;0;0;0;;3;;1;1;0;;0;;0;0;0;;1;;1;0;0;;2;;0;1;1;;1.76;;0.3;0.68
DOULEUR;2020;030000079;030780100;Consultation;;0;130;130;0;0;130;;69;;299;814;589;589;0;805;1693;;379;150;1;0;1;1;0;0;2;;1;;0;0;0;1;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;1;1;;;0.5;;0.8;0.8;0.4;0.5
DOULEUR;2020;030000087;030780118;Consultation;;;20;20;;;20;;;;199;1073;902;902;;466;1567;194;557;50;;;0;;;;;;;;0;0;21;1;;0;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;0.38;;0.83;;0.1;
DOULEUR;2020;050000348;050002948;Consultation;;;0;;;;;;;;114;1414;563;563;;;677;50;349;7;;;0;;;;;;;;0;0;;;;1;;;;2;;1;;;2;1;;;;;1;;;1;;;;1;;;;;1;0.67;;1.3;;;0.51
