BOR;AN;nofinesset;nofinessej;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;010000024;010780054;0;;;;;234972;1;1;0;1;1;1;;;1;0;0;0;45;785;0;141;459;11973;0;3196;2670;367;0;113;123;119;44;28;60;0;18;0
HAD;2020;010005379;010010718;1;2;10005379;10005429;;;0;0;0;0;1;1;;;1;0;0;0;60;356;0;149;19;12566;0;5044;813;262;0;120;14;127;72;1;65;0;24;0
HAD;2020;020000089;020000022;0;;;;;112858;1;0;0;0;0;0;1;1;1;0;0;0;21;185;0;104;1;8875;0;5338;101;122;0;78;1;44;37;0;17;0;15;0
HAD;2020;020000105;020000055;0;;;;;43370;0;0;0;0;1;0;0;1;1;0;0;0;15;66;0;41;1;2329;0;1154;4;54;0;32;1;22;16;0;9;0;7;0
HAD;2020;020004297;020005179;1;2;20004297;20004297;;300488;1;0;0;0;1;1;1;0;1;0;0;0;70;392;0;152;11;12277;0;4954;161;293;0;110;9;91;32;2;61;0;18;0
HAD;2020;020010898;750721334;0;;;;;54000;1;0;0;0;1;0;1;0;1;0;0;1;25;138;0;51;4;5022;0;1499;200;102;0;38;3;31;17;1;6;0;0;0
HAD;2020;020014767;590805065;0;;;;;300000;0;0;0;0;1;0;1;0;1;0;0;0;40;304;0;113;5;14401;0;5643;364;228;0;86;4;93;44;0;38;0;3;0
HAD;2020;030000061;030780092;0;;;;;;1;1;0;0;1;1;;;1;0;0;0;12;276;0;83;1;4391;0;1203;6;207;0;75;1;79;44;0;43;0;25;0
HAD;2020;030000079;030780100;0;;;;;127571;1;1;0;0;1;1;;;1;0;0;0;30;276;0;62;18;8687;0;1387;778;185;0;59;13;62;30;2;19;0;10;0
HAD;2020;030000087;030780118;1;2;630000446;630000412;;;1;0;0;0;1;1;0;0;1;0;0;0;50;641;0;146;83;18854;0;6265;1085;395;0;126;39;135;60;7;73;0;24;0
HAD;2020;030781116;030000426;0;;;;;64888;0;0;0;0;1;1;;;1;0;0;0;20;29;0;9;1;821;0;158;25;26;0;9;1;25;9;1;26;0;9;1
HAD;2020;050000348;050002948;1;3;50000348;;;;1;;0;1;1;1;;;1;0;0;0;50;466;0;224;20;13669;0;6833;623;345;0;191;16;143;94;2;44;0;28;1
HAD;2020;060000478;060780897;0;;;;;133855;1;1;0;0;1;0;1;0;1;0;0;0;15;114;0;29;0;4282;0;853;0;91;0;24;0;45;13;0;29;0;4;0
HAD;2020;060000544;060780988;0;;;;;187300;1;0;0;0;1;0;1;0;1;0;0;0;25;225;0;33;4;6304;0;516;116;177;0;31;3;109;15;0;0;0;0;0
HAD;2020;060006558;060798865;0;;;;;379000;0;0;;;1;0;0;0;1;0;0;0;30;202;0;95;5;9881;0;4270;105;149;0;79;3;64;44;0;10;0;7;0
HAD;2020;060785243;060001484;1;2;60785243;60785243;60785243;;0;0;0;0;1;0;1;0;1;0;0;0;290;1674;0;482;14;81862;0;14112;564;1234;0;400;10;652;228;1;336;0;85;0
HAD;2020;070000609;070005566;0;;;;;85000;1;1;0;0;1;1;;;1;0;0;0;24;390;0;181;33;11060;0;4319;936;292;0;150;25;106;72;6;55;0;43;0
HAD;2020;080011257;080011224;0;;;;;63000;1;0;0;0;1;1;;;1;0;0;1;18;226;0;95;7;5887;0;2410;31;176;0;81;5;80;49;1;45;0;30;0
