BOR;AN;nofinesset;nofinessej;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2020;010000024;010780054;M9999;1;3;2.1;152
HAD_P;2020;010000024;010780054;MAUT;;3;1.1;152
HAD_P;2020;010000024;010780054;Mcoor;1;;1;
HAD_P;2020;010000024;010780054;N2120;1;;1;
HAD_P;2020;010000024;010780054;N2210;5;4;7.86;
HAD_P;2020;010000024;010780054;N2710;;1;0.3;
HAD_P;2020;010000024;010780054;N3120;;1;0.5;
HAD_P;2020;010000024;010780054;N9999;8;6;11.66;
HAD_P;2020;010000024;010780054;NAUT;2;;2;
HAD_P;2020;010005379;010010718;M3050;;1;0.6;
HAD_P;2020;010005379;010010718;M9999;1;1;1.68;
HAD_P;2020;010005379;010010718;Mcoor;1;;1.08;
HAD_P;2020;010005379;010010718;N2120;1;;0.52;
HAD_P;2020;010005379;010010718;N2710;;1;0.21;
HAD_P;2020;010005379;010010718;N3120;;2;0.99;
HAD_P;2020;010005379;010010718;N9999;5;6;7.53;
HAD_P;2020;010005379;010010718;NAUT;2;1;1.99;
HAD_P;2020;010005379;010010718;Ncoor;2;2;3.82;
HAD_P;2020;020000089;020000022;M9999;1;0;0.33;38
HAD_P;2020;020000089;020000022;MAUT;1;0;0.33;38
HAD_P;2020;020000089;020000022;N2120;1;0;0.5;
HAD_P;2020;020000089;020000022;N2210;4;0;1.99;95
HAD_P;2020;020000089;020000022;N2410;0;0;0;40
HAD_P;2020;020000089;020000022;N2510;29;0;18.99;
HAD_P;2020;020000089;020000022;N2710;0;0;0;1
HAD_P;2020;020000089;020000022;N9999;34;0;21.48;148
HAD_P;2020;020000089;020000022;NAUT;0;0;0;12
HAD_P;2020;020000105;020000055;M9999;;1;0.12;
HAD_P;2020;020000105;020000055;Mcoor;;1;0.12;
HAD_P;2020;020000105;020000055;N2120;0;;0.18;
HAD_P;2020;020000105;020000055;N2460;0;;0.12;
HAD_P;2020;020000105;020000055;N2510;0;;6.19;
HAD_P;2020;020000105;020000055;N2710;0;;0.06;
HAD_P;2020;020000105;020000055;N3120;0;;0.18;
HAD_P;2020;020000105;020000055;N9999;0;0;7.5;
HAD_P;2020;020000105;020000055;NAUT;0;;0.09;
HAD_P;2020;020000105;020000055;Ncoor;0;0;0.68;
HAD_P;2020;020004297;020005179;M3050;;1;0.09;
HAD_P;2020;020004297;020005179;M9999;;4;0.62;
HAD_P;2020;020004297;020005179;Mcoor;;3;0.53;
HAD_P;2020;020004297;020005179;N2120;1;;1;
HAD_P;2020;020004297;020005179;N2210;7;3;5.97;
HAD_P;2020;020004297;020005179;N2510;16;;13.15;
HAD_P;2020;020004297;020005179;N2710;;1;0.57;
HAD_P;2020;020004297;020005179;N3120;;1;0.6;
HAD_P;2020;020004297;020005179;N9999;28;6;25.37;
HAD_P;2020;020004297;020005179;NAUT;2;1;2.32;
HAD_P;2020;020004297;020005179;Ncoor;2;;1.76;
HAD_P;2020;020010898;750721334;M9999;0;1;0.3;0
HAD_P;2020;020010898;750721334;Mcoor;0;1;0.3;
HAD_P;2020;020010898;750721334;N2120;;1;0.8;
HAD_P;2020;020010898;750721334;N2510;0;12;2;
HAD_P;2020;020010898;750721334;N2710;0;1;0.4;0
HAD_P;2020;020010898;750721334;N9999;0;16;4.3;0
HAD_P;2020;020010898;750721334;Ncoor;0;2;1.1;
HAD_P;2020;020014767;590805065;M3050;;;;39
HAD_P;2020;020014767;590805065;M9999;;2;0.3;39
HAD_P;2020;020014767;590805065;Mcoor;;2;0.3;
HAD_P;2020;020014767;590805065;N2120;1;;1;
HAD_P;2020;020014767;590805065;N2210;;;;156
HAD_P;2020;020014767;590805065;N2410;;;;41
HAD_P;2020;020014767;590805065;N2460;;;;1
HAD_P;2020;020014767;590805065;N2510;6;5;9;
HAD_P;2020;020014767;590805065;N2710;;1;0.5;1
HAD_P;2020;020014767;590805065;N3120;;1;0.8;
HAD_P;2020;020014767;590805065;N9999;12;8;16.98;199
HAD_P;2020;020014767;590805065;NAUT;3;1;3.68;
HAD_P;2020;020014767;590805065;Ncoor;2;;2;
HAD_P;2020;030000061;030780092;M9999;0;1;0.4;0
HAD_P;2020;030000061;030780092;Mcoor;0;1;0.4;
HAD_P;2020;030000061;030780092;N2120;0;1;0.5;
HAD_P;2020;030000061;030780092;N2210;6;0;5.75;
HAD_P;2020;030000061;030780092;N2510;2;0;2;
HAD_P;2020;030000061;030780092;N9999;8;2;8.75;0
HAD_P;2020;030000061;030780092;NAUT;0;1;0.5;0
HAD_P;2020;030000079;030780100;M9999;1;;0.5;1
HAD_P;2020;030000079;030780100;MAUT;;;;1
HAD_P;2020;030000079;030780100;Mcoor;1;;0.5;
HAD_P;2020;030000079;030780100;N2120;1;;0.41;
HAD_P;2020;030000079;030780100;N2210;2;1;3.22;167
HAD_P;2020;030000079;030780100;N2410;;;;1
HAD_P;2020;030000079;030780100;N9999;8;2;8.55;169
HAD_P;2020;030000079;030780100;NAUT;3;1;2.92;1
HAD_P;2020;030000079;030780100;Ncoor;2;;2;
HAD_P;2020;030000087;030780118;M9999;;2;1.08;
HAD_P;2020;030000087;030780118;Mcoor;;2;1.08;
HAD_P;2020;030000087;030780118;N2120;2;0;1.18;
HAD_P;2020;030000087;030780118;N2210;3;3;5.46;
HAD_P;2020;030000087;030780118;N2510;3;0;3;
HAD_P;2020;030000087;030780118;N3120;;1;0.3;
HAD_P;2020;030000087;030780118;N9999;9;6;12.42;
HAD_P;2020;030000087;030780118;NAUT;1;2;2.48;
HAD_P;2020;030781116;030000426;M3050;1;;1;
HAD_P;2020;030781116;030000426;M9999;2;;2;
HAD_P;2020;030781116;030000426;Mcoor;1;;1;
HAD_P;2020;030781116;030000426;N2120;1;;1;
HAD_P;2020;030781116;030000426;N2510;1;;1;
HAD_P;2020;030781116;030000426;N9999;6;;3.4;
HAD_P;2020;030781116;030000426;NAUT;3;;0.4;
HAD_P;2020;030781116;030000426;Ncoor;1;;1;
HAD_P;2020;050000348;050002948;M9999;0;2;0.83;
HAD_P;2020;050000348;050002948;MAUT;0;2;0.83;
HAD_P;2020;050000348;050002948;N2120;1;0;1;
HAD_P;2020;050000348;050002948;N2210;4;6;7.32;
HAD_P;2020;050000348;050002948;N2510;4;5;6.37;
HAD_P;2020;050000348;050002948;N2710;0;2;0.45;
HAD_P;2020;050000348;050002948;N3120;1;0;0.5;
HAD_P;2020;050000348;050002948;N9999;12;13;16.86;
HAD_P;2020;050000348;050002948;NAUT;2;0;1.22;
HAD_P;2020;060000478;060780897;M9999;1;0;0.1;30
HAD_P;2020;060000478;060780897;MAUT;0;0;0;30
HAD_P;2020;060000478;060780897;Mcoor;1;0;0.1;
HAD_P;2020;060000478;060780897;N2210;4;9;5.77;
HAD_P;2020;060000478;060780897;N2510;3;6;5.21;
HAD_P;2020;060000478;060780897;N3120;1;0;0.09;
HAD_P;2020;060000478;060780897;N9999;9;15;12.07;
HAD_P;2020;060000478;060780897;NAUT;1;0;1;
HAD_P;2020;060000544;060780988;M9999;0;1;0.5;
HAD_P;2020;060000544;060780988;Mcoor;0;1;0.5;
HAD_P;2020;060000544;060780988;N2120;;1;0.54;
HAD_P;2020;060000544;060780988;N2210;8;2;8.83;
HAD_P;2020;060000544;060780988;N2510;6;;5.99;
HAD_P;2020;060000544;060780988;N2710;;1;0.5;
HAD_P;2020;060000544;060780988;N3120;;1;0.1;
HAD_P;2020;060000544;060780988;N9999;14;8;16.79;
HAD_P;2020;060000544;060780988;NAUT;;3;0.83;
HAD_P;2020;060006558;060798865;M3050;;;;18
HAD_P;2020;060006558;060798865;M9999;;1;0.76;18
HAD_P;2020;060006558;060798865;Mcoor;;1;0.76;
HAD_P;2020;060006558;060798865;N2120;;1;0.1;
HAD_P;2020;060006558;060798865;N2210;10;2;1.24;25
HAD_P;2020;060006558;060798865;N2410;;;;42
HAD_P;2020;060006558;060798865;N2510;9;1;0.36;
HAD_P;2020;060006558;060798865;N2710;;1;0.5;
HAD_P;2020;060006558;060798865;N3120;;1;0.26;
HAD_P;2020;060006558;060798865;N9999;22;10;4.96;67
HAD_P;2020;060006558;060798865;NAUT;1;4;0.5;
HAD_P;2020;060006558;060798865;Ncoor;2;;2;
HAD_P;2020;060785243;060001484;M3050;;1;0.8;
HAD_P;2020;060785243;060001484;M9999;1;3;3.1;
HAD_P;2020;060785243;060001484;Mcoor;1;2;2.3;
HAD_P;2020;060785243;060001484;N2120;1;0;1;
HAD_P;2020;060785243;060001484;N2210;28;7;34.5;494
HAD_P;2020;060785243;060001484;N2410;1;0;1;196
HAD_P;2020;060785243;060001484;N2510;18;10;26.5;
HAD_P;2020;060785243;060001484;N2710;1;0;1;7
HAD_P;2020;060785243;060001484;N3120;3;;2.5;
HAD_P;2020;060785243;060001484;N9999;87;21;103.8;697
HAD_P;2020;060785243;060001484;NAUT;23;3;24.5;
HAD_P;2020;060785243;060001484;Ncoor;12;1;12.8;
HAD_P;2020;070000609;070005566;M9999;2;;1.46;
HAD_P;2020;070000609;070005566;MAUT;2;;1.46;
HAD_P;2020;070000609;070005566;N2120;1;;0.99;
HAD_P;2020;070000609;070005566;N2210;5;1;5.31;
HAD_P;2020;070000609;070005566;N2460;;;0.05;
HAD_P;2020;070000609;070005566;N2510;2;2;2.72;
HAD_P;2020;070000609;070005566;N3120;1;;0.65;
HAD_P;2020;070000609;070005566;N9999;10;5;12.42;
HAD_P;2020;070000609;070005566;NAUT;1;2;2.7;
HAD_P;2020;080011257;080011224;M9999;;1;0.2;
HAD_P;2020;080011257;080011224;Mcoor;;1;0.2;
HAD_P;2020;080011257;080011224;N2510;7;2;7.13;
HAD_P;2020;080011257;080011224;N2710;;1;0.15;
HAD_P;2020;080011257;080011224;N9999;18;7;18.61;
HAD_P;2020;080011257;080011224;NAUT;1;;1.01;
HAD_P;2020;080011257;080011224;Ncoor;10;4;10.32;
HAD_P;2020;080011265;080011224;M9999;1;1;1.15;
HAD_P;2020;080011265;080011224;Mcoor;1;1;1.15;
HAD_P;2020;080011265;080011224;N2210;13;1;13.8;
HAD_P;2020;080011265;080011224;N2510;5;;5;
HAD_P;2020;080011265;080011224;N2710;;1;0.5;
HAD_P;2020;080011265;080011224;N3120;;1;0.6;
HAD_P;2020;080011265;080011224;N9999;21;5;24.2;
HAD_P;2020;080011265;080011224;NAUT;1;1;1.5;
HAD_P;2020;080011265;080011224;Ncoor;2;1;2.8;
HAD_P;2020;090000175;090781774;M9999;3;;2.08;
HAD_P;2020;090000175;090781774;Mcoor;3;;2.08;
HAD_P;2020;090000175;090781774;N2120;;1;0.72;
HAD_P;2020;090000175;090781774;N2210;7;;7.66;
HAD_P;2020;090000175;090781774;N2510;5;1;6.54;
HAD_P;2020;090000175;090781774;N2710;;1;0.5;
HAD_P;2020;090000175;090781774;N3120;;1;0.7;
HAD_P;2020;090000175;090781774;N9999;16;4;20.12;
HAD_P;2020;090000175;090781774;NAUT;2;;2;
HAD_P;2020;090000175;090781774;Ncoor;2;;2;
HAD_P;2020;100007699;100006279;M9999;1;2;0.74;
HAD_P;2020;100007699;100006279;MAUT;1;2;0.74;
HAD_P;2020;100007699;100006279;N2210;8;;9.37;
HAD_P;2020;100007699;100006279;N2510;3;7;9.06;
HAD_P;2020;100007699;100006279;N9999;13;8;20.12;
HAD_P;2020;100007699;100006279;NAUT;1;1;1.19;
HAD_P;2020;100007699;100006279;Ncoor;1;;0.5;
HAD_P;2020;100010578;100010347;M9999;1;;0.34;
HAD_P;2020;100010578;100010347;Mcoor;1;;0.34;
HAD_P;2020;100010578;100010347;N2120;1;;1;
HAD_P;2020;100010578;100010347;N2210;5;2;6.55;
HAD_P;2020;100010578;100010347;N2510;6;8;11.25;
HAD_P;2020;100010578;100010347;N2710;;1;0.4;
HAD_P;2020;100010578;100010347;N3120;;1;0.5;
HAD_P;2020;100010578;100010347;N9999;21;14;29.95;
HAD_P;2020;100010578;100010347;NAUT;6;1;6.5;
HAD_P;2020;100010578;100010347;Ncoor;3;1;3.75;
HAD_P;2020;110000247;110780772;M9999;1;;0.2;
HAD_P;2020;110000247;110780772;Mcoor;1;;0.2;
HAD_P;2020;110000247;110780772;N2120;1;;0.5;
HAD_P;2020;110000247;110780772;N2210;9;1;7.31;
HAD_P;2020;110000247;110780772;N2510;3;;0.69;
HAD_P;2020;110000247;110780772;N2710;;1;0.07;
HAD_P;2020;110000247;110780772;N3120;1;;0.1;
HAD_P;2020;110000247;110780772;N9999;15;2;8.77;
HAD_P;2020;110000247;110780772;NAUT;1;;0.1;
