BOR;AN;nofinesset;nofinessej;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2020;010000024;010780054;MAMM;1;;;;;;;
IMAGES;2020;010000024;010780054;RADIO;4;4;16536;177;;22176;555;1
IMAGES;2020;010000024;010780054;SCAN;2;2;7561;182;;7203;294;1
IMAGES;2020;010000024;010780054;VASC;1;1;252;;;;;1
IMAGES;2020;010000032;010780062;MAMM;1;1;;;;444;;
IMAGES;2020;010000032;010780062;RADIO;2;2;1477;0;0;10408;131;1
IMAGES;2020;010000032;010780062;SCAN;1;1;1391;0;0;6575;37;1
IMAGES;2020;010000214;010007987;RADIO;1;1;1748;294;392;255;0;
IMAGES;2020;010000214;010007987;VASC;1;1;;;;;;
IMAGES;2020;010005239;010008407;IRM;1;1;61;;;526;4;
IMAGES;2020;010005239;010008407;RADIO;3;3;1868;;;14971;198;
IMAGES;2020;010005239;010008407;SCAN;1;1;1276;;;4396;102;
IMAGES;2020;010780195;010000156;CAM;2;;;;;;;
IMAGES;2020;010780195;010000156;IRM;1;;;;;;;
IMAGES;2020;010780195;010000156;RADIO;2;;;;;;;
IMAGES;2020;010780195;010000156;SCAN;1;;;;;;;
IMAGES;2020;010780195;010000156;TOMO;1;;;;;;;
IMAGES;2020;010780195;010000156;VASC;1;;;;;;;
IMAGES;2020;020000089;020000022;RADIO;1;1;871;160;;2879;;
IMAGES;2020;020000162;020000063;IRM;1;1;4684;12;12;7457;31;0
IMAGES;2020;020000162;020000063;LITHO;1;1;134;0;0;0;2;1
IMAGES;2020;020000162;020000063;MAMM;1;1;;;;1558;;
IMAGES;2020;020000162;020000063;RADIO;5;5;14035;105;0;19516;367;0
IMAGES;2020;020000162;020000063;SCAN;2;2;28373;123;356;21430;535;0
IMAGES;2020;020000162;020000063;VASC;2;2;2981;0;0;0;4;1
IMAGES;2020;020000303;750814030;RADIO;2;2;1744;;;;;0
IMAGES;2020;020000360;020014742;RADIO;3;;;;;;;
IMAGES;2020;020000394;020000253;MAMM;1;1;;;;379;;
IMAGES;2020;020000394;020000253;RADIO;4;4;5056;;;13190;263;0
IMAGES;2020;020000394;020000253;SCAN;1;1;5591;;;6396;243;0
IMAGES;2020;020000519;020000261;IRM;2;2;680;;;4095;3;0
IMAGES;2020;020000519;020000261;MAMM;1;1;;;;902;;
IMAGES;2020;020000519;020000261;RADIO;3;3;5128;;;17830;244;0
IMAGES;2020;020000519;020000261;SCAN;2;2;2129;;;8820;87;0
IMAGES;2020;020000519;020000261;dtIRM2;1;1;311;;;2129;;0
IMAGES;2020;020000535;020000287;RADIO;2;2;4127;;;6828;141;0
IMAGES;2020;020000535;020000287;SCAN;1;1;3029;;;6229;88;0
IMAGES;2020;020000543;020000295;RADIO;1;1;691;;;;;1
IMAGES;2020;020000915;020003620;RADIO;1;1;12917;;;;;0
IMAGES;2020;020001061;020004404;IRM;2;2;282;;;2807;;0
IMAGES;2020;020001061;020004404;RADIO;2;2;6972;;;10520;232;0
IMAGES;2020;020001061;020004404;SCAN;1;1;4601;;;2785;85;0
IMAGES;2020;020001087;020004495;RADIO;2;2;1784;;;;;0
IMAGES;2020;020001087;020004495;SCAN;1;1;5641;;;;;0
IMAGES;2020;030000061;030780092;IRM;1;1;625;0;0;2531;0;1
IMAGES;2020;030000061;030780092;LITHO;1;1;109;;;68;;
IMAGES;2020;030000061;030780092;MAMM;1;1;;;;473;;
IMAGES;2020;030000061;030780092;RADIO;5;5;8016;0;0;18295;195;0
IMAGES;2020;030000061;030780092;SCAN;1;1;6424;0;0;18091;199;1
IMAGES;2020;030000079;030780100;CAM;1;1;518;3;;8045;;0
IMAGES;2020;030000079;030780100;IRM;1;1;410;3;;4762;67;0
IMAGES;2020;030000079;030780100;MAMM;1;1;;;;677;;
IMAGES;2020;030000079;030780100;RADIO;3;3;7209;5;;18799;250;0
IMAGES;2020;030000079;030780100;SCAN;1;1;6199;5;;4773;154;1
IMAGES;2020;030000079;030780100;VASC;1;1;630;;;;2;1
IMAGES;2020;030000087;030780118;IRM;2;2;734;;3868;8212;0;0
IMAGES;2020;030000087;030780118;MAMM;1;1;;;;1543;;
IMAGES;2020;030000087;030780118;RADIO;3;3;5953;;;21966;103;1
IMAGES;2020;030000087;030780118;SCAN;1;1;3566;;;14281;176;1
IMAGES;2020;030000087;030780118;VASC;2;2;3033;;;;;1
IMAGES;2020;030780548;030000194;LITHO;1;;;;;;;
IMAGES;2020;030780548;030000194;RADIO;1;;;;;;;
IMAGES;2020;030780548;030000194;SCAN;1;;;;;;;
IMAGES;2020;030780548;030000194;VASC;1;;;;;;;
IMAGES;2020;030781116;030000426;LITHO;1;1;232;0;0;0;0;
IMAGES;2020;040000093;040780215;IRM;1;1;398;5;;334;1;1
IMAGES;2020;040000093;040780215;LITHO;1;1;30;;;2;;1
IMAGES;2020;040000093;040780215;RADIO;2;2;6106;155;;10785;319;1
IMAGES;2020;040000093;040780215;SCAN;2;2;5859;32;;1761;203;1
IMAGES;2020;040000135;050002948;RADIO;2;2;469;;1;6947;97;
IMAGES;2020;040000135;050002948;SCAN;1;1;676;;510;3419;56;
IMAGES;2020;040000911;040788879;IRM;1;1;429;0;0;506;0;0
IMAGES;2020;040000911;040788879;RADIO;2;2;5464;0;0;7760;152;1
IMAGES;2020;040000911;040788879;SCAN;1;1;3086;0;0;1602;79;1
IMAGES;2020;040780488;040000200;RADIO;1;1;297;;;;;
IMAGES;2020;050000231;050000116;RADIO;3;3;;;;;;
IMAGES;2020;050000231;050000116;SCAN;1;1;;;;;;
IMAGES;2020;050000256;050000124;RADIO;2;2;1243;;;5664;14;
IMAGES;2020;050000348;050002948;CAM;1;;;;;;;
IMAGES;2020;050000348;050002948;IRM;2;1;692;;;3556;1;
IMAGES;2020;050000348;050002948;MAMM;1;1;;;;224;;
IMAGES;2020;050000348;050002948;RADIO;4;4;6230;;11;16698;369;
IMAGES;2020;050000348;050002948;SCAN;1;1;3063;;2;8556;179;
IMAGES;2020;060000478;060780897;IRM;1;;;;;2704;;
IMAGES;2020;060000478;060780897;LITHO;1;;;;;;;
IMAGES;2020;060000478;060780897;RADIO;4;;;;;20324;;
IMAGES;2020;060000478;060780897;SCAN;2;;;;;5707;;
IMAGES;2020;060000486;060780905;RADIO;1;0;;;;;;0
IMAGES;2020;060000510;060780954;IRM;2;2;727;;;5184;;
IMAGES;2020;060000510;060780954;MAMM;1;1;;;;3035;;
IMAGES;2020;060000510;060780954;RADIO;3;3;13367;;;16299;;
IMAGES;2020;060000510;060780954;SCAN;2;2;7962;;;6785;128;1
IMAGES;2020;060000510;060780954;VASC;1;1;2151;;;0;;
IMAGES;2020;060000510;060780954;dtIRM1;1;1;264;;;3154;;
IMAGES;2020;060000510;060780954;dtIRM2;1;1;463;;;2030;;
IMAGES;2020;060000528;060780962;CAM;3;3;761;;;3802;;
IMAGES;2020;060000528;060780962;IRM;1;1;686;;;7520;;1
IMAGES;2020;060000528;060780962;MAMM;2;2;;;;16476;;
IMAGES;2020;060000528;060780962;RADIO;1;1;3925;;;905;;1
IMAGES;2020;060000528;060780962;SCAN;1;1;2813;;;14970;;1
IMAGES;2020;060000528;060780962;TOMO;1;1;297;;;5807;;
IMAGES;2020;060000544;060780988;IRM;2;2;1946;;;3849;;0
IMAGES;2020;060000544;060780988;RADIO;4;4;17072;14;;15809;;0
IMAGES;2020;060000544;060780988;SCAN;2;2;7874;26;;8718;224;1
IMAGES;2020;060000544;060780988;VASC;2;2;1511;;;;;1
IMAGES;2020;060000544;060780988;dtIRM2;1;1;928;;;3264;;
IMAGES;2020;060002102;060791761;IRM;1;1;221;;;3528;;0
IMAGES;2020;060002102;060791761;MAMM;1;1;;;;248;;
IMAGES;2020;060002102;060791761;RADIO;2;2;3149;;;8375;;0
IMAGES;2020;060002102;060791761;SCAN;1;1;3195;;;4794;;0
IMAGES;2020;060780442;060000213;RADIO;1;1;465;;;1526;;
IMAGES;2020;060780459;010783009;RADIO;1;1;356;;;;;0
IMAGES;2020;060780491;060790797;CAM;3;;;;;;;
IMAGES;2020;060780491;060790797;IRM;2;;;;;;;
IMAGES;2020;060780491;060790797;MAMM;1;;;;;;;
IMAGES;2020;060780491;060790797;RADIO;1;;;;;;;
IMAGES;2020;060780491;060790797;SCAN;2;;;;;;;
IMAGES;2020;060780491;060790797;VASC;2;;;;;;;
IMAGES;2020;060780590;060000270;MAMM;1;;;;;;;
