BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2020;010000024;010780054;M1160;1;7;1.43;0;1;0;0
IMAGES_P;2020;010000024;010780054;MAUT;;2;0.2;;;;
IMAGES_P;2020;010000024;010780054;N4130;13;12;20.7;0;1;;
IMAGES_P;2020;010000024;010780054;N4160;;;0.87;;;;
IMAGES_P;2020;010000024;010780054;NAUT;7;8;10.85;;;;
IMAGES_P;2020;010000032;010780062;M1160;1;;0.24;;;0;0
IMAGES_P;2020;010000032;010780062;N4130;6;3;7.79;;;;
IMAGES_P;2020;010000032;010780062;N4160;;;0.33;;;;
IMAGES_P;2020;010000032;010780062;NAUT;5;;4.55;;;;
IMAGES_P;2020;010000214;010007987;N4130;;3;2.7;;;;
IMAGES_P;2020;010000214;010007987;N4160;1;;1;;;;
IMAGES_P;2020;010005239;010008407;M1160;2;1;2.42;;;;
IMAGES_P;2020;010005239;010008407;N4130;8;1;7.71;;;;
IMAGES_P;2020;010005239;010008407;NAUT;3;0;3.61;;;;
IMAGES_P;2020;010780195;010000156;N4130;0;0;0;0;1;;
IMAGES_P;2020;020000089;020000022;N4130;0;1;0.8;;;;
IMAGES_P;2020;020000089;020000022;N4160;1;0;1;;;;
IMAGES_P;2020;020000089;020000022;NAUT;2;0;1.5;;;;
IMAGES_P;2020;020000162;020000063;M1160;4;5;5.2;1;;1;1
IMAGES_P;2020;020000162;020000063;N4130;19;3;21.49;0;1;;
IMAGES_P;2020;020000162;020000063;N4160;1;0;1;;;;
IMAGES_P;2020;020000162;020000063;NAUT;9;12;11.62;;;;
IMAGES_P;2020;020000303;750814030;M1160;;1;0.11;0;0;0;1
IMAGES_P;2020;020000303;750814030;N4130;1;1;1.4;0;0;;
IMAGES_P;2020;020000303;750814030;NAUT;1;;1;;;;
IMAGES_P;2020;020000360;020014742;M1160;;7;;;;;
IMAGES_P;2020;020000394;020000253;M1160;1;2;2.2;0;1;1;
IMAGES_P;2020;020000394;020000253;N4130;13;4;14.8;0;1;;
IMAGES_P;2020;020000394;020000253;N4160;0;1;0.8;;;;
IMAGES_P;2020;020000394;020000253;NAUT;5;2;6.4;;;;
IMAGES_P;2020;020000519;020000261;M1160;7;1;7.02;0;1;;
IMAGES_P;2020;020000519;020000261;N4130;13;1;14.67;1;0;;
IMAGES_P;2020;020000519;020000261;N4160;1;0;0.8;;;;
IMAGES_P;2020;020000519;020000261;NAUT;10;1;11.74;;;;
IMAGES_P;2020;020000535;020000287;M1160;;1;0.6;0;0;0;0
IMAGES_P;2020;020000535;020000287;N4130;6;5;10;;;;
IMAGES_P;2020;020000535;020000287;N4160;1;;1;;;;
IMAGES_P;2020;020000535;020000287;NAUT;3;2;3.86;;;;
IMAGES_P;2020;020000543;020000295;M1160;;1;0.2;0;0;0;1
IMAGES_P;2020;020000543;020000295;N4130;1;0;1;0;0;;
IMAGES_P;2020;020000915;020003620;M1160;;;;;;0;1
IMAGES_P;2020;020000915;020003620;N4130;;1;0.8;0;0;;
IMAGES_P;2020;020001061;020004404;M1160;1;2;1.6;0;1;1;1
IMAGES_P;2020;020001061;020004404;N4130;14;;13.8;1;0;;
IMAGES_P;2020;020001061;020004404;NAUT;10;;9.73;;;;
IMAGES_P;2020;020001087;020004495;M1160;0;5;1.5;;1;1;
IMAGES_P;2020;020001087;020004495;N4130;4;1;5.19;;1;;
IMAGES_P;2020;020001087;020004495;NAUT;4;0;3.33;;;;
IMAGES_P;2020;030000061;030780092;M1160;2;1;3;0;1;0;0
IMAGES_P;2020;030000061;030780092;MAUT;8;0;5.52;;;;
IMAGES_P;2020;030000061;030780092;N4130;13;8;16.05;1;0;;
IMAGES_P;2020;030000061;030780092;N4160;0;1;0.43;;;;
IMAGES_P;2020;030000061;030780092;NAUT;6;1;7.08;;;;
IMAGES_P;2020;030000079;030780100;M1160;3;3;4.45;0;1;0;0
IMAGES_P;2020;030000079;030780100;M1210;2;;2;0;0;;
IMAGES_P;2020;030000079;030780100;N4130;17;7;22.71;0;1;;
IMAGES_P;2020;030000079;030780100;N4160;1;;0.53;;;;
IMAGES_P;2020;030000079;030780100;NAUT;12;1;12.55;;;;
IMAGES_P;2020;030000087;030780118;M1160;7;1;7.03;0;1;;
IMAGES_P;2020;030000087;030780118;N4130;23;5;26.42;;;;
IMAGES_P;2020;030000087;030780118;N4160;1;0;1.5;;;;
IMAGES_P;2020;030000087;030780118;NAUT;7;2;8.23;;;;
IMAGES_P;2020;030781116;030000426;M1160;3;0;3;0;1;;
IMAGES_P;2020;040000093;040780215;M1160;0;7;3.24;0;1;0;0
IMAGES_P;2020;040000093;040780215;N4130;7;0;6.89;0;1;;
IMAGES_P;2020;040000093;040780215;N4160;1;0;1;;;;
IMAGES_P;2020;040000093;040780215;NAUT;3;1;3.16;;;;
IMAGES_P;2020;040000135;050002948;M1160;0;4;1.3;;;;
IMAGES_P;2020;040000135;050002948;N4130;4;4;6.94;0;0;;
IMAGES_P;2020;040000135;050002948;NAUT;1;4;1.57;;;;
IMAGES_P;2020;040000911;040788879;N4130;10;1;10.42;1;0;;
IMAGES_P;2020;040000911;040788879;N4160;;1;0.58;;;;
IMAGES_P;2020;040000911;040788879;NAUT;3;5;3.82;;;;
IMAGES_P;2020;050000231;050000116;M1160;2;0;2;;;;
IMAGES_P;2020;050000231;050000116;N4130;10;2;10.31;;;;
IMAGES_P;2020;050000231;050000116;NAUT;1;1;1.3;;;;
IMAGES_P;2020;050000256;050000124;M1160;0;0;0.09;0;0;0;0
IMAGES_P;2020;050000256;050000124;N4130;4;0;3.23;0;1;;
IMAGES_P;2020;050000256;050000124;NAUT;3;5;3.49;;;;
IMAGES_P;2020;050000348;050002948;M1160;1;3;3.58;;;;
IMAGES_P;2020;050000348;050002948;N4130;13;13;21.6;;;;
IMAGES_P;2020;050000348;050002948;N4160;1;0;1;;;;
IMAGES_P;2020;050000348;050002948;NAUT;10;2;10.04;;;;
IMAGES_P;2020;060000478;060780897;M1160;6;2;3.46;;1;;
IMAGES_P;2020;060000478;060780897;N4130;13;1;11.71;;;;
IMAGES_P;2020;060000478;060780897;NAUT;5;2;5.65;;;;
IMAGES_P;2020;060000486;060780905;N4130;;1;0.6;0;0;;
IMAGES_P;2020;060000510;060780954;M1160;8;1;8.2;0;1;;
IMAGES_P;2020;060000510;060780954;N4130;32;2;33.9;0;1;;
IMAGES_P;2020;060000510;060780954;N4160;1;;1;;;;
IMAGES_P;2020;060000510;060780954;NAUT;33;1;34.24;;;;
IMAGES_P;2020;060000528;060780962;M1160;5;4;7.3;;;;
IMAGES_P;2020;060000528;060780962;M1210;7;1;7.13;;;;
IMAGES_P;2020;060000528;060780962;MAUT;9;1;1.39;;;;
IMAGES_P;2020;060000528;060780962;N4130;28;1;29.54;;;;
IMAGES_P;2020;060000528;060780962;N4160;3;;1.55;;;;
IMAGES_P;2020;060000528;060780962;NAUT;22;1;19.36;;;;
IMAGES_P;2020;060000544;060780988;M1160;6;2;6.95;0;1;0;0
IMAGES_P;2020;060000544;060780988;N4130;24;4;29.9;;;;
IMAGES_P;2020;060000544;060780988;N4160;;1;0.2;;;;
IMAGES_P;2020;060000544;060780988;NAUT;7;9;11.34;;;;
IMAGES_P;2020;060002102;060791761;M1160;4;1;4.5;0;1;;
IMAGES_P;2020;060002102;060791761;N4130;14;1;14.5;1;0;;
IMAGES_P;2020;060002102;060791761;N4160;1;;1;;;;
IMAGES_P;2020;060002102;060791761;NAUT;6;1;6.3;;;;
IMAGES_P;2020;060780442;060000213;M1160;;1;0.2;0;0;0;0
IMAGES_P;2020;060780442;060000213;N4130;1;;1;0;0;;
IMAGES_P;2020;060780459;010783009;N4130;;1;0.23;0;0;;
IMAGES_P;2020;060780590;060000270;M1160;;;;;1;0;0
IMAGES_P;2020;060780715;060000361;M1160;;14;2.8;0;1;0;0
IMAGES_P;2020;060780715;060000361;N4130;14;;14;0;1;;
IMAGES_P;2020;060780715;060000361;NAUT;10;;7.46;;;;
IMAGES_P;2020;060780756;060000403;N4130;3;;2.21;;;;
IMAGES_P;2020;060780996;630786754;N4130;1;;1.02;0;0;;
IMAGES_P;2020;060780996;630786754;N4160;;1;0.2;;;;
IMAGES_P;2020;060781200;060000635;M1160;;14;1;0;1;0;0
IMAGES_P;2020;060781200;060000635;N4130;2;;2;0;1;;
IMAGES_P;2020;060781200;060000635;NAUT;1;;1;;;;
IMAGES_P;2020;060785003;060785011;M1160;13;9;14.24;1;0;;
IMAGES_P;2020;060785003;060785011;MAUT;2;3;2.86;;;;
IMAGES_P;2020;060785003;060785011;N4130;70;22;77.8;;;;
IMAGES_P;2020;060785003;060785011;NAUT;48;8;51.66;;;;
IMAGES_P;2020;060788957;060785011;M1160;0;0;0.29;0;0;;
IMAGES_P;2020;060788957;060785011;N4130;1;1;1.05;;;;
IMAGES_P;2020;060788957;060785011;NAUT;2;;2;;;;
IMAGES_P;2020;060789195;060785011;M1160;4;6;4.92;0;1;;
IMAGES_P;2020;060789195;060785011;M1210;3;0;3;0;0;;
IMAGES_P;2020;060789195;060785011;MAUT;2;1;2.22;;;;
IMAGES_P;2020;060789195;060785011;N4130;25;5;28.06;0;1;;
IMAGES_P;2020;060789195;060785011;NAUT;40;2;36.8;;;;
IMAGES_P;2020;060789674;130037815;N4130;;1;1.33;0;0;;
IMAGES_P;2020;060791811;060010808;N4130;2;1;2.25;0;1;;
IMAGES_P;2020;060794013;060790797;N4130;3;;2.69;0;1;;
IMAGES_P;2020;060794013;060790797;N4160;1;;1;;;;
IMAGES_P;2020;060794013;060790797;NAUT;7;;6.41;;;;
IMAGES_P;2020;060798881;060798873;M1160;;6;0.1;0;0;0;0
IMAGES_P;2020;060798881;060798873;N4130;;4;0.1;0;0;;
IMAGES_P;2020;060800174;060800174;M1160;3;36;4.99;0;1;1;1
IMAGES_P;2020;060800174;060800174;N4130;5;15;12.59;0;1;;
IMAGES_P;2020;060800174;060800174;N4160;;1;0.5;;;;
IMAGES_P;2020;060800174;060800174;NAUT;2;4;4.33;;;;
IMAGES_P;2020;070000013;070002878;M1160;3;;2.18;;;;
IMAGES_P;2020;070000013;070002878;N4130;6;2;7.19;;;;
IMAGES_P;2020;070000013;070002878;N4160;1;;1.3;;;;
IMAGES_P;2020;070000013;070002878;NAUT;11;2;9.73;;;;
IMAGES_P;2020;070000070;070780150;N4130;;1;0.8;0;0;;
IMAGES_P;2020;070000096;070780184;M1160;;5;1;0;0;0;0
