BOR;AN;nofinesset;nofinessej;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2020;010000024;010780054;1;20;721;5746;;6;2.76;0;1;;6;2.76;0;1;20;11;25.59
MCOAVC;2020;020000162;020000063;1;21;579;4941;5;1;5.6;0;1;5;1;5.6;0;1;10;34;28.52
MCOAVC;2020;020000519;020000261;1;21;1115;6645;5;;5;0;1;5;;5;;;8;0;9.83
MCOAVC;2020;030000079;030780100;1;18;513;4579;4;1;4.38;0;1;4;1;4.38;0;1;;;
MCOAVC;2020;030000087;030780118;1;12;370;3085;1;;0.5;0;1;1;;0.5;0;1;10;4;13.09
MCOAVC;2020;060000544;060780988;1;22;877;6235;1;5;3.32;0;1;1;4;2.82;0;1;8;45;25.37
MCOAVC;2020;060785003;060785011;1;24;744;7696;2;3;4.36;1;0;2;1;4.16;1;0;650;117;647.01
MCOAVC;2020;100000090;100000017;1;16;662;4872;0;5;1.65;0;1;0;5;1.65;0;1;1;36;21.6
MCOAVC;2020;110000023;110780061;1;18;757;4043;;6;1.89;0;1;;6;1.89;0;1;43;13;32.25
MCOAVC;2020;110000056;110780137;1;4;948;6528;1;3;2.81;0;1;1;3;2.81;0;1;9;3;8.81
MCOAVC;2020;120000039;120780044;1;8;539;2018;7;1;7.23;0;1;6;1;6.23;0;1;23;16;32.08
MCOAVC;2020;130000409;130041916;1;4;649;1130;0;3;0.32;1;0;0;3;0.32;1;0;4;7;7.85
MCOAVC;2020;130783293;130786049;1;22;1031;6861;8;11;8.91;;;7;8;7.97;;;53;5;54.46
MCOAVC;2020;130784051;130037823;1;3;736;3293;3;;3;0;0;;;;0;0;11;1;10.99
MCOAVC;2020;140000027;140000035;1;13;602;3450;5;;1.8;0;1;4;;1.33;0;1;;;
MCOAVC;2020;140000209;140000100;1;26;1241;9019;2;2;1.23;0;1;2;2;1.23;0;1;29;16;36.39
MCOAVC;2020;160000253;160000451;1;10;567;2895;3;2;3.75;0;1;3;2;3.75;0;1;24;25;37.43
MCOAVC;2020;170000087;170024194;1;19;1086;5913;8;2;2.48;0;1;8;2;2.48;0;1;10;8;17.13
MCOAVC;2020;170000103;170780175;1;18;758;2686;5;1;1.76;0;1;4;0;1.2;0;1;100;25;55.22
MCOAVC;2020;180000010;180000028;1;12;472;3634;;4;1.6;0;1;;4;1.6;0;1;6;35;21.33
MCOAVC;2020;210987558;210780581;1;10;903;2959;;6;1.35;1;;;6;1.35;1;;18;5;17.39
MCOAVC;2020;220000012;220000020;1;27;1248;8823;6;2;7.54;0;1;6;2;7.54;0;1;39;25;49.59
MCOAVC;2020;240000489;240000117;1;22;781;5060;4;;4;0;1;3;;3;0;;17;0;16.3
MCOAVC;2020;250006954;250000015;1;24;889;8294;0;6;3.21;1;0;;;;1;0;28;23;43.44
MCOAVC;2020;260000013;260000021;1;20;854;6003;10;;1.8;1;0;10;;1.8;1;0;32;24;31.25
MCOAVC;2020;260000138;260000047;1;14;324;3105;4;2;4.76;0;1;4;2;4.76;0;1;28;7;33.25
MCOAVC;2020;270000359;270023724;1;0;183;655;;;;;;;;;;;;;4.04
MCOAVC;2020;280000084;280000183;1;4;289;1066;4;2;0.99;0;1;4;2;0.99;;;19;2;6.83
MCOAVC;2020;280504267;280000134;1;16;567;4099;4;2;2.26;0;1;4;2;2.26;0;1;13;3;11.46
MCOAVC;2020;290000025;290020700;1;6;725;4115;1;5;2;0;1;1;5;2;0;1;32;12;11.22
MCOAVC;2020;290004324;290000017;1;22;1018;7812;5;10;6;1;0;5;10;6;1;0;24;30;35.31
MCOAVC;2020;2A0000022;2A0000014;1;9;601;2861;;4;3.11;0;1;;;;0;1;26;3;25.52
MCOAVC;2020;300782117;300780038;1;12;1096;3849;11;5;10.28;1;0;10;5;9.9;1;0;38;2;33.85
MCOAVC;2020;310781000;310788880;1;15;415;3345;;5;1;0;1;;5;1;0;1;8;3;11.31
MCOAVC;2020;310783048;310781406;1;69;3340;20565;10;5;9.37;1;1;8;5;7.95;1;1;102;21;105.44
MCOAVC;2020;320000086;320780117;1;14;1080;3878;0;3;0.3;0;0;0;3;0.3;0;0;0;39;14.35
MCOAVC;2020;330000555;330781204;1;12;536;3106;6;1;2;;1;6;1;1;;1;50;9;15.55
MCOAVC;2020;330000605;330781253;1;17;581;4557;;3;1.05;0;1;;3;1.05;0;1;18;2;19.99
MCOAVC;2020;330781360;330781196;1;48;1819;15530;3;;1.92;1;1;3;;1.92;1;1;133;22;110.45
MCOAVC;2020;340000033;340780055;1;26;1126;8161;;2;0.8;;1;;2;0.8;;1;13;20;21.15
MCOAVC;2020;340015502;340000512;1;16;562;3889;10;;10;0;1;7;;7;0;1;22;;14.56
MCOAVC;2020;340782085;340780477;1;16;1249;5526;;4;1.55;0;1;;3;1.4;0;1;;;
MCOAVC;2020;350000147;350000022;1;14;979;5514;;7;1.62;0;1;;7;1.62;0;1;20;22;33.24
MCOAVC;2020;350000741;350005179;1;26;1186;7902;10;2;2.86;;;10;2;2.86;;;47;9;52.48
