BOR;AN;nofinesset;nofinessej;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2020;010000024;010780054;1;0;22;4;182;1487;3570;;;7;7;2.73;2.73;1;1;0;0;7;3;1;;;4;7;14;9;;2;9.07;1;10.97;5.07;;0.9;4.99
MCOPED;2020;010000032;010780062;1;1;4;1;4;539;971;1;1;;;1;1;0;0;1;1;3;;4;;;6;;;;;;3.41;1;;3.13;;;6.71
MCOPED;2020;010005239;010008407;1;;10;1;49;739;1840;0;0;5;3;2.52;1.99;;;;;3;2;8;0;0;3;2;2;5;0;1;2.55;0;3.3;10.09;0;0.02;1.52
MCOPED;2020;020000162;020000063;1;1;20;4;258;1866;4254;1;1;6;6;4.9;4.9;1;1;;;12;9;15;1;2;13;2;6;5;0;2;12.63;8;12.51;19.39;0.95;2.85;16.42
MCOPED;2020;020000394;020000253;1;1;8;3;32;643;1368;1;1;5;5;1.39;1.39;1;1;0;0;7;0;3;0;1;4;3;0;1;0;0;8.27;1;0.48;3.08;0;1;4.23
MCOPED;2020;020000519;020000261;1;;15;;0;981;2460;4;4;2;2;5.4;5.4;1;1;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2020;020001061;020004404;1;0;7;;87;569;1280;2;2;2;2;3;3;0;0;1;1;7;;6;1;1;3;1;2;;;;7;;1.2;4;0.1;0.25;1.4
MCOPED;2020;030000061;030780092;1;1;15;2;256;725;2136;0;0;7;5;1.16;1;0;0;1;1;4;4;3;0;0;11;6;2;0;0;3;8.01;4;4.84;3.08;0;1.77;13.35
MCOPED;2020;030000079;030780100;1;1;34;;0;1494;3196;5;5;3;3;5.16;5.16;0;0;1;1;14;7;18;;1;12;;;3;;;14.23;3;6.3;19.89;;1;10.92
MCOPED;2020;030000087;030780118;1;0;22;0;0;1264;2661;5;5;5;5;5.79;5.79;0;;1;;13;5;10;0;1;9;1;1;2;0;0;13.17;2;5.19;11.33;0;1;11.45
MCOPED;2020;040000093;040780215;1;0;8;1;0;792;1347;1;1;4;4;1.68;1.68;0;0;1;1;1;3;0;0;0;2;2;4;0;1;0;2.26;7;4.97;0;0.03;0;7.3
MCOPED;2020;040000911;040788879;1;0;2;0;0;31;84;1;1;2;2;1.61;1.61;0;0;1;1;3;;;;;;;;;1;;2.95;;;;0.05;;
MCOPED;2020;050000231;050000116;1;0;6;;0;337;620;0;;3;;2;;;;;;2;;2;;;1;3;1;1;;;4.2;1;1;2.75;;;0.82
MCOPED;2020;050000348;050002948;1;0;9;1;18;901;2330;0;0;4;4;2.94;2.94;;;;;0;2;1;0;0;2;3;5;0;0;0;1.3;7;5.33;1.14;0;0;5.8
MCOPED;2020;060000478;060780897;1;1;27;4;241;882;1632;2;2;8;8;6.36;6.36;1;1;;;1;15;7;0;0;5;2;4;5;1;1;2.11;0;16.89;9.28;0.33;0.34;5.3
MCOPED;2020;060000510;060780954;1;;22;1;178;905;2475;1;1;8;8;3.4;3.4;0;0;1;1;6;8;5;;;10;2;5;7;;;7.32;2;12.08;11.49;;;12.19
MCOPED;2020;060000544;060780988;1;1;12;0;5;538;1231;1;1;9;7;2.8;2.74;1;;0;;2;3;3;;;3;7;4;6;1;1;5.86;4;5.67;9.63;0.3;0.2;5.58
MCOPED;2020;060780947;060800174;1;;102;22;3505;8915;22574;16;4;82;35;44.01;16.86;1;1;1;1;23;15;25;;1;36;39;26;39;11;5;52.89;108;30.36;56.02;2.7;3.94;101.32
MCOPED;2020;060789195;060785011;1;0;10;6;2101;473;2470;8;7;6;6;7.58;7.37;0;0;1;1;30;1;1;;;361;8;;;1;2;30.98;83;0.29;0.33;0.17;0.51;364.92
MCOPED;2020;070000179;070780358;1;0;15;0;0;737;1175;34;3;6;2;22.98;1.65;0;0;0;0;13;0;5;4;2;83;13;1;12;1;0;23.57;56;0.83;12.62;3.83;0.11;110.19
MCOPED;2020;070000195;070780374;1;;8;0;0;62;240;;;2;2;0.32;0.32;0;0;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2020;070000609;070005566;1;0;10;;0;750;1585;2;2;;;2.97;2.97;;;;;4;6;;;;7;2;3;;;;4.73;9;8.39;;;;12.69
MCOPED;2020;080000110;080011174;1;0;18;2;235;544;2579;2;2;;;1.9;1.9;0;0;0;0;6;1;2;;1;6;2;1;1;2;;8.16;2;1.73;2.5;0.2;1.01;7.38
MCOPED;2020;080000425;080011174;1;;22;1;183;1074;2935;4;4;1;1;4.4;4.4;1;1;0;0;4;;6;;;6;4;3;7;1;1;4.79;2;1.93;10.28;0.05;0.05;6.95
MCOPED;2020;090000175;090781774;1;0;7;2;150;721;1334;4;4;3;3;1.85;1.85;1;1;0;0;3;7;;;;11;3;2;;;;4.77;4;7.9;;;;14.57
MCOPED;2020;100000090;100000017;1;0;31;4;732;1489;5156;0;0;7;7;2.71;2.71;0;0;1;1;11;5;6;0;0;10;3;1;4;0;2;12.5;3;5.8;9.02;0;1.5;13.3
MCOPED;2020;110000023;110780061;1;0;13;2;313;1017;2194;1;1;6;6;3.25;3.25;0;0;1;1;3;10;9;0;0;0;0;0;1;7;1;2.29;3;9.64;11.13;0.1;0.3;0.98
MCOPED;2020;110000056;110780137;1;1;16;0;0;1218;3140;4;4;;;4;4;0;0;0;0;13;1;0;0;1;8;1;1;0;0;;12.08;1;2.16;0;0;0.46;8.03
MCOPED;2020;120000039;120780044;1;0;11;2;161;701;1673;8;8;1;1;8.07;8.07;1;1;0;0;1;4;7;0;0;2;1;12;2;0;1;1.12;6;6.9;8.14;0;0.15;4.06
MCOPED;2020;120004668;120004619;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2020;130000409;130041916;1;0;18;4;584;1795;4927;14;14;10;10;14.03;14.03;1;1;0;0;;5;7;;;9;12;10;6;1;;6.33;8;8.91;8.94;0.31;;10.5
MCOPED;2020;130000565;130781446;1;1;13;2;232;923;1898;2;2;7;7;7.31;7.31;1;1;0;0;1;2;3;;;;4;3;4;;;3.78;1;4.5;6.12;;;0.8
MCOPED;2020;130001225;130782634;1;0;14;0;0;1153;2694;2;2;4;4;5.07;5.07;1;1;0;0;1;3;5;;;1;1;12;8;1;1;2.25;9;11.93;10.74;0.06;0.25;6.63
MCOPED;2020;130002835;130789316;1;1;21;1;106;874;2039;4;4;5;5;6.13;6.13;1;1;1;1;9;5;5;;;5;5;4;1;;;12.56;6;7.66;5.79;;;9.56
MCOPED;2020;130780521;130786049;1;1;40;10;1367;2120;3156;2;2;20;4;6.07;3.27;;;;;9;8;12;;1;8;5;5;8;;;11.63;10;10.04;15.99;;1;15.14
MCOPED;2020;130785652;130014228;1;1;45;0;0;2486;3802;3;;1;;3.08;;0;0;1;1;16;16;23;;;12;4;9;2;;;11.92;4;18.05;18.25;;;12.57
MCOPED;2020;130804297;130786049;1;;218;53;11898;11109;45683;54;34;88;40;72.17;41.33;;;;;129;79;112;;11;94;42;31;36;1;6;146.56;31;97.17;128.53;0.3;13.02;109.73
MCOPED;2020;140000027;140000035;1;1;18;3;137;1253;4559;5;5;1;1;5.07;5.07;1;1;;;8;4;9;;1;14;15;5;2;;2;20.06;5;7.9;8.79;;1.54;17.86
MCOPED;2020;140000209;140000100;1;1;67;15;2706;4852;15766;23;15;8;7;17.38;11.72;1;1;0;0;18;19;26;;1;17;13;21;9;;;20.31;10;29.38;28.2;;1;21.14
MCOPED;2020;140000233;140000118;1;;15;1;200;872;2192;3;3;1;1;3.29;3.29;;;;;5;;;;;6;2;;1;;1;6.96;6;;0.8;;0.4;11.1
MCOPED;2020;140024886;140000092;1;0;11;;82;482;1083;;;7;5;2.47;2.23;0;0;1;1;2;3;2;;;6;1;;;;;3.08;3;3;3.58;;;5.6
MCOPED;2020;150000040;150780096;1;;16;;0;900;1779;2;2;5;5;4.15;4.15;0;0;1;1;3;2;5;;;4;4;1;3;;;6.01;19;2.22;7.03;;;6.61
MCOPED;2020;160000253;160000451;1;1;12;6;426;1284;2642;2;2;5;5;5.12;5.12;1;;1;;13;3;4;0;0;15;9;2;3;0;0;19.5;12;4.1;6.74;0;0;17.81
MCOPED;2020;170000087;170024194;1;1;28;5;814;1515;3759;6;6;5;5;9.9;9.9;1;1;0;0;6;2;9;;;4;4;10;8;;1;7.68;12;10.29;14.22;;0.4;12.03
MCOPED;2020;170000103;170780175;1;1;25;0;0;2223;5177;6;4;3;2;8.89;5.76;1;1;0;0;38;18;32;8;;28;20;25;14;2;;10.21;6;9.11;10.97;1.01;;5.98
MCOPED;2020;170000152;170780225;1;0;12;2;136;1033;2643;3;3;5;5;5.9;5.9;;;;;4;13;10;;0;4;2;2;6;;1;5.34;1;15.21;14.18;0;0.6;5.27
MCOPED;2020;180000010;180000028;1;0;20;3;224;1344;2223;;;5;5;4.99;4.99;0;0;1;1;4;1;8;;;;5;8;1;;;9.41;2;6.68;8.07;0.02;;4.18
MCOPED;2020;180000200;180000051;1;0;6;1;13;417;846;0;0;3;3;1.51;1.51;0;0;0;0;5;0;1;0;0;2;2;0;1;0;0;5.74;1;0;1.88;0;0;2.37
MCOPED;2020;190000018;190000042;1;0;20;4;239;1060;3262;5;4;2;2;3.61;3.11;0;0;1;1;10;5;14;;;6;3;2;;;1;10.5;3;6.46;13.05;;0.8;6.7
MCOPED;2020;190000026;190000059;1;;5;2;3;447;1414;3;3;1;1;3.26;3.26;0;0;1;1;;;;;;;5;10;;;1;2.5;16;4.88;;;0.55;9.02
MCOPED;2020;210012670;210011367;1;0;8;;0;601;1374;4;;1;;4;;1;1;0;0;;6;4;;;;;;2;;;;;6;6;;;
MCOPED;2020;210987558;210780581;1;1;88;10;2928;4773;15193;17;17;31;31;31.6;31.6;1;1;1;0;65;64;30;;1;13;25;23;9;;6;82.56;14;80.77;38.69;;3.33;18.65
MCOPED;2020;210987657;210012175;1;1;8;0;0;840;1878;3;3;2;2;3.56;3.56;0;0;1;1;4;7;;;;13;1;1;;;1;2.49;7;8.23;;;0.4;14.37
MCOPED;2020;210987699;210780706;1;0;3;0;57;171;372;1;1;1;1;0.64;0.64;0;0;1;1;8;0;0;0;0;11;4;0;0;0;0;1.27;7;0;0;0;0;1.75
MCOPED;2020;220000012;220000020;1;1;20;4;1476;2854;8267;5;5;8;8;11.4;11.4;1;1;1;1;15;21;21;;1;7;8;19;15;;1;14.8;2;28.25;26.61;;1.13;6.58
MCOPED;2020;220000095;220000046;1;0;3;0;0;369;794;2;;2;;3.71;;0;;1;;3;;1;;;0;4;;3;;;5.88;0;;4.18;;;0.29
MCOPED;2020;220000343;220000079;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2020;220000368;220000103;1;0;8;0;0;530;1234;;;2;;1.16;;0;0;1;1;3;2;2;;;1;3;0;1;;;5.28;11;1.11;2.64;;;6.89
MCOPED;2020;230000820;230780041;1;0;10;0;0;486;1053;3;3;;;2.39;2.39;0;0;0;0;7;4;5;;;6;;1;;;;7.17;3;4.99;5.1;;;9.42
MCOPED;2020;240000372;240000059;1;0;8;;0;452;956;3;3;1;1;3.2;3.2;0;0;1;1;2;2;0;0;0;4;7;0;0;0;0;7.46;7;1.11;0;0;0;6.65
MCOPED;2020;240000489;240000117;1;0;21;4;260;1325;3705;5;4;1;1;4.52;3.52;1;1;0;0;5;3;4;0;0;2;1;0;2;0;0;5.54;1;2.82;3.25;0;0;0.93
MCOPED;2020;250000700;250000452;1;0;14;;0;836;2120;2;;4;;2.41;;0;0;1;1;4;2;12;;;12;4;1;3;;1;3.43;8;1.4;5.52;;0.01;4.76
MCOPED;2020;250006954;250000015;1;1;67;18;3243;4196;13856;0;0;41;40;10.81;10.2;1;;1;1;14;16;18;0;0;15;24;32;28;6;2;33.14;27;35.74;36.43;1.83;0.9;31.19
MCOPED;2020;260000013;260000021;1;1;29;6;300;2959;6676;20;10;8;2;8.64;4.58;1;1;1;1;10;11;15;;1;15;3;8;9;;7;8.36;8;12.87;15.04;;2.65;6.02
MCOPED;2020;260000120;260016910;1;0;12;1;306;839;2169;;;4;4;2.8;2.8;0;0;1;1;5;1;0;0;0;9;3;2;0;0;1;7.7;7;2;0;0;0.45;14.92
MCOPED;2020;260000138;260000047;1;0;21;0;0;1265;2319;4;4;2;2;4.18;4.18;0;0;1;1;3;7;12;0;0;4;3;8;6;0;1;6.12;1;9.38;14.75;0;0.49;4.58
MCOPED;2020;270000359;270023724;1;1;18;;0;1465;2873;8;4;6;5;10.95;6.86;1;1;0;0;3;3;4;;1;4;4;;2;;;5.5;7;3.93;5.6;;1;8.8
MCOPED;2020;280000084;280000183;1;1;21;;0;993;2529;;;6;6;1.9;1.9;1;;1;;9;3;5;;;16;2;1;3;;;8.96;6;3.5;5.91;;;17.99
MCOPED;2020;280504267;280000134;1;1;17;3;404;1293;3023;9;;4;;4.08;;1;1;0;0;13;1;10;;;7;10;3;3;;;19.63;5;3.91;12.33;;;10.68
MCOPED;2020;290000025;290020700;1;1;24;4;371;1920;4960;10;10;12;10;15.48;15.03;1;1;;;17;9;14;0;0;7;5;2;8;0;1;9.04;4;5.37;9.22;0;0.15;5.09
MCOPED;2020;290000033;290021542;1;;16;0;189;732;1615;3;3;6;6;6.49;6.49;0;0;1;1;;4;4;;;4;;10;3;;;0.71;5;14.14;6.62;;;8.17
MCOPED;2020;290000058;290000017;1;;58;5;3218;4475;12162;;;;;;;1;1;1;1;7;1;1;;;5;4;1;3;;1;11.87;8;0.83;3.79;;0.2;9.3
MCOPED;2020;2A0000022;2A0000014;1;0;15;0;0;952;1754;;;3;3;3.7;3.7;0;0;1;1;1;1;3;;;2;5;8;12;;;6.56;8;9.25;15.3;;;8.53
MCOPED;2020;2B0000012;2B0000020;1;0;10;0;0;1014;1841;6;5;7;3;8.41;5.28;1;1;0;0;6;3;12;0;2;4;1;1;3;0;2;6.01;7;3.05;11.77;0;2.02;6.8
MCOPED;2020;300000023;300780046;1;0;14;0;0;1155;2163;6;6;;;4.91;4.91;0;;1;;0;2;0;0;0;7;5;8;8;3;2;2.98;18;7.6;3.8;0.32;0.37;16.13
MCOPED;2020;300000031;300780053;1;0;11;1;63;635;1512;7;3;0;0;4;2;0;0;1;1;4;6;4;0;1;;4;6;6;0;1;6.38;;7.46;6.85;0;0.5;
MCOPED;2020;300002508;300000213;1;0;;15;1;0;0;;;1;;0.15;;0;0;1;0;5;;;;;2;4;;;;;7.53;;;;;;2
MCOPED;2020;300782117;300780038;1;1;40;9;1378;3394;4464;9;9;2;1;8.72;8.02;1;1;0;0;10;14;22;;;16;7;5;3;;1;17.29;4;17.35;22.6;;0.5;17.57
MCOPED;2020;310000310;310780671;1;1;2;;0;14;20;;;2;;1.66;;0;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2020;310016977;310781406;1;1;179;30;6264;11469;34846;18;12;55;27;37.82;23.1;1;1;1;1;51;115;132;;;14;25;27;19;;6;62.32;1;115.82;122.91;;2.25;15.84
MCOPED;2020;310026083;310026075;1;1;2;5;4568;520;695;14;8;10;4;19;10;0;0;1;1;;3;;;;2;;6;4;4;1;;1;5.8;1;1;0.1;1.5
MCOPED;2020;310780150;310788799;1;0;7;6;908;732;1200;7;;;;7;;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2020;310783048;310781406;1;;38;18;3795;1799;4671;0;;6;5;3.02;2.62;1;1;1;1;12;19;23;;;2;3;1;2;;1;10.95;1;15.88;16.27;;0.2;2.76
