BOR;AN;nofinesset;nofinessej;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM;PCON;PACT
MCO;2020;010000024;010780054;271;92116;12022;696;78710;68;19767;3503;205;16131;51;17202;3665;811;11593;390;129085;19190;1712;106434;14;1848;;;40071;20;3343;0;0;;;34;5191;;;40071;1;1;1;1;1;1;1;1;1;;;65;;86596;5893;59800;1528;10179;11498;;
MCO;2020;010000032;010780062;66;24156;3476;524;18668;17;6222;855;53;3979;10;3660;541;112;1594;93;34038;4872;689;24241;4;98;;;1000;5;984;;0;;;9;1082;;;1000;1;0;1;1;1;1;1;1;0;102;85;25;;15411;1081;16953;0;1800;4453;;
MCO;2020;010000065;010780096;59;21535;2005;12;17885;;;0;0;0;;;0;0;0;59;21535;2005;12;17885;;0;;;1;;0;;0;;;;0;;;1;;;1;;;;1;;;;;;;;;;;;;;
MCO;2020;010000099;010780120;9;3294;155;1;2414;;;0;0;0;;;0;0;0;9;3294;155;1;2414;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;010000107;010780138;15;5490;192;4;2320;;;0;0;0;;;0;0;0;15;5490;192;4;2320;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;010000115;010009132;12;4392;133;1;2783;0;;0;0;0;0;;0;0;0;12;4392;133;1;2783;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;010000131;010009132;8;2928;208;0;3102;;;0;0;0;;;0;0;0;8;2928;208;0;3102;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;010000180;010007987;8;2928;234;1;1974;;;0;0;0;;;0;0;0;8;2928;234;1;1974;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2020;010000214;010007987;16;5856;313;3;4356;;;0;0;0;;;0;0;0;16;5856;313;3;4356;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;1;0;0;;;;;1007;;;;;2434;;
MCO;2020;010005239;010008407;62;22630;4044;379;21861;26;9490;1067;73;4879;20;7300;950;182;2763;108;39420;6061;634;29503;7;690;;;188;7;971;1;88;;;15;1749;;;188;0;1;1;1;1;1;1;1;1;200;150;;;20345;4645;23650;435;4836;5431;;
MCO;2020;010007300;010007292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1815;0;0;0;0;2;1815;0;0;0;;;;;;;;;;;;;;;;;;;;;
MCO;2020;010780195;010000156;68;24820;3989;1492;12512;69;25185;4849;405;13486;;;0;0;0;137;50005;8838;1897;25998;1;3;;;3521;31;7342;;0;;;32;7345;;;3521;;;;;;;;;;;;;;;;;;;;;
MCO;2020;010780203;010010718;26;9516;4741;1431;13978;46;16836;1801;175;5275;15;5490;741;11;2855;87;31842;7283;1617;22108;2;344;;;193;26;4553;;0;;;28;4897;;;193;;;;;;;;;;;;;;;;;;;;;
MCO;2020;020000089;020000022;28;10220;819;46;6219;0;0;0;0;0;0;0;0;0;0;28;10220;819;46;6219;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;1;1;1;1;0;1;1;1;0;200;0;50;0;6760;;2708;0;557;1378;;
MCO;2020;020000097;020000048;38;13908;610;6;9813;;;0;0;0;;;0;0;0;38;13908;610;6;9813;;0;;;0;;0;;0;;;;0;;;0;0;1;0;0;0;0;0;0;1;;;;;432;72;528;0;32;0;;
MCO;2020;020000105;020000055;15;3409;270;5;3378;;;0;0;0;;;0;0;0;15;3409;270;5;3378;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;1;0;;;;;903;;808;;;;;
MCO;2020;020000162;020000063;298;108945;17695;1979;90538;86;31476;4102;327;16342;28;6898;1904;98;6621;412;147319;23701;2404;113501;21;3341;2;158;44427;26;4604;0;696;0;0;47;8641;2;158;44427;1;1;1;1;1;1;1;1;1;;103;;;92345;622;49002;0;3815;11896;;
