BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2020;010000024;010780054;M1030;;18;2.9;1;0;1;0
PERINAT_P;2020;010000024;010780054;M1140;;3;1.5;1;0;;
PERINAT_P;2020;010000024;010780054;M2050;;10;5.43;1;0;;
PERINAT_P;2020;010000024;010780054;MIVG;;9;0.55;;;;
PERINAT_P;2020;010000024;010780054;N2200;2;4;3.25;;;;
PERINAT_P;2020;010000024;010780054;N2340;7;12;13.17;;;;
PERINAT_P;2020;010000024;010780054;N2530;12;21;23.76;;;;
PERINAT_P;2020;010000024;010780054;N2700;;1;0.7;;;;
PERINAT_P;2020;010000024;010780054;N2800;13;29;28.77;;;;
PERINAT_P;2020;010000024;010780054;N280H;11;29;26.77;;;;
PERINAT_P;2020;010000024;010780054;NAUT;8;7;13.57;;;;
PERINAT_P;2020;010000032;010780062;M1140;1;;1;;;;
PERINAT_P;2020;010000032;010780062;M2050;1;1;1.83;;;;
PERINAT_P;2020;010000032;010780062;N2800;6;6;10.26;;;;
PERINAT_P;2020;010000032;010780062;N280H;6;6;10.26;;;;
PERINAT_P;2020;010005239;010008407;M1030;0;0;0;1;;0;
PERINAT_P;2020;010005239;010008407;M1140;0;0;0;0;1;;
PERINAT_P;2020;010005239;010008407;M2050;3;0;2.87;;1;;
PERINAT_P;2020;010005239;010008407;MAUT;0;0;0.02;;;;
PERINAT_P;2020;010005239;010008407;N2530;8;4;10.74;;;;
PERINAT_P;2020;010005239;010008407;N2700;0;1;0.02;;;;
PERINAT_P;2020;010005239;010008407;N2800;15;4;16.57;;;;
PERINAT_P;2020;010005239;010008407;N280H;15;4;16.57;;;;
PERINAT_P;2020;010780203;010010718;M1030;5;;5;0;1;0;1
PERINAT_P;2020;010780203;010010718;M1140;1;1;1.67;0;1;;
PERINAT_P;2020;010780203;010010718;M2050;5;1;5.2;0;1;;
PERINAT_P;2020;010780203;010010718;N2530;10;3;11.21;;;;
PERINAT_P;2020;010780203;010010718;N2800;10;3;12.92;;;;
PERINAT_P;2020;010780203;010010718;N280H;5;;5;;;;
PERINAT_P;2020;020000162;020000063;M1030;1;0;1;1;;0;
