BOR;AN;nofinesset;nofinessej;PN_A1;PN_A2;PN_A3;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A10;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A24;PN_A25;PN_B25;PN_A26;PN_A27;PN_A28;PN_A29;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A60;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2020;010000024;010780054;5.44;2.1;2425;1;1.04;970;0;0;0;1;;690;5328;167;1493;;907;1262;2;0;;;0;;;1;1;1;01/01/2006;268;52;1;;;;;;;6;4;2;3;2;0.85;0.45;0.4;1.4;1.1;0;;;;0;;;;0;;;;1;42;2315;1;3.68;1;1.13;1526;112;1;1123;454;60;4.76;0;;;;
PN;2020;010000032;010780062;1;0.2;347;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2009;42;35;1;49;;;;;;1;;;;;0.17;;;;;0;;;;0;;;;0;;;;1;2;133;0;;0;;;;0;;;;;0;;;;
PN;2020;010000065;010780096;0.75;;42;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;15/02/2005;150;48;0;90;;;;;;3;3;;3;2;0.29;0.29;;0.9;0.5;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000081;010780112;0.6;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000099;010780120;0.5;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000107;010780138;0.2;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000115;010009132;0.15;0.04;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000131;010009132;0.33;0.04;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000180;010007987;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;18;18;0;1;0;;;;
PN;2020;010000214;010007987;0.6;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;1;4;1;1;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000495;010783009;0.1;0.28;725;1;1.27;91;0;1;1;0;;;;;;;;;;0;;;0;;;1;1;1;12/12/2006;441;117;0;120;0;0;;2;1;3;1;;6;2;0.83;0.4;;3.24;1.62;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010002129;750056335;0.2;0.1;10;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010005239;010008407;1;0.2;48;1;1.2;102;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010005379;010010718;;0.6;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010007300;010007292;1;0.01;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010008852;010783009;0.02;0.02;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010009314;010780054;;;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;86;3126;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010009702;010780054;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;15;9;5108;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010010171;010011559;0.1;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010011641;010000222;0.08;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780195;010000156;0.5;0;1687;0;;;;;0;0;;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780203;010010718;0.1;0.3;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780252;010783009;0.16;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780278;010783009;0.22;0.28;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780294;690000278;0.02;0.11;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780310;010000222;0.04;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780328;010000222;0.04;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780476;750005068;0.53;0.19;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780492;360000707;0.2;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780708;310021381;0.1;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010789576;010780096;0.05;;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000089;020000022;0;0;16;1;1;16;0;0;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000097;020000048;0.8;0.1;147;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000105;020000055;0.33;0;28;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/07/2009;37;22;0;31;;;;1;1;2;;;;;0.12;;;0.05;0.05;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000162;020000063;6.2;1;5668;1;0.5;148;0;1;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2002;509;191;0;121;0;0;0;8;1;2;2;0;7;2;0.4;0.4;0;9.75;2.38;0;;;;1;14;9;4823;0;;;;1;14;945;1;2.1;0;;;;1;446;179;;0.8;0;;;;
PN;2020;020000246;020000071;0.33;;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000303;750814030;1.27;0.5;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2007;130;45;1;180;2;2;;1;1;;;;;;0.06;0.06;;0.04;0.04;1;15;96;4014;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000360;020014742;0.16;0.07;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000386;020000600;0.16;0.04;5;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000394;020000253;1.8;0.5;1774;1;2;116;0;0;0;1;;389;2773;591;903;;768;593;1;0;;;0;;;1;1;1;01/01/2005;0;0;0;;;;;;;1;;;2;2;0;;;0;0;0;;;;0;;;;0;;;;1;19;668;1;2.41;1;3.66;822;85;1;26;822;2;0.7;0;;;;
PN;2020;020000519;020000261;1;0.5;97;1;1.4;112;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/06/2003;550;450;0;30;;0;;;;4;1;3;;;1;0.2;0.8;;;0;;;;0;;;;0;;;;1;39;762;1;0.4;1;1;121;;1;1703;469;5;2;0;;;;
PN;2020;020000535;020000287;0.1;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;0;;0;0;0;;0;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;2;1;3.2;230;13;1;3194;487;24;2;0;;;;
PN;2020;020000543;020000295;0.4;0;;1;1.1;157;0;1;1;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000915;020003620;1.2;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020001061;020004404;1;0.11;923;1;0.6;;1;;0;1;20000295;;492;1;1030;;187;92;1;0;;;0;;;1;1;1;01/01/2017;102;66;0;30;;;;;;3;1;2;4;1;0.6;0.2;0.4;0.4;0.1;0;;;;0;;;;0;;;;1;;;0;;1;2.8;145;137;1;;137;15;2.25;0;;;;
PN;2020;020001087;020004495;0;0.2;;1;1.25;;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;0;;98;55;0;70;;;;1;1;1;;;;;0.3;;;0.5;0.5;0;;;;0;;;;0;;;;0;;;0;;1;0.7;65;58;1;1019;224;18;0.9;0;;;;
PN;2020;020004156;590805065;0.25;0.15;62;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020004297;020005179;0.1;0.03;15;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020006664;020000063;0;0;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;1331;614;;4.7;0;;;;
PN;2020;020010047;020001632;1.9;0.25;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;3;1;0.01;1;;1;1;;;;0;;;;
