BOR;AN;nofinesset;nofinessej;INTMED;INTPHA;INTODO;INTGEN;INTURG;DOCJU;FFI;INTTOT
Q22;2020;010000024;010780054;27;2;;20;6;1;14;70
Q22;2020;010000032;010780062;;;;5;;;;5
Q22;2020;010000065;010780096;;;;1;;;2;3
Q22;2020;010000495;010783009;6;;;;;;2;8
Q22;2020;010009314;010780054;;;;;;;1;1
Q22;2020;010780278;010783009;;;;;;;1;1
Q22;2020;020000089;020000022;0;0;0;1;0;0;0;1
Q22;2020;020000162;020000063;37;5;0;19;1;0;24;86
Q22;2020;020000394;020000253;0;0;0;4;0;0;29;33
Q22;2020;020000519;020000261;2;2;;7;;1;37;49
Q22;2020;020000535;020000287;;;;7;;;15;22
Q22;2020;020001061;020004404;;;;;;;13;13
Q22;2020;020003877;020000253;0;0;0;0;0;0;3;3
Q22;2020;020004297;020005179;;;;1;;;;1
Q22;2020;020005476;020000253;0;0;0;0;0;0;2;2
Q22;2020;030000061;030780092;8;1;0;13;8;2;21;53
Q22;2020;030000079;030780100;22;1;0;2;6;1;24;56
Q22;2020;030000087;030780118;25;1;;13;;2;10;51
Q22;2020;030002208;030002158;;;;;;;2;2
Q22;2020;030007942;030002158;;;;2;;;;2
Q22;2020;030781116;030000426;1;;;;;;;1
Q22;2020;030781637;030780100;2;;;;;;;2
Q22;2020;040000069;040780215;0;0;0;1;0;;0;1
Q22;2020;040000093;040780215;0;1;0;13;0;0;4;18
Q22;2020;040000135;050002948;0;0;0;1;0;0;0;1
Q22;2020;040000911;040788879;;1;;3;;;4;8
Q22;2020;050000132;050007145;1;;;;;;;1
Q22;2020;050000231;050000116;0;0;0;6;0;0;1;7
Q22;2020;050000256;050000124;0;0;0;2;0;0;0;2
Q22;2020;050000348;050002948;7;2;0;23;0;2;0;34
Q22;2020;060000478;060780897;1;0;0;30;0;;0;31
Q22;2020;060000510;060780954;16;0;0;15;0;2;13;46
Q22;2020;060000528;060780962;24;1;;;;;;25
Q22;2020;060000544;060780988;16;2;1;16;2;2;7;46
Q22;2020;060002102;060791761;;;;12;;;1;13
Q22;2020;060010899;060785011;4;0;1;0;0;0;0;5
Q22;2020;060019627;060019551;1;;;;;;;1
Q22;2020;060780145;060000049;2;;;;;;;2
Q22;2020;060780558;750720575;;;;1;;;;1
Q22;2020;060780996;630786754;9;1;;;;3;;13
Q22;2020;060785003;060785011;116;3;0;16;14;8;15;172
Q22;2020;060788957;060785011;13;0;0;6;1;2;1;23
Q22;2020;060789195;060785011;77;1;0;7;1;3;1;90
Q22;2020;060789674;130037815;;;;1;;;;1
Q22;2020;060790862;060001997;;;;1;;;;1
Q22;2020;060791811;060010808;2;;;3;2;;2;9
Q22;2020;060794013;060790797;3;;;;;;;3
Q22;2020;060800166;060780608;1;1;;;;;;2
Q22;2020;060800182;060002912;;;;1;;;;1
Q22;2020;070000013;070002878;;;;;;;4;4
Q22;2020;070000047;070780127;;;;;;;1;1
Q22;2020;070000096;070780184;;;;1;;;;1
Q22;2020;070000179;070780358;9;0;0;24;0;0;6;39
Q22;2020;070000484;070005566;;;;;;;1;1
Q22;2020;070000609;070005566;;;;12;;;20;32
Q22;2020;070005046;260003264;;;;;;1;;1
Q22;2020;080000219;080001969;2;0;0;2;0;0;1;5
Q22;2020;080000250;540019726;1;;;;;;;1
Q22;2020;080000318;080000086;3;;;;;1;2;6
Q22;2020;090000175;090781774;12;;;9;;;4;25
Q22;2020;100000090;100000017;45;0;0;7;7;2;6;67
Q22;2020;100000108;100000033;3;;;1;;;;4
Q22;2020;100009364;100000017;1;0;0;0;0;0;0;1
Q22;2020;100010362;100010347;1;;;;;;;1
Q22;2020;100010933;100010347;1;;;;;;;1
Q22;2020;110000023;110780061;17;1;;2;11;2;16;49
Q22;2020;110000056;110780137;6;2;;22;;1;;31
Q22;2020;120000039;120780044;18;1;0;14;0;0;6;39
Q22;2020;120000054;120780069;0;0;0;4;0;0;0;4
Q22;2020;120000070;120780085;;;;;;;1;1
Q22;2020;120004569;120004528;;1;;4;;;;5
Q22;2020;120007554;120004528;1;;;;;;;1
Q22;2020;120008248;120780069;0;0;0;4;0;0;0;4
Q22;2020;120780283;630786754;1;;;;;;;1
Q22;2020;130000235;130780554;2;0;0;12;0;2;1;17
Q22;2020;130000409;130041916;36;1;1;18;0;2;13;71
Q22;2020;130000433;130781131;7;1;;;;;;8
Q22;2020;130000516;130781339;1;;;4;;;;5
Q22;2020;130000565;130781446;7;2;;23;;1;3;36
Q22;2020;130001225;130782634;;3;;22;;1;6;32
Q22;2020;130001647;130784127;73;7;;;;;4;84
Q22;2020;130002215;130785512;;;;11;;;5;16
Q22;2020;130002496;130786494;5;;;;;3;;8
Q22;2020;130002827;130789274;1;1;0;8;0;0;13;23
