BOR;AN;nofinesset;nofinessej;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2020;010000024;010780054;REAADU;12;4392;740;764;70;4323;23;31;101;5;2;3.92;1;2;2.13;23;15;28.68;17;3;18.8;;;;2;;1
REA;2020;010000024;010780054;SITOT;6;2196;514;;;1509;;;;;;;;;;;;;;;;;;;;;
REA;2020;010000024;010780054;SIUNV;6;2196;514;;;1509;;;;;6;1.38;;;;;;;;;;;;;;;
REA;2020;010000024;010780054;SURVADU;6;2196;441;;;1181;;;;5;2;2.6;;;;7;6;10.49;7;2;8.52;;;;;;
REA;2020;010000024;010780054;SURVENF;4;1464;270;;;1009;;;;;7;0.49;;;;;;;;;;;;;;;
REA;2020;010000032;010780062;SURVADU;4;1464;876;;;1666;;;;1;1;1.63;;;0.38;21;1;4.62;7;1;3.93;;;;;2;0.89
REA;2020;010005239;010008407;SURVADU;3;1095;579;;;1199;;;;0;0;0;0;0;0.3;1;1;1.5;4;2;6.67;0;0;0;0;1;0.15
REA;2020;010780195;010000156;REAADU;10;3650;583;625;27;3648;12;34;164;9;3;11;1;1;1.23;22;3;20.86;9;0;7.68;0;0;0;1;1;1.93
REA;2020;010780195;010000156;SITOT;6;2190;1017;;;1644;;;;;;;;;;;;;;;;;;;;;
REA;2020;010780195;010000156;SURVADU;5;1825;0;;;0;;;;0;0;0;;;;;;;;;;;;;;;
REA;2020;010780195;010000156;USIC;6;2190;1017;;;1644;;;;9;1;9.5;1;;0.9;8;;7.93;;1;0.54;;;;1;;1
REA;2020;010780203;010010718;SURVADU;6;2196;384;;;1517;;;;5;;5;;;;4;;4;4;;4;;;;;;
REA;2020;020000162;020000063;REAADU;10;3660;492;518;48;4213;24;40;59;3;51;4.68;1;1;0.76;28;4;17.24;25;0;15.13;0;0;0;4;6;3.99
REA;2020;020000162;020000063;SITOT;18;6588;1555;;;4736;;;;;;;;;;;;;;;;;;;;;
REA;2020;020000162;020000063;SIUNV;6;2196;534;;;1193;;;;3;3;0.8;0;1;0.25;1;13;5.44;0;16;4.56;0;0;0;0;0;0
REA;2020;020000162;020000063;SURVADU;6;2196;312;;;1499;;;;3;51;2.8;1;1;0.46;28;4;10.34;25;0;9.08;0;0;0;4;6;2.39
REA;2020;020000162;020000063;USIC;12;4392;1021;;;3543;;;;3;0;3;0;2;0.31;16;4;19.5;10;3;11.88;0;0;0;3;3;4.24
REA;2020;020000394;020000253;REAADU;8;2861;255;262;10;2567;4;44;39;1;4;2.46;0;0;0;22;0;21.5;13;0;12.23;0;0;0;0;0;0.58
REA;2020;020000394;020000253;SITOT;6;1999;459;;;1386;;;;;;;;;;;;;;;;;;;;;
REA;2020;020000394;020000253;SURVADU;4;1372;166;;;852;;;;0;4;1.92;0;0;0;6;0;4.82;3;0;3;0;0;0;0;0;0.25
REA;2020;020000394;020000253;USIC;6;1999;459;;;1386;;;;0;6;2.55;0;0;0.02;7;2;8.1;3;0;3;0;0;0;0;1;0.6
REA;2020;020000519;020000261;REAADU;12;2920;323;328;17;2658;7;45;65;6;2;7.2;1;0;1;19;3;22.73;16;3;21.67;0;0;0.2;4;2;4.1
REA;2020;020000519;020000261;SITOT;12;4380;1089;;;2686;;;;;;;;;;;;;;;;;;;;;
REA;2020;020000519;020000261;SIUNV;6;2190;485;;;1253;;;;4;;4;0;0;0.5;4;0;4;4;0;4;0;0;0;4;0;4.5
REA;2020;020000519;020000261;SURVADU;2;730;195;;;835;;;;6;2;7.2;;;;;;;;;;;;;;;
