BOR;AN;nofinesset;nofinessej;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2020;010000024;010780054;M9999;;18;3.54;1;;26;4.41
SMURSAMU_P;2020;010000024;010780054;MREG;;;;;;8;0.8
SMURSAMU_P;2020;010000024;010780054;N1220;;;;;26;3;25.14
SMURSAMU_P;2020;010000024;010780054;N2120;;;0.42;;;;0.42
SMURSAMU_P;2020;010000024;010780054;N2223;6;9;9.61;;1;;0.79
SMURSAMU_P;2020;010000024;010780054;N2500;1;;1;;;;
SMURSAMU_P;2020;010000024;010780054;N5140;8;;8;;;;
SMURSAMU_P;2020;010000024;010780054;N9999;16;9;19.97;;27;3;26.35
SMURSAMU_P;2020;010000032;010780062;M9999;7;1;4.84;1;;;
SMURSAMU_P;2020;010000032;010780062;N1220;2;;2;;;;
SMURSAMU_P;2020;010000032;010780062;N2120;2;;0.4;1;;;
SMURSAMU_P;2020;010000032;010780062;N2223;7;;6.82;1;;;
SMURSAMU_P;2020;010000032;010780062;N5140;6;2;7.27;1;;;
SMURSAMU_P;2020;010000032;010780062;N9999;17;2;16.49;1;;;
SMURSAMU_P;2020;010005239;010008407;M9999;0;0;0;1;0;0;0
SMURSAMU_P;2020;010005239;010008407;N9999;0;0;0;1;0;0;0
SMURSAMU_P;2020;010780203;010010718;M9999;9;;4.5;1;;;
SMURSAMU_P;2020;010780203;010010718;N1220;0;1;0.5;0;;;
SMURSAMU_P;2020;010780203;010010718;N2120;;1;0.5;1;;;
SMURSAMU_P;2020;010780203;010010718;N2223;4;;4.42;1;;;
SMURSAMU_P;2020;010780203;010010718;N5140;5;;5.56;1;;;
SMURSAMU_P;2020;010780203;010010718;N9999;9;2;10.98;1;;;
SMURSAMU_P;2020;020000162;020000063;M9999;0;86;2;1;;;
SMURSAMU_P;2020;020000162;020000063;N1220;0;5;0.49;1;;;
SMURSAMU_P;2020;020000162;020000063;N2120;0;1;0.15;1;;;
SMURSAMU_P;2020;020000162;020000063;N2223;0;3;0.56;1;;;
SMURSAMU_P;2020;020000162;020000063;N2500;0;6;1.77;;;;
SMURSAMU_P;2020;020000162;020000063;N5140;0;3;1.94;1;;;
SMURSAMU_P;2020;020000162;020000063;N9999;0;18;4.91;1;;;
SMURSAMU_P;2020;020000394;020000253;M9999;0;12;4.47;;2;4;4.2
SMURSAMU_P;2020;020000394;020000253;MREG;0;0;0;;1;0;1
SMURSAMU_P;2020;020000394;020000253;N1220;0;0;0;;16;1;16.73
SMURSAMU_P;2020;020000394;020000253;N2120;0;0;0.33;;0;0;0
SMURSAMU_P;2020;020000394;020000253;N2223;8;6;12.62;;2;7;3.71
SMURSAMU_P;2020;020000394;020000253;N5140;8;5;12.55;;1;4;1.4
SMURSAMU_P;2020;020000394;020000253;N9999;16;11;25.5;;19;12;21.84
SMURSAMU_P;2020;020000519;020000261;M9999;3;;3;1;;;
SMURSAMU_P;2020;020000519;020000261;N2223;1;0;1;;;;
SMURSAMU_P;2020;020000519;020000261;N5140;5;0;5;;;;
SMURSAMU_P;2020;020000519;020000261;N9999;6;0;6;;;;
SMURSAMU_P;2020;020000535;020000287;M9999;1;1;5.71;;;;
SMURSAMU_P;2020;020000535;020000287;N1220;;;0.5;;;;
SMURSAMU_P;2020;020000535;020000287;N2120;;1;0.1;;;;
SMURSAMU_P;2020;020000535;020000287;N2223;5;;5.07;;;;
SMURSAMU_P;2020;020000535;020000287;N2500;3;;3;;;;
SMURSAMU_P;2020;020000535;020000287;N9999;8;1;8.17;;;;
SMURSAMU_P;2020;020001061;020004404;M9999;;4;3.7;1;;;
