BOR;AN;nofinesset;nofinessej;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2020;010000032;010780062;SSR_A;;40;14640;8;428;10305;7;811;
SSR;2020;010000032;010780062;SSR_A50;1;40;;8;;10305;;811;
SSR;2020;010000032;010780062;SSR_TOT;;40;14640;8;428;10305;7;811;0
SSR;2020;010000065;010780096;SSR_A;;69;25185;;775;24408;50;0;
SSR;2020;010000065;010780096;SSR_A50;1;34;;;;13281;;0;
SSR;2020;010000065;010780096;SSR_A59;1;35;;;;11127;;0;
SSR;2020;010000065;010780096;SSR_TOT;;69;25185;;775;24408;50;0;0
SSR;2020;010000081;010780112;SSR_A;;20;7320;;174;6171;10;0;
SSR;2020;010000081;010780112;SSR_A50;1;20;;;;6171;;0;
SSR;2020;010000081;010780112;SSR_TOT;;20;7320;;174;6171;10;0;0
SSR;2020;010000099;010780120;SSR_A;;20;7320;;289;7058;4;0;
SSR;2020;010000099;010780120;SSR_A50;1;20;;;;7058;;0;
SSR;2020;010000099;010780120;SSR_TOT;;20;7320;;289;7058;4;0;0
SSR;2020;010000107;010780138;SSR_A;;20;7320;;283;7226;7;0;
SSR;2020;010000107;010780138;SSR_A50;1;20;;;;7226;;0;
SSR;2020;010000107;010780138;SSR_TOT;;20;7320;;283;7226;7;0;0
SSR;2020;010000115;010009132;SSR_A;;18;6588;;187;5430;3;0;
SSR;2020;010000115;010009132;SSR_A50;1;18;;;;5430;;0;
SSR;2020;010000115;010009132;SSR_TOT;;18;6588;;187;5430;3;0;
SSR;2020;010000131;010009132;SSR_A;;29;10614;;356;8182;0;0;
SSR;2020;010000131;010009132;SSR_A50;1;29;;;;8182;;0;
SSR;2020;010000131;010009132;SSR_TOT;;29;10614;;356;8182;0;0;
SSR;2020;010000180;010007987;SSR_A;;36;13176;;394;7368;0;0;
SSR;2020;010000180;010007987;SSR_A50;1;;;;;0;;0;
SSR;2020;010000180;010007987;SSR_A58;1;36;;;;7368;;0;
SSR;2020;010000180;010007987;SSR_TOT;;36;13176;;394;7368;0;0;
SSR;2020;010000198;010007987;SSR_A;;85;31110;;767;16283;5;0;
SSR;2020;010000198;010007987;SSR_A50;1;;;;;0;;0;
SSR;2020;010000198;010007987;SSR_A51;1;85;;;;16283;;0;
SSR;2020;010000198;010007987;SSR_E;;4;1464;;19;235;0;0;
SSR;2020;010000198;010007987;SSR_E50;1;;;;;0;;0;
SSR;2020;010000198;010007987;SSR_E51;1;4;;;;235;;0;
SSR;2020;010000198;010007987;SSR_TOT;;89;32574;;786;16518;5;0;
SSR;2020;010000214;010007987;SSR_A;;109;39894;;938;32193;52;0;
SSR;2020;010000214;010007987;SSR_A50;1;4;;;;2406;;0;
SSR;2020;010000214;010007987;SSR_A51;1;18;;;;5098;;0;
SSR;2020;010000214;010007987;SSR_A54;1;30;;;;9288;;0;
SSR;2020;010000214;010007987;SSR_A59;1;57;;;;15401;;0;
SSR;2020;010000214;010007987;SSR_E50;1;;;;;0;;0;
