BOR;AN;nofinesset;nofinessej;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2020;010000024;010780054;GEN;346;742;1;IAO;35997;4936;8610;7415;2253;1037;2;;;1;1;;175;21;1;;10;3660;2574;352;2535;1;1
URGENCES2;2020;010000032;010780062;GEN;163;151;0;;13745;1736;3423;2890;1008;407;0;0;0;0;0;0;193;24;15;;4;1464;493;328;167;0;1
URGENCES2;2020;010005239;010008407;GEN;252;504;1;IAO;19024;1815;3767;4310;1101;626;0;;;0;;;769;96;58;;5;1825;1377;337;1336;0;1
URGENCES2;2020;010780195;010000156;GEN;190;336;1;IAOMAO;18926;1593;3637;3689;;;;;;;;;65;;;;4;1460;1722;1318;412;1;0
URGENCES2;2020;010780203;010010718;GEN;336;588;1;IAO;26893;2743;5417;1157;475;47;;;;;;;;;;;8;2928;4128;1943;2517;1;1
URGENCES2;2020;020000162;020000063;GEN;604;1050;1;IAO;32306;5205;50;6688;2043;6;467;4;5;0;0;0;738;272;2;;10;3660;5538;2051;4354;1;0
URGENCES2;2020;020000162;020000063;PED;105;336;0;;12326;;;;;;;;;;;;;;;;0;0;0;0;0;;
URGENCES2;2020;020000394;020000253;GEN;48;36;1;IAOMAO;21660;2284;3227;4437;1377;72;9;6;0;;;;606;222;12;;4;1464;2076;1049;1142;1;0
URGENCES2;2020;020000394;020000253;PED;48;36;1;IAO;5216;;;;;;;;;;;;;;;652;;;0;0;0;;
URGENCES2;2020;020000519;020000261;GEN;510;854;1;IAO;30595;4372;3864;6467;2306;65;19;19;;;;;258;12;16;;4;1460;1326;758;742;1;0
URGENCES2;2020;020000519;020000261;PED;510;854;1;IAO;7024;;;;;;;;;;;;;;;823;;;0;0;0;;
URGENCES2;2020;020000535;020000287;GEN;168;420;1;IAO;14572;;;;;;;;;;;;;;;;6;;863;177;747;1;1
URGENCES2;2020;020001061;020004404;GEN;266;416;1;IAO;28006;2658;7196;5157;1507;603;;;;;;;973;298;35;;12;2190;3488;2204;1368;1;0
