BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2020;010000024;010780054;M9999;;27;10.6;1;1
URGENCES_P;2020;010000024;010780054;N1220;3;;4;;
URGENCES_P;2020;010000024;010780054;N2120;1;0;1;;
URGENCES_P;2020;010000024;010780054;N2500;16;5;20.46;;
URGENCES_P;2020;010000024;010780054;N9999;44;22;56.59;;
URGENCES_P;2020;010000024;010780054;NINF;19;17;27.11;;
URGENCES_P;2020;010000032;010780062;M9999;7;1;3.51;;1
URGENCES_P;2020;010000032;010780062;N1220;;;;;1
URGENCES_P;2020;010000032;010780062;N2120;2;;0.68;;1
URGENCES_P;2020;010000032;010780062;N2500;8;;7.96;;
URGENCES_P;2020;010000032;010780062;N3120;;;0.05;;
URGENCES_P;2020;010000032;010780062;N9999;31;1;17.16;;
URGENCES_P;2020;010000032;010780062;NINF;21;1;8.47;;1
URGENCES_P;2020;010005239;010008407;M9999;6;6;10.3;2;1
URGENCES_P;2020;010005239;010008407;N1220;2;0;1.49;2;1
URGENCES_P;2020;010005239;010008407;N2120;0;0;0.37;2;1
URGENCES_P;2020;010005239;010008407;N2500;11;2;12.95;;
URGENCES_P;2020;010005239;010008407;N9999;33;6;38.54;;
URGENCES_P;2020;010005239;010008407;NINF;20;4;23.73;2;1
URGENCES_P;2020;010780195;010000156;M9999;6;1;6;;0
URGENCES_P;2020;010780195;010000156;N1220;3;0;3.67;;
URGENCES_P;2020;010780195;010000156;N2120;;1;0.83;;
URGENCES_P;2020;010780195;010000156;N2500;4;2;1.76;;
URGENCES_P;2020;010780195;010000156;N9999;18;7;16.93;;
URGENCES_P;2020;010780195;010000156;NINF;11;4;10.67;;
URGENCES_P;2020;010780203;010010718;M9999;9;;9;3;1
URGENCES_P;2020;010780203;010010718;N1220;3;1;3.5;;1
URGENCES_P;2020;010780203;010010718;N2120;;1;0.5;;1
URGENCES_P;2020;010780203;010010718;N2500;2;2;4.38;;
URGENCES_P;2020;010780203;010010718;N9999;19;4;23.54;;
URGENCES_P;2020;010780203;010010718;NINF;14;;15.16;;1
URGENCES_P;2020;020000162;020000063;M1140;0;6;1;;0
URGENCES_P;2020;020000162;020000063;M3020;0;2;1;;
URGENCES_P;2020;020000162;020000063;M9999;3;87;10.4;2;1
URGENCES_P;2020;020000162;020000063;N1220;0;4;3.12;3;1
URGENCES_P;2020;020000162;020000063;N2120;0;2;0.7;3;1
URGENCES_P;2020;020000162;020000063;N2500;34;13;39.79;;
URGENCES_P;2020;020000162;020000063;N9999;80;34;93.74;;
URGENCES_P;2020;020000162;020000063;NINF;39;13;42.7;3;1
URGENCES_P;2020;020000394;020000253;M9999;1;8;5.26;1;1
URGENCES_P;2020;020000394;020000253;N1220;1;2;1.67;;
URGENCES_P;2020;020000394;020000253;N2120;0;0;0.33;;
URGENCES_P;2020;020000394;020000253;N2500;11;1;10.45;;
URGENCES_P;2020;020000394;020000253;N3120;0;2;0.82;;
URGENCES_P;2020;020000394;020000253;N9999;31;10;34.3;;
URGENCES_P;2020;020000394;020000253;NINF;19;5;21.03;1;1
URGENCES_P;2020;020000519;020000261;M3020;;1;0.5;;
URGENCES_P;2020;020000519;020000261;M9999;12;5;14.55;2;1
URGENCES_P;2020;020000519;020000261;N1220;1;0;1;;
URGENCES_P;2020;020000519;020000261;N2120;2;0;1.91;;
URGENCES_P;2020;020000519;020000261;N2500;17;2;16.46;;
URGENCES_P;2020;020000519;020000261;N9999;55;9;58.12;;
URGENCES_P;2020;020000519;020000261;NINF;28;4;31.06;;
URGENCES_P;2020;020000535;020000287;M9999;3;;3.61;;1
URGENCES_P;2020;020000535;020000287;N1220;;;0.5;;
URGENCES_P;2020;020000535;020000287;N2120;;1;0.2;;1
URGENCES_P;2020;020000535;020000287;N2500;12;1;12.22;;
URGENCES_P;2020;020000535;020000287;N3120;;;0.2;;
URGENCES_P;2020;020000535;020000287;N9999;32;3;31.79;;
URGENCES_P;2020;020000535;020000287;NINF;14;1;13.75;;1
URGENCES_P;2020;020001061;020004404;M9999;;;;3;1
URGENCES_P;2020;020001061;020004404;N1220;1;;1;3;1
URGENCES_P;2020;020001061;020004404;N2120;1;;0.6;2;1
URGENCES_P;2020;020001061;020004404;N2500;14;;10.5;;
URGENCES_P;2020;020001061;020004404;N2620;6;;6;;0
URGENCES_P;2020;020001061;020004404;N3120;1;;0.5;;
URGENCES_P;2020;020001061;020004404;N9999;39;3;36.12;;
URGENCES_P;2020;020001061;020004404;NINF;16;3;17.52;;0
URGENCES_P;2020;020001087;020004495;M9999;3;2;4.41;;
URGENCES_P;2020;020001087;020004495;N1220;3;0;2.5;;
URGENCES_P;2020;020001087;020004495;N2120;0;1;0.5;;
URGENCES_P;2020;020001087;020004495;N2500;3;0;3;;
URGENCES_P;2020;020001087;020004495;N2620;1;0;1;;
URGENCES_P;2020;020001087;020004495;N9999;23;1;20.5;;
URGENCES_P;2020;020001087;020004495;NINF;16;0;13.5;;
URGENCES_P;2020;020010047;020001632;M9999;5;;5;;
URGENCES_P;2020;020010047;020001632;N1220;2;1;2.32;;
URGENCES_P;2020;020010047;020001632;N2120;1;;1;;
URGENCES_P;2020;020010047;020001632;N2500;5;1;5.87;;
URGENCES_P;2020;020010047;020001632;N9999;18;3;19.85;;
URGENCES_P;2020;020010047;020001632;NINF;10;1;10.66;;
URGENCES_P;2020;030000061;030780092;M9999;5;9;11.61;3;1
URGENCES_P;2020;030000061;030780092;N1220;2;0;2;;
URGENCES_P;2020;030000061;030780092;N2120;1;1;1.5;2;1
URGENCES_P;2020;030000061;030780092;N2500;14;1;16.23;;
URGENCES_P;2020;030000061;030780092;N9999;41;12;51.72;;
URGENCES_P;2020;030000061;030780092;NINF;24;10;31.99;3;1
URGENCES_P;2020;030000079;030780100;M9999;6;3;4.4;3;1
URGENCES_P;2020;030000079;030780100;N1220;3;;2;3;1
URGENCES_P;2020;030000079;030780100;N2120;2;;1.33;3;1
URGENCES_P;2020;030000079;030780100;N2500;17;2;17.84;;
URGENCES_P;2020;030000079;030780100;N2620;;;;3;1
URGENCES_P;2020;030000079;030780100;N3120;1;;0.7;;
