dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,23,10,11,6,.54545456,45.454544,45.454544,36.363636,0,65.127274,27.701,76.900002,50.784
2,29,2,26,2,.07692308,3.8461537,3.8461537,0,0,51.653847,1.282,59.5,16.667
3,21,2,9,2,.22222222,0,0,0,0,51,0,51,0
4,13,2,10,1,.1,0,0,0,0,51,0,51,0
5,10,4,8,3,.375,0,0,0,0,51,0,51,0
6,140,72,113,56,.49557522,28.318584,25.663717,11.504425,4.4247789,59.674335,17.009,68.503571,34.321
7,16,5,9,3,.33333334,11.111111,11.111111,11.111111,0,54.222221,6.318000000000001,60.666668,18.954
8,11,0,10,0,0,0,0,0,0,51,0,,
9,3,0,3,0,0,0,0,0,0,51,0,,
10,13,0,11,0,0,0,0,0,0,51,0,,
11,25,1,19,1,.052631579,0,0,0,0,51,0,51,0
12,13,1,9,0,0,0,0,0,0,51,0,,
13,257,65,172,40,.23255815,4.0697675,2.9069767,1.744186,0,52.016853,1.994,55.209301,8.254
14,59,18,29,7,.24137931,6.8965516,6.8965516,6.8965516,0,53.968964,5.821,63.299999,24.118
15,6,2,4,1,.25,0,0,0,0,51,0,51,0
16,17,1,11,1,.090909094,0,0,0,0,51.363636,.713,55,7.843
17,47,11,36,8,.22222222,5.5555553,5.5555553,0,0,52,1.961,55.222221,8.279
18,13,1,11,0,0,0,0,0,0,51,0,,
19,16,5,10,2,.2,0,0,0,0,51,0,51,0
21,39,12,29,9,.31034482,3.4482758,3.4482758,0,0,51.657578,1.289,52.972729,3.868
22,26,4,19,2,.10526316,0,0,0,0,51,0,51,0
23,2,0,2,0,0,0,0,0,0,51,0,,
24,18,2,16,2,.125,0,0,0,0,51.25,.49,53,3.922
25,39,5,25,4,.16,0,0,0,0,51,0,51,0
26,27,6,19,5,.2631579,15.789474,15.789474,10.526316,0,56.263157,10.32,71,39.216
27,19,4,12,2,.16666667,16.666666,8.333333,8.333333,0,55,7.843,75,47.059
28,28,3,21,1,.047619049,0,0,0,0,51,0,51,0
29,43,4,33,4,.12121212,0,0,0,0,51,0,51,0
30,53,7,39,3,.07692308,7.6923075,7.6923075,0,0,52.292309,2.534,67.799995,32.941
31,135,22,105,16,.15238096,0,0,0,0,51,0,51,0
32,8,0,3,0,0,0,0,0,0,51,0,,
33,155,87,96,48,.5,19.791666,16.666666,3.125,0,54.550484,6.962,57.772221,13.279
34,109,12,84,10,.11904762,4.7619047,3.5714285,0,0,51.670589,1.315,56.700001,11.176
35,63,17,46,12,.26086956,4.347826,2.173913,0,0,51.619999,1.216,53.384617,4.676
36,7,0,4,0,0,0,0,0,0,51,0,,
37,58,18,37,8,.21621622,8.1081085,5.4054055,0,0,52.162163,2.279,56.375,10.539
38,83,28,57,20,.3508772,21.052631,21.052631,8.7719297,0,56.721054,11.218,67.305,31.971
39,9,1,8,0,0,0,0,0,0,51,0,,
40,30,6,19,5,.2631579,5.2631578,5.2631578,0,0,52.263157,2.477,55.799999,9.412000000000001
41,14,0,13,0,0,0,0,0,0,51,0,,
42,46,11,31,8,.25806451,3.2258065,3.2258065,0,0,51.548386,1.075,53.125,4.167
43,6,1,5,0,0,0,0,0,0,51,0,,
44,103,28,73,24,.32876712,9.5890408,9.5890408,0,0,52.986301,3.895,57.041668,11.846
45,38,10,28,6,.21428572,14.285714,14.285714,7.1428571,0,54.534481,6.93,68.083336,33.497
46,9,0,8,0,0,0,0,0,0,51,0,,
47,13,7,11,5,.45454547,0,0,0,0,51,0,51,0
48,3,1,3,1,.33333334,0,0,0,0,51,0,51,0
49,40,3,30,1,.033333335,0,0,0,0,51,0,51,0
50,17,0,14,0,0,0,0,0,0,51,0,,
51,40,18,25,10,.40000001,0,0,0,0,51,0,51,0
52,8,4,7,4,.5714286,28.571428,28.571428,14.285714,0,60,17.647,66.75,30.882
53,8,0,3,0,0,0,0,0,0,51,0,,
54,66,17,28,6,.21428572,0,0,0,0,51,0,51,0
55,13,2,9,2,.22222222,0,0,0,0,51,0,51,0
56,46,5,36,3,.083333336,0,0,0,0,51,0,51,0
57,85,18,50,8,.16,0,0,0,0,51,0,51,0
58,11,2,7,1,.14285715,14.285714,0,0,0,52.671429,3.277,62.700001,22.941
59,171,61,135,47,.34814814,8.8888893,8.8888893,4.4444447,0,53.287498,4.485,57.619148,12.979
60,36,11,28,10,.35714287,25,25,10.714286,0,58.246429,14.209,71.290001,39.784
61,12,0,9,0,0,0,0,0,0,51,0,,
62,84,14,55,8,.14545454,0,0,0,0,51,0,51,0
63,54,5,38,3,.078947365,0,0,0,0,51,0,51,0
64,78,23,61,20,.32786885,0,0,0,0,51,0,51,0
65,15,4,14,4,.2857143,0,0,0,0,51,0,51,0
66,42,3,28,0,0,0,0,0,0,51,0,,
67,98,45,74,30,.4054054,18.918919,17.567568,9.4594593,1.3513514,56.277027,10.347,64.01667,25.523
68,65,21,52,17,.32692307,1.9230769,1.9230769,0,0,51.365383,.716,52.117645,2.191
69,158,119,100,72,.72000003,56,53,28,1,65.111214,27.669,70.112656,37.476
70,4,1,3,0,0,0,0,0,0,51,0,,
71,26,3,15,2,.13333334,0,0,0,0,51,0,51,0
72,26,0,23,0,0,0,0,0,0,51,0,,
73,24,7,14,2,.14285715,0,0,0,0,51,0,51,0
74,47,27,32,20,.625,34.375,31.25,12.5,0,58.090626,13.903,62.345001,22.245
75,297,200,173,106,.61271673,48.554913,47.398846,45.086704,18.49711,75.78418,48.596,91.618515,79.64400000000001
76,73,22,53,16,.3018868,7.5471697,7.5471697,1.8867924,0,53.031483,3.983,57.856251,13.444
77,78,35,58,28,.48275861,18.965517,18.965517,12.068966,0,56.236206,10.267,61.846428,21.268
78,113,66,66,36,.54545456,51.515152,48.484848,39.39394,1.5151515,67.897057,33.131,82.054054,60.89
79,17,1,13,1,.07692308,0,0,0,0,51,0,51,0
80,41,2,30,0,0,0,0,0,0,51,0,,
81,27,10,18,7,.3888889,5.5555553,5.5555553,0,0,51.777779,1.525,53,3.922
82,27,1,18,0,0,0,0,0,0,51,0,,
83,97,23,73,19,.26027396,16.438356,16.438356,15.068493,0,56.543835,10.87,72.300003,41.765
84,49,11,39,9,.23076923,2.5641026,2.5641026,0,0,51.487179,.9550000000000001,53.111111,4.139
85,29,4,19,4,.21052632,21.052631,21.052631,0,0,54.619049,7.096,63.666668,24.837
86,28,7,19,6,.31578946,0,0,0,0,51,0,51,0
87,16,3,11,1,.090909094,0,0,0,0,51,0,51,0
88,19,9,11,5,.45454547,18.181818,18.181818,18.181818,0,58.336365,14.385,67.139999,31.647
89,17,3,10,1,.1,10,10,10,0,53.970001,5.824,80.699997,58.235
90,10,0,10,0,0,0,0,0,0,51,0,,
91,118,56,76,31,.40789473,21.052631,18.421053,9.2105265,0,56.008976,9.822000000000001,63.209373,23.94
92,164,115,89,65,.73033708,65.168541,65.168541,51.685394,12.35955,77.806595,52.562,87.960609,72.47200000000001
93,126,53,78,25,.32051283,8.9743586,8.9743586,6.4102564,0,53.560257,5.02,58.987999,15.663
94,95,48,71,34,.47887325,29.577465,29.577465,19.718309,0,59.048611,15.782,68.044121,33.42
95,57,15,46,12,.26086956,21.73913,19.565218,8.695652,6.521739,57.802128,13.338,77.64167,52.239
201,13,8,3,0,0,0,0,0,0,51,0,,
202,12,1,10,1,.1,0,0,0,0,51,0,51,0
0,4533,1517,3219,995,.30910221,.14973594,.14196956,.089158125,.016775396,55.863277,9.53583812713623,66.55024,30.49066543579102
