dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2,u
1,5,2,4,1,.25,25,25,25,25,37.5,25,60,100,75
2,12,5,12,5,.41666666,33.333332,33.333332,25,0,34.615383,15.385,40,33.333,17.948
3,5,3,5,3,.60000002,20,20,0,0,32.799999,9.333,34.666668,15.556,6.223
4,2,1,2,1,.5,50,50,0,0,36.5,21.667,43,43.333,21.666
5,5,1,5,1,.2,20,20,0,0,32,6.667,40,33.333,26.666
6,86,46,79,40,.50632912,44.303799,44.303799,43.037975,25.316456,42.962502,43.208,55.924999,86.417,43.209
7,9,6,9,6,.66666669,22.222221,22.222221,22.222221,0,34.444443,14.815,36.666668,22.222,7.4070001
8,5,3,5,3,.60000002,20,20,0,0,32,6.667,33.333332,11.111,4.4439998
9,2,0,2,0,0,0,0,0,0,30,0,,,
10,5,3,4,2,.5,50,50,25,25,40,33.333,50,66.667,33.334
11,10,2,9,2,.22222222,22.222221,22.222221,11.111111,0,32.777779,9.259,42.5,41.667,32.408001
12,5,0,5,0,0,0,0,0,0,30,0,,,
13,121,69,113,63,.55752212,48.672565,47.787609,38.053097,8.8495579,39.272808,30.909,46.779366,55.931,25.021999
14,27,13,27,13,.48148149,44.444443,40.740742,37.037037,14.814815,39.666668,32.222,50.076923,66.923,34.701
15,5,0,5,0,0,0,0,0,0,30,0,,,
16,9,2,9,2,.22222222,22.222221,22.222221,11.111111,0,33.111111,10.37,44,46.667,36.297001
17,22,8,21,7,.33333334,28.571428,28.571428,9.5238094,4.7619047,34.142857,13.81,42.42857,41.429,27.618999
18,6,1,5,1,.2,20,20,20,0,33.799999,12.667,49,63.333,50.666
19,5,1,5,1,.2,20,20,0,0,32,6.667,40,33.333,26.666
21,29,15,29,15,.51724136,48.275864,48.275864,34.482758,3.4482758,38.400002,28,46.799999,56,28
22,9,0,9,0,0,0,0,0,0,30,0,,,
24,13,4,12,3,.25,25,25,8.333333,0,33.25,10.833,43,43.333,32.5
25,25,10,25,10,.40000001,28,28,24,8,35.400002,18,43.5,45,27
26,14,4,14,4,.2857143,28.571428,28.571428,21.428572,0,33.92857,13.095,43.75,45.833,32.737999
27,8,4,8,4,.5,50,50,50,25,41.875,39.583,53.75,79.167,39.584
28,7,0,7,0,0,0,0,0,0,30,0,,,
29,33,5,31,4,.12903225,3.2258065,3.2258065,0,0,30.32258,1.075,32.5,8.333,7.2579999
30,19,9,19,9,.47368422,47.36842,47.36842,31.578947,0,36.315788,21.053,43.333332,44.444,23.391001
31,84,14,78,12,.15384616,12.820513,12.820513,11.538462,0,31.949368,6.498,42.833332,42.778,36.279999
32,3,0,3,0,0,0,0,0,0,30,0,,,
33,92,41,89,38,.42696628,34.831459,30.337078,11.235955,0,33.943821,13.146,39.236843,30.789,17.643
34,71,28,70,28,.40000001,37.142857,37.142857,30,1.4285715,36.12162,20.405,45.099998,50.333,29.927999
35,43,10,43,10,.23255815,20.930233,20.930233,9.3023252,4.6511626,33.88372,12.946,46.700001,55.667,42.721001
36,4,1,4,1,.25,25,25,25,25,41.25,37.5,75,150,112.5
37,31,14,31,14,.45161289,45.161289,45.161289,3.2258065,0,34.363636,14.545,39.599998,32,17.455
38,37,13,37,13,.35135135,35.135136,35.135136,35.135136,10.810811,38.846153,29.487,54.642857,82.143,52.655998
39,5,3,5,3,.60000002,60,60,20,0,37,23.333,41.666668,38.889,15.556
40,8,3,8,3,.375,37.5,37.5,0,0,33.5,11.667,39.333332,31.111,19.444
41,8,0,8,0,0,0,0,0,0,30,0,,,
42,24,16,22,14,.63636363,45.454544,45.454544,36.363636,9.090909,37.52174,25.072,41.533333,38.444,13.372
43,3,0,3,0,0,0,0,0,0,30,0,,,
44,50,19,50,19,.38,32,28,14,2,34.540001,15.133,41.947369,39.825,24.691999
45,11,4,10,3,.30000001,30,20,10,10,35.599998,18.667,48.666668,62.222,43.555
46,2,0,2,0,0,0,0,0,0,30,0,,,
47,4,0,4,0,0,0,0,0,0,30,0,,,
48,1,0,1,0,0,0,0,0,0,30,0,,,
49,27,11,27,11,.4074074,40.740742,40.740742,29.629629,0,35.962963,19.877,44.636364,48.788,28.910999
50,10,2,10,2,.2,20,20,0,0,32,6.667,40,33.333,26.666
51,23,14,22,14,.63636363,59.090908,59.090908,54.545456,0,40.304348,34.348,46.92857,56.429,22.080999
52,3,1,3,1,.33333334,33.333332,33.333332,0,0,33.333332,11.111,40,33.333,22.222
53,6,0,6,0,0,0,0,0,0,30,0,,,
54,39,19,37,18,.48648649,43.243244,43.243244,21.621622,0,36.135136,20.45,42.611111,42.037,21.587
55,3,0,3,0,0,0,0,0,0,30,0,,,
