dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,12,7,10,6,.60000002,30,30,20,0,34,13.333,36.666668,22.222
2,15,9,9,6,.66666669,22.222221,22.222221,11.111111,0,33,10,34.285713,14.286
3,9,3,6,1,.16666667,16.666666,16.666666,16.666666,0,33.333332,11.111,50,66.667
4,5,0,4,0,0,0,0,0,0,30,0,,
5,4,0,4,0,0,0,0,0,0,30,0,,
6,59,42,54,40,.74074072,42.592594,42.592594,40.740742,25.925926,43.594444,45.315,48.352501,61.175
7,5,3,5,3,.60000002,20,20,20,0,34,13.333,36.666668,22.222
8,8,4,5,1,.2,0,0,0,0,30,0,30,0
9,2,0,1,0,0,0,0,0,0,30,0,,
10,9,5,9,5,.55555558,33.333332,22.222221,22.222221,0,35.777779,19.259,40.400002,34.667
11,12,4,12,4,.33333334,25,25,25,0,34.42857,14.762,45.5,51.667
12,4,1,3,1,.33333334,0,0,0,0,30,0,30,0
13,89,32,76,25,.32894737,17.105263,15.789474,2.6315789,1.3157895,31.938272,6.461,35.607143,18.69
14,19,6,15,2,.13333334,6.6666665,0,0,0,30.333334,1.111,32.5,8.333
15,4,2,3,2,.66666669,0,0,0,0,30,0,30,0
16,5,1,5,1,.2,0,0,0,0,30,0,30,0
17,20,15,18,13,.72222221,38.888889,33.333332,5.5555553,5.5555553,35.777779,19.259,38,26.667
18,2,1,2,1,.5,0,0,0,0,30,0,30,0
19,7,5,7,5,.71428573,42.857143,42.857143,28.571428,0,34.81818,16.061,36.625,22.083
21,16,8,15,8,.53333336,13.333333,13.333333,6.6666665,0,31.736841,5.789,33,10
22,10,3,10,3,.30000001,0,0,0,0,30,0,30,0
23,1,0,1,0,0,0,0,0,0,30,0,,
24,7,1,6,0,0,0,0,0,0,30,0,,
25,13,8,10,5,.5,10,10,0,0,31,3.333,32,6.667
26,15,11,11,11,1,36.363636,36.363636,27.272728,0,36.363636,21.212,36.363636,21.212
27,8,6,6,5,.83333331,33.333332,33.333332,33.333332,16.666666,39.833332,32.778,41.799999,39.333
28,7,3,6,2,.33333334,16.666666,16.666666,16.666666,16.666666,36.666668,22.222,50,66.667
29,34,9,30,7,.23333333,3.3333333,3.3333333,3.3333333,0,30.5,1.667,32.142857,7.143
30,25,11,20,8,.40000001,25,25,20,0,34.75,15.833,41.875,39.583
31,60,34,60,34,.56666666,8.333333,8.333333,1.6666666,0,30.916666,3.056,31.617647,5.392
33,55,48,50,44,.88,42,40,24,2,36.163635,20.545,36.918365,23.061
34,57,26,55,24,.43636364,18.181818,12.727273,7.2727275,1.8181819,32.413792,8.045999999999999,35.599998,18.667
35,27,9,25,8,.31999999,0,0,0,0,30,0,30,0
36,3,1,3,1,.33333334,0,0,0,0,30,0,30,0
37,21,17,21,17,.80952382,9.5238094,0,0,0,30.272728,.909,30.333334,1.111
