dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,19,17,15,13,.86666667,73.333336,73.333336,60,33.333332,48.860001,62.867,51.761539,72.538
2,23,12,23,12,.52173913,30.434782,26.086956,26.086956,4.347826,35.369564,17.899,40.291668,34.306
3,14,6,13,6,.46153846,46.153847,30.76923,30.76923,7.6923075,38.5,28.333,48.416668,61.389
4,6,4,5,3,.60000002,40,40,40,20,45,50,55,83.333
6,131,118,120,108,.89999998,61.666668,60,59.166668,43.333332,49.910744,66.369,52.102753,73.676
7,17,12,15,10,.66666669,60,46.666668,40,0,40.360001,34.533,45.540001,51.8
8,6,4,6,4,.66666669,33.333332,33.333332,16.666666,0,34.166668,13.889,36.25,20.833
9,4,3,4,3,.75,75,75,50,0,40,33.333,43.333332,44.444
10,17,11,17,11,.64705884,64.705879,64.705879,52.941177,11.764706,43.444443,44.815,50.166668,67.22200000000001
11,17,3,17,3,.17647059,11.764706,11.764706,5.8823528,0,31.666666,5.556,40,33.333
12,3,1,3,1,.33333334,33.333332,33.333332,0,0,33.333332,11.111,40,33.333
13,197,158,177,139,.78531075,67.796608,66.101692,63.276836,46.892654,51.488949,71.63,57.390846,91.303
14,36,27,34,25,.7352941,52.941177,52.941177,50,17.647058,41.60857,38.695,45.626923,52.09
15,4,4,4,4,1,50,50,25,0,36.25,20.833,36.25,20.833
16,16,12,16,12,.75,68.75,62.5,37.5,6.25,39.735294,32.451,42.73077,42.436
17,30,22,28,20,.71428573,60.714287,57.142857,35.714287,7.1428571,39.916668,33.056,43.522728,45.076
18,12,10,12,10,.83333331,58.333332,58.333332,58.333332,0,41.854168,39.514,44.224998,47.417
19,10,7,8,6,.75,75,75,75,50,57.555557,91.852,71.333336,137.778
21,36,30,36,30,.83333331,66.666664,63.888889,47.222221,11.111111,44.165791,47.219,47.364517,57.882
22,24,12,23,12,.52173913,21.73913,21.73913,13.043478,0,33.413044,11.377,36.541668,21.806
23,3,2,3,2,.66666669,66.666664,66.666664,33.333332,0,40,33.333,45,50
24,14,11,14,11,.78571427,64.285713,64.285713,64.285713,7.1428571,44.185715,47.286,48.054546,60.182
25,31,19,31,19,.61290324,51.612904,51.612904,48.387096,6.4516129,40.870968,36.237,47.736843,59.123
