dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,24,20,17,15,.88235295,82.352943,58.823528,47.058823,17.647058,42.63158,42.105,44.117645,47.059
2,24,16,17,9,.52941179,29.411764,29.411764,23.529411,11.764706,38,26.667,45.111111,50.37
3,17,10,16,10,.625,50,50,50,6.25,41.625,38.75,48.599998,62
4,9,7,7,6,.85714287,57.142857,57.142857,57.142857,42.857143,46.42857,54.762,49.166668,63.889
5,12,6,9,4,.44444445,33.333332,33.333332,22.222221,0,35.666668,18.889,42.75,42.5
6,114,95,85,69,.81176472,69.411766,69.411766,63.529411,25.882353,47.197701,57.326,51.073238,70.244
7,9,6,7,5,.71428573,71.428574,71.428574,71.428574,14.285714,48.142857,60.476,55.400002,84.667
8,6,5,4,3,.75,50,50,50,50,58.75,95.833,68.333336,127.778
9,6,5,5,4,.80000001,80,80,60,0,41.599998,38.667,44.5,48.333
10,11,5,8,4,.5,25,25,25,12.5,35.625,18.75,41.25,37.5
11,21,13,21,13,.61904764,47.619049,47.619049,33.333332,4.7619047,37.727272,25.758,42.142857,40.476
12,13,4,13,4,.30769232,15.384615,15.384615,0,0,31.23077,4.103,34,13.333
13,175,124,149,105,.70469797,59.731544,59.060402,53.020134,18.120806,42.798702,42.662,47.918182,59.727
14,35,21,32,19,.59375,31.25,31.25,28.125,6.25,35.90625,19.688,39.947369,33.158
15,4,2,4,2,.5,50,50,0,0,35.25,17.5,40.5,35
16,22,13,20,11,.55000001,65,65,45,0,39.50909,31.697,46.092308,53.641
17,40,39,37,36,.97297299,91.891891,86.486488,81.081078,13.513514,46.452633,54.842,46.897297,56.324
18,8,5,8,5,.625,50,50,37.5,25,40.625,35.417,47,56.667
19,12,7,11,7,.63636363,45.454544,27.272728,9.090909,0,33.909092,13.03,36.142857,20.476
21,36,31,30,25,.83333331,53.333332,53.333332,43.333332,16.666666,41.290321,37.634,43.46154,44.872
22,27,17,24,14,.58333331,58.333332,54.166668,54.166668,0,39.426922,31.423,45.318748,51.062
23,6,5,4,3,.75,100,100,0,0,38,26.667,40,33.333
24,27,9,21,5,.23809524,28.571428,28.571428,23.809525,0,34.772728,15.909,47.5,58.333
25,28,17,24,15,.625,58.333332,58.333332,54.166668,0,41.387501,37.958,48.220001,60.733
26,34,19,29,16,.55172414,48.275864,44.827587,37.931034,10.344828,39.866665,32.889,48.5,61.667
27,27,16,24,14,.58333331,58.333332,58.333332,54.166668,33.333332,45.541668,51.806,56.642857,88.81
28,21,14,14,8,.5714286,35.714287,35.714287,35.714287,14.285714,41.07143,36.905,49.375,64.583
29,55,35,53,34,.64150941,56.603775,47.169811,28.301888,5.6603775,38.169811,27.233,42.735294,42.451
30,41,30,32,23,.71875,56.25,53.125,40.625,12.5,40.946877,36.49,45.230434,50.768
31,101,76,88,64,.72727275,67.045456,64.772728,59.090908,15.909091,43.176289,43.921,48.258572,60.862
32,17,12,13,8,.61538464,53.846153,53.846153,46.153847,23.076923,43.169231,43.897,51.400002,71.333
33,140,95,120,80,.66666669,57.5,54.166668,42.5,3.3333333,38.321968,27.74,42.07143,40.238
34,95,66,72,48,.66666669,61.111111,51.388889,37.5,11.111111,38.337349,27.791,42.14035,40.468
35,73,37,70,35,.5,48.57143,48.57143,41.42857,2.8571429,37.648148,25.494,43.766666,45.889
36,7,1,6,1,.16666667,16.666666,16.666666,16.666666,0,32.5,8.333,45,50
37,41,32,37,30,.8108108,70.270271,67.567566,64.864868,10.810811,45.920513,53.068,49.403126,64.67700000000001
38,70,56,55,43,.78181821,61.81818,56.363636,41.81818,10.909091,39.908333,33.028,42.385418,41.285
39,13,11,11,9,.81818181,63.636364,63.636364,54.545456,9.090909,42.727272,42.424,45.555557,51.852
40,33,24,26,18,.69230771,61.53846,57.692307,57.692307,7.6923075,42.046154,40.154,47.400002,58
41,25,13,20,9,.44999999,35,35,30,10,37.186363,23.955,44.372726,47.909
42,37,27,31,24,.77419353,70.967743,70.967743,61.290321,19.354839,47.741936,59.14,52.916668,76.389
43,9,5,6,3,.5,50,50,50,0,40.833332,36.111,51.666668,72.22200000000001
44,115,74,104,66,.63461536,75.96154,75.96154,69.230766,2.8846154,41.176338,37.254,45.948254,53.161
45,35,25,31,22,.7096774,51.612904,51.612904,48.387096,35.483871,44.496773,48.323,50.427273,68.09100000000001
46,6,2,4,0,0,0,0,0,0,30,0,,
47,23,15,22,14,.63636363,54.545456,54.545456,40.909092,4.5454545,39.18182,30.606,44.42857,48.095
