dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,14,6,14,6,.42857143,7.1428571,7.1428571,7.1428571,0,52.685715,4.952,56,11.554
2,24,3,24,3,.125,8.333333,4.1666665,0,0,51.396156,2.383,57.974998,15.488
3,10,3,10,3,.30000001,10,10,0,0,52.18,3.944,56.799999,13.147
4,11,3,10,3,.30000001,10,10,0,0,52.16,3.904,56.733334,13.015
5,6,3,6,3,.5,50,33.333332,0,0,58.816666,17.165,67.433334,34.329
6,188,82,187,82,.43850267,31.016043,28.877005,13.368984,.53475934,58.46423,16.463,69.147255,37.744
7,8,3,7,3,.42857143,28.571428,28.571428,0,0,56.585716,12.721,65.099998,29.681
8,10,2,10,2,.2,30,30,10,0,57.727272,14.995,77.799995,54.98
9,7,1,7,1,.14285715,0,0,0,0,50.200001,0,50.200001,0
10,5,0,5,0,0,0,0,0,0,50.200001,0,,
11,15,2,15,2,.13333334,6.6666665,6.6666665,0,0,51.52,2.629,60.099998,19.721
12,11,0,11,0,0,0,0,0,0,50.200001,0,,
13,346,134,341,129,.37829912,25.219942,24.046921,11.730206,.29325512,56.768749,13.085,67.201469,33.867
14,40,16,39,15,.38461539,28.205128,23.076923,7.6923075,0,56.145,11.843,65.0625,29.607
15,3,1,3,1,.33333334,33.333332,33.333332,33.333332,0,60.133335,19.788,80,59.363
16,14,5,14,5,.35714287,35.714287,35.714287,0,0,55.842857,11.241,66,31.474
17,34,13,34,13,.38235295,32.35294,29.411764,11.764706,0,56.895958,13.339,67.712502,34.885
18,10,2,10,2,.2,20,10,0,0,52.959999,5.498,64,27.49
19,10,2,10,2,.2,20,0,0,0,51.860001,3.307,58.5,16.534
21,45,13,45,13,.2888889,17.777779,11.111111,4.4444447,0,53.364445,6.304,61.153847,21.82
22,28,7,28,7,.25,17.857143,17.857143,7.1428571,0,54.303448,8.173999999999999,67.199997,33.865
23,3,0,3,0,0,0,0,0,0,50.200001,0,,
24,17,4,17,4,.23529412,17.647058,11.764706,5.8823528,0,53.429413,6.433,63.924999,27.341
25,38,11,38,11,.28947368,21.052631,13.157895,10.526316,0,55.486843,10.532,68.463638,36.382
26,20,6,20,6,.30000001,30,25,5,5,57.540001,14.622,74.666664,48.738
27,26,13,26,13,.5,50,50,15.384615,0,62.401852,24.306,73.73214,46.877
28,9,3,9,3,.33333334,22.222221,22.222221,22.222221,11.111111,63.488888,26.472,90.066666,79.416
29,56,5,56,5,.089285716,7.1428571,5.3571429,1.7857143,0,51.551788,2.693,65.339996,30.159
30,53,11,51,10,.19607843,13.725491,11.764706,0,0,52.684315,4.949,62.869999,25.239
31,204,44,203,43,.21182266,7.8817735,6.8965516,1.9704434,0,51.948078,3.482,58.279999,16.096
32,8,0,8,0,0,0,0,0,0,50.200001,0,,
33,289,116,287,116,.40418118,31.358885,29.268293,19.163763,0,58.288872,16.113,70.216522,39.874
34,164,39,164,39,.23780487,15.853659,14.02439,5.4878049,0,53.869698,7.31,65.725639,30.928
35,86,23,86,23,.26744187,24.418604,19.767443,8.139535,0,55.36628,10.291,69.517395,38.481
36,7,3,7,3,.42857143,28.571428,28.571428,14.285714,0,56.642857,12.834,65.23333,29.947
37,66,28,66,28,.42424244,37.878788,37.878788,28.787878,0,63.711765,26.916,80.826668,61.009
38,118,38,116,37,.31896552,24.137932,20.689655,6.034483,0,55.345764,10.251,66.610809,32.691
39,9,1,9,1,.11111111,0,0,0,0,50.733334,1.062,55,9.561999999999999
40,17,1,15,1,.06666667,6.6666665,6.6666665,0,0,51.200001,1.992,65.199997,29.88
41,22,3,22,3,.13636364,4.5454545,4.5454545,0,0,51.159092,1.911,57.233334,14.011
42,49,18,48,18,.375,25,25,6.25,0,56.275002,12.102,66.400002,32.271
43,14,2,14,2,.14285715,14.285714,14.285714,7.1428571,0,53.907143,7.385,76.150002,51.693
44,113,57,112,57,.5089286,44.642857,41.07143,6.25,.89285713,59.654465,18.834,68.777191,37.006
45,26,7,26,7,.26923078,19.23077,19.23077,3.8461537,0,54,7.57,64.314285,28.116
46,6,0,6,0,0,0,0,0,0,50.200001,0,,
47,8,1,8,1,.125,0,0,0,0,50.200001,0,50.200001,0
48,2,0,2,0,0,0,0,0,0,50.200001,0,,
49,58,13,58,13,.22413793,15.517241,10.344828,1.7241379,0,53.075863,5.729,63.030769,25.559
50,9,0,9,0,0,0,0,0,0,50.200001,0,,
51,35,25,35,25,.71428573,60,54.285713,37.142857,2.8571429,65.148651,29.778,72.323997,44.072
52,4,1,4,1,.25,25,0,0,0,53.275002,6.126,62.5,24.502
53,9,0,9,0,0,0,0,0,0,50.200001,0,,
54,64,41,64,41,.640625,57.8125,50,29.6875,0,64.599998,28.685,72.678047,44.777
55,3,0,3,0,0,0,0,0,0,50.200001,0,,
56,41,10,40,10,.25,17.5,17.5,7.5,0,54.980488,9.523,68.018181,35.494
57,44,15,44,15,.34090909,29.545454,29.545454,13.636364,0,57.531113,14.604,72.193336,43.811
58,8,0,8,0,0,0,0,0,0,50.200001,0,,
59,122,72,118,69,.58474576,50.847458,50,38.135593,0,66.485832,32.442,78.118568,55.615
60,19,7,19,7,.36842105,31.578947,31.578947,15.789474,0,58.505264,16.544,72.742859,44.906
61,6,3,6,3,.5,16.666666,16.666666,0,0,53.133335,5.843,56.066666,11.687
62,32,11,32,11,.34375,21.875,18.75,9.375,0,54.856251,9.275,63.745457,26.983
63,81,10,81,10,.12345679,9.876543,7.4074073,2.4691358,0,52.263416,4.11,67.120003,33.705
64,72,26,71,26,.36619717,19.718309,15.492958,1.4084507,0,53.529167,6.632000000000001,59.077778,17.685
65,12,1,12,1,.083333336,0,0,0,0,50.200001,0,50.200001,0
66,33,8,33,8,.24242425,9.090909,9.090909,6.060606,0,53.273529,6.123,63.262501,26.021
67,145,84,145,84,.57931036,54.482758,52.413792,21.379311,0,63.502041,26.498,73.204704,45.826
68,45,27,45,27,.60000002,55.555557,51.111111,33.333332,0,65.746666,30.969,76.111115,51.616
69,272,179,270,177,.65555555,61.48148,60.370369,51.111111,2.5925925,71.418289,42.268,82.442322,64.22799999999999
70,5,2,5,2,.40000001,40,40,0,0,56.720001,12.988,66.5,32.47
71,28,7,28,7,.25,25,25,14.285714,0,57.400002,14.343,79,57.371
72,22,3,22,3,.13636364,4.5454545,4.5454545,4.5454545,0,51.781818,3.151,61.799999,23.108
73,34,18,34,18,.52941179,52.941177,52.941177,5.8823528,0,62.097057,23.699,72.672226,44.765
74,57,35,57,35,.61403507,61.403507,54.385963,45.614037,0,67.815254,35.09,78.289192,55.955
75,1016,700,1010,695,.68811882,67.227722,64.752472,58.019802,25.841583,83.624321,66.58200000000001,98.349724,95.916
76,76,38,76,38,.5,47.36842,44.736843,23.68421,0,62.307594,24.119,73.529266,46.473
77,58,31,57,31,.54385966,45.614037,43.85965,33.333332,1.7543859,64.451668,28.39,75.349998,50.1
78,102,65,102,65,.63725489,60.784313,59.803921,49.019608,9.8039217,74.239807,47.888,87.716667,74.73399999999999
79,7,3,7,3,.42857143,28.571428,28.571428,14.285714,0,56.285713,12.123,64.400002,28.287
80,34,7,33,7,.21212122,9.090909,9.090909,6.060606,0,52.59412,4.769,61.828571,23.164
81,13,5,13,5,.38461539,7.6923075,7.6923075,0,0,51.614288,2.817,53.5,6.574
82,5,0,5,0,0,0,0,0,0,50.200001,0,,
83,89,33,88,32,.36363637,27.272728,27.272728,14.772727,3.409091,59.030682,17.591,74.484375,48.375
84,39,11,39,11,.2820513,23.076923,23.076923,5.1282053,2.5641026,55.787502,11.13,70.518181,40.474
85,18,5,18,5,.27777779,22.222221,22.222221,11.111111,0,56.488888,12.528,72.839996,45.1
86,17,4,17,4,.23529412,11.764706,11.764706,5.8823528,0,53.138889,5.854,63.424999,26.345
87,29,3,28,3,.10714286,10.714286,10.714286,0,0,51.972416,3.531,67.333336,34.13
88,8,0,8,0,0,0,0,0,0,50.200001,0,,
89,22,8,21,7,.33333334,9.5238094,4.7619047,0,0,51.609524,2.808,54.428574,8.423
90,11,1,11,1,.090909094,0,0,0,0,50.200001,0,50.200001,0
91,64,33,63,33,.52380955,46.031746,44.444443,30.15873,6.3492064,65.196877,29.874,78.429413,56.234
92,132,87,131,86,.65648854,62.595421,62.595421,48.854961,22.137405,78.351143,56.078,93.081398,85.42100000000001
93,58,14,57,14,.24561404,15.789474,14.035088,10.526316,0,54.091228,7.751,66.042854,31.559
94,76,43,75,43,.57333332,53.333332,52,37.333332,6.6666665,69.666664,38.778,84.153488,67.636
95,52,28,51,27,.52941179,47.058823,47.058823,37.254902,1.9607843,66.547058,32.564,81.077774,61.51
201,14,2,14,2,.14285715,7.1428571,7.1428571,0,0,51.257145,2.106,57.599998,14.741
202,15,9,15,9,.60000002,26.666666,26.666666,0,0,55.887501,11.33,59.299999,18.127
0,5439,2436,5410,2418,.44695008,.3857671,.36506468,.24972273,.060628466,63.868736,27.22855758666992,80.452011,60.26296997070313
