dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,9,2,7,1,.14285715,14.285714,0,0,0,37.625,1.689,42,13.514
2,9,3,7,2,.2857143,28.571428,14.285714,0,0,40,8.108000000000001,47.5,28.378
3,4,2,4,2,.5,50,0,0,0,41,10.811,45,21.622
4,6,1,5,1,.2,0,0,0,0,37,0,37,0
5,1,0,1,0,0,0,0,0,0,37,0,,
6,74,51,68,47,.69117647,69.117645,69.117645,51.470589,5.8823528,54.105797,46.232,61.589584,66.458
7,6,0,6,0,0,0,0,0,0,37,0,,
8,5,2,5,2,.40000001,20,0,0,0,38.599998,4.324,41,10.811
9,4,3,3,2,.66666669,33.333332,0,0,0,40.666668,9.91,42.5,14.865
10,4,2,4,2,.5,50,50,50,0,50.25,35.811,63.5,71.622
11,7,1,7,1,.14285715,14.285714,0,0,0,37.57143,1.544,41,10.811
12,3,1,3,1,.33333334,33.333332,33.333332,33.333332,0,44.666668,20.721,60,62.162
13,126,78,113,70,.61946905,59.292034,46.902657,12.38938,0,45.816101,23.827,51.058109,37.995
14,25,19,23,17,.73913044,56.52174,47.826088,13.043478,4.347826,46.287498,25.101,49.383335,33.468
15,4,0,4,0,0,0,0,0,0,37,0,,
16,5,2,5,2,.40000001,20,0,0,0,38.200001,3.243,40,8.108000000000001
17,23,16,22,15,.68181819,50,13.636364,0,0,41.545456,12.285,43.666668,18.018
18,4,0,4,0,0,0,0,0,0,37,0,,
19,4,1,4,1,.25,25,25,25,0,42.75,15.541,60,62.162
21,21,12,21,12,.5714286,28.571428,0,0,0,39.625,7.095,41.846153,13.098
22,12,1,12,1,.083333336,0,0,0,0,37,0,37,0
23,1,0,1,0,0,0,0,0,0,37,0,,
24,7,2,7,2,.2857143,28.571428,14.285714,0,0,40,8.108000000000001,47.5,28.378
25,15,4,14,3,.21428572,21.428572,21.428572,0,0,39.333332,6.306,48.666668,31.532
26,6,0,6,0,0,0,0,0,0,37,0,,
27,2,2,2,2,1,100,50,0,0,47.900002,29.459,47.900002,29.459
28,11,10,10,9,.89999998,70,70,10,0,47.299999,27.838,48.444443,30.931
29,30,6,26,3,.11538462,0,0,0,0,37.115383,.312,38,2.703
30,25,14,24,13,.54166669,58.333332,41.666668,4.1666665,0,44.560001,20.432,50.5,36.486
31,89,28,82,25,.30487806,19.512196,17.073172,4.8780489,0,40.121685,8.436999999999999,46.965385,26.933
33,84,48,80,46,.57499999,52.5,42.5,6.25,0,44.166668,19.369,49.040001,32.541
34,76,37,72,35,.4861111,31.944445,25,5.5555553,0,41.246574,11.477,45.611111,23.273
35,36,6,35,5,.14285715,8.5714283,2.8571429,0,0,37.805557,2.177,42.799999,15.676
37,29,10,28,9,.32142857,17.857143,0,0,0,38.42857,3.861,41.444443,12.012
38,50,12,47,12,.25531915,17.021276,12.765958,2.1276596,0,39.346809,6.343,46.191666,24.842
39,4,1,4,1,.25,25,25,25,0,43,16.216,61,64.86499999999999
40,9,6,9,6,.66666669,11.111111,0,0,0,38.222221,3.303,38.833332,4.955
41,5,3,5,3,.60000002,40,20,0,0,41.400002,11.892,44.333332,19.82
42,23,9,21,7,.33333334,28.571428,19.047619,4.7619047,0,41,10.811,49,32.432
43,1,1,1,1,1,0,0,0,0,37,0,37,0
44,46,30,42,28,.66666669,40.476189,40.476189,2.3809524,0,42.6875,15.372,45.341667,22.545
45,18,15,16,13,.8125,81.25,43.75,18.75,0,47.417648,28.156,49.650002,34.189
