dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,50,39,47,37,.78723407,46.80851,44.680851,25.531916,0,28.602083,15.798,29.502565,19.444
2,35,13,30,13,.43333334,0,0,0,0,24.700001,0,24.700001,0
3,24,8,23,8,.34782609,0,0,0,0,24.700001,0,24.700001,0
5,11,2,11,2,.18181819,0,0,0,0,24.700001,0,24.700001,0
6,144,77,111,62,.55855858,5.4054055,1.8018018,0,0,24.87838,.722,24.964001,1.069
7,26,12,17,7,.41176471,0,0,0,0,24.700001,0,24.700001,0
8,13,1,9,1,.11111111,0,0,0,0,24.700001,0,24.700001,0
9,7,0,5,0,0,0,0,0,0,24.700001,0,,
10,13,0,13,0,0,0,0,0,0,24.700001,0,,
11,35,4,29,4,.13793103,0,0,0,0,24.700001,0,24.700001,0
12,9,5,6,4,.66666669,0,0,0,0,24.700001,0,24.700001,0
13,235,57,170,40,.23529412,3.5294118,0,0,0,24.823078,.498,25.136364,1.767
14,75,31,62,24,.38709676,0,0,0,0,24.700001,0,24.700001,0
15,6,1,5,0,0,0,0,0,0,24.700001,0,,
16,20,8,14,8,.5714286,0,0,0,0,24.700001,0,24.700001,0
17,40,16,40,14,.34999999,0,0,0,0,24.700001,0,24.700001,0
18,18,10,16,10,.625,56.25,50,0,0,26.985294,9.252000000000001,27.475,11.235
19,18,8,10,3,.30000001,20,20,0,0,26.033335,5.398,28.700001,16.194
21,61,32,49,29,.59183675,44.897961,0,0,0,26.856001,8.729000000000001,28.293333,14.548
22,32,5,31,5,.16129032,0,0,0,0,24.700001,0,24.700001,0
23,20,10,5,4,.80000001,0,0,0,0,24.700001,0,24.700001,0
24,23,6,20,6,.30000001,0,0,0,0,24.700001,0,24.700001,0
25,55,24,41,20,.48780489,0,0,0,0,24.700001,0,24.700001,0
26,51,14,24,11,.45833334,0,0,0,0,24.700001,0,24.700001,0
27,43,22,27,14,.51851851,18.518518,18.518518,18.518518,0,27.75,12.348,30.800001,24.696
28,28,4,25,4,.16,4,4,4,4,25.764,4.308,31.35,26.923
29,61,3,46,3,.065217391,4.347826,4.347826,0,0,25.063637,1.472,27.200001,10.121
30,75,28,63,23,.36507937,0,0,0,0,24.700001,0,24.700001,0
31,117,42,111,38,.34234235,0,0,0,0,24.700001,0,24.700001,0
32,11,0,8,0,0,0,0,0,0,24.700001,0,,
33,201,92,171,85,.49707603,11.695907,11.695907,8.7719297,0,25.602892,3.655,26.457949,7.117
34,125,53,98,49,.5,0,0,0,0,24.700001,0,24.700001,0
35,83,28,76,27,.35526314,0,0,0,0,24.700001,0,24.700001,0
36,7,0,5,0,0,0,0,0,0,24.700001,0,,
37,59,36,52,35,.67307693,86.53846,86.53846,0,0,29.97143,21.342,31.450001,27.328
38,130,84,112,75,.66964287,2.6785715,2.6785715,0,0,24.91898,.887,25.003031,1.227
39,52,30,19,10,.52631581,42.105263,10.526316,10.526316,0,27.636843,11.89,30.280001,22.591
40,68,32,48,25,.52083331,0,0,0,0,24.700001,0,24.700001,0
41,20,2,18,2,.11111111,0,0,0,0,24.700001,0,24.700001,0
42,64,35,56,25,.44642857,0,0,0,0,24.700001,0,24.700001,0
43,26,15,16,11,.6875,6.25,6.25,0,0,25.288237,2.382,25.533335,3.374
44,99,55,88,54,.61363637,5.681818,0,0,0,24.935295,.9530000000000001,25.052942,1.429
45,83,52,57,32,.56140351,12.280702,12.280702,10.526316,3.5087719,26.846033,8.688000000000001,28.354055,14.794
46,5,0,5,0,0,0,0,0,0,24.700001,0,,
47,24,7,19,6,.31578946,0,0,0,0,24.700001,0,24.700001,0
48,2,0,1,0,0,0,0,0,0,24.700001,0,,
49,47,14,41,13,.31707317,0,0,0,0,24.700001,0,24.700001,0
50,25,2,20,0,0,0,0,0,0,24.700001,0,,
