dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
1,24,22,17,17,1,94.117645,94.117645,94.117645,0,48.823528,62.745,48.823528,62.745
2,13,7,12,6,.5,25,25,25,8.333333,35.76923,19.231,40.714287,35.714
3,19,11,19,11,.57894737,47.36842,47.36842,36.842106,26.31579,40.526318,35.088,48.18182,60.606
4,3,2,2,1,.5,50,50,50,50,45,50,60,100
5,8,3,6,1,.16666667,16.666666,0,0,0,30.5,1.667,33,10
6,105,80,64,49,.765625,65.625,65.625,65.625,26.5625,47.587692,58.626,52.863998,76.21300000000001
7,20,10,19,9,.47368422,36.842106,36.842106,36.842106,0,35.25,17.5,41.666668,38.889
8,7,2,5,2,.40000001,0,0,0,0,30,0,30,0
10,11,5,10,5,.5,50,50,50,50,45,50,60,100
11,16,8,13,6,.46153846,23.076923,23.076923,0,0,32.307693,7.692,35,16.667
12,4,1,3,0,0,0,0,0,0,30,0,,
13,196,80,102,36,.35294119,28.431372,28.431372,28.431372,11.764706,36.504673,21.682,47.846153,59.487
14,44,30,41,27,.65853661,26.829268,26.829268,19.512196,2.4390244,34.878048,16.26,37.407406,24.691
15,5,3,4,2,.5,0,0,0,0,30,0,30,0
16,18,11,18,11,.6111111,55.555557,55.555557,22.222221,0,37.722221,25.741,42.636364,42.121
17,26,15,24,15,.625,50,50,4.1666665,0,35.52,18.4,38.625,28.75
18,9,4,6,1,.16666667,16.666666,16.666666,0,0,31.666666,5.556,40,33.333
19,7,5,7,5,.71428573,57.142857,57.142857,0,0,35.714287,19.048,38,26.667
21,30,28,27,26,.96296299,74.074074,70.370369,70.370369,7.4074073,37.345238,24.484,37.524391,25.081
22,24,8,19,4,.21052632,5.2631578,5.2631578,0,0,30.5,1.667,32.5,8.333
23,2,0,2,0,0,0,0,0,0,30,0,,
24,16,8,16,8,.5,12.5,12.5,6.25,0,31.9375,6.458,33.875,12.917
25,27,21,27,21,.77777779,85.185188,85.185188,81.481483,3.7037036,47.037037,56.79,50,66.667
26,14,13,12,11,.91666669,75,75,75,0,46.083332,53.611,47.545456,58.485
27,10,6,5,3,.60000002,60,60,60,0,41.666668,38.889,53.333332,77.77800000000001
28,6,3,5,3,.60000002,60,60,60,60,48,60,60,100
29,34,12,33,11,.33333334,0,0,0,0,30,0,30,0
30,34,22,20,8,.40000001,25,25,25,0,35.5,18.333,43.75,45.833
31,138,49,134,46,.34328359,23.880596,23.880596,20.895523,.74626863,34.194031,13.98,42.217392,40.725
32,3,0,3,0,0,0,0,0,0,30,0,,
33,134,117,89,82,.92134833,87.64045,87.64045,78.651688,19.101124,48.404495,61.348,49.975609,66.58500000000001
34,101,71,92,66,.71739131,69.565216,69.565216,68.478264,8.695652,44.045574,46.819,49.262501,64.208
35,63,27,56,21,.375,7.1428571,5.3571429,1.7857143,1.7857143,31.410715,4.702,33.761906,12.54
36,4,1,4,1,.25,0,0,0,0,30,0,30,0
37,33,26,15,12,.80000001,0,0,0,0,30,0,30,0
38,69,42,65,40,.61538464,66.153847,64.615387,64.615387,3.0769231,41.888157,39.627,48.07,60.233
39,5,1,5,1,.2,20,20,20,0,33.200001,10.667,46,53.333
40,14,11,12,9,.75,66.666664,66.666664,8.333333,0,38.333332,27.778,41.111111,37.037
41,5,3,5,3,.60000002,40,40,40,0,38,26.667,43.333332,44.444
42,38,33,32,27,.84375,78.125,78.125,78.125,9.375,45.617645,52.059,48.310345,61.034
44,112,73,104,71,.68269229,46.153847,46.153847,20.192308,.96153843,36.404808,21.349,39.381691,31.272
45,32,27,29,25,.86206895,86.206894,86.206894,79.310349,20.689655,40.906979,36.357,42.025642,40.085
47,15,4,14,3,.21428572,0,0,0,0,30,0,30,0
49,60,48,59,48,.81355929,64.406776,62.711864,13.559322,0,36.849998,22.833,38.387756,27.959
50,11,1,11,1,.090909094,0,0,0,0,30,0,30,0
51,33,31,32,31,.96875,96.875,96.875,96.875,0,43.108109,43.694,43.472221,44.907
52,6,2,6,2,.33333334,16.666666,16.666666,0,0,31.666666,5.556,35,16.667
53,3,1,3,1,.33333334,33.333332,33.333332,0,0,33.333332,11.111,40,33.333
54,54,44,52,44,.84615386,78.846153,78.846153,75,3.8461537,46.475925,54.92,49.341305,64.471
55,3,2,3,2,.66666669,66.666664,66.666664,66.666664,0,42,40,48,60
56,26,17,26,17,.65384614,53.846153,53.846153,38.46154,0,37.423077,24.744,41.35294,37.843
57,33,10,33,9,.27272728,12.121212,12.121212,12.121212,0,31.818182,6.061,36.666668,22.222
58,5,1,5,1,.2,20,20,20,0,34,13.333,50,66.667
59,117,102,99,88,.8888889,74.747475,69.696968,37.373737,4.0404038,40.177883,33.926,41.381721,37.939
60,22,14,16,11,.6875,56.25,56.25,56.25,56.25,46.4375,54.792,53.909092,79.697
61,2,1,2,1,.5,0,0,0,0,30,0,30,0
62,62,49,54,44,.81481481,68.518517,59.259258,31.481482,0,38.927273,29.758,40.91111,36.37
63,35,13,34,12,.35294119,0,0,0,0,30,0,30,0
64,77,57,63,45,.71428573,46.031746,46.031746,15.873015,0,35.02985,16.766,37.170212,23.901
66,37,14,34,11,.32352942,32.35294,32.35294,5.8823528,0,33.42857,11.429,40.909092,36.364
67,48,45,47,44,.93617022,82.978722,82.978722,72.340424,44.680851,49.020409,63.401,50.260868,67.536
68,33,29,32,28,.875,78.125,78.125,78.125,25,47.25,57.5,49.714287,65.714
69,185,179,156,150,.96153843,82.692307,82.692307,76.92308,22.435898,47.908047,59.693,48.547619,61.825
70,6,5,4,4,1,100,100,100,0,50,66.667,50,66.667
71,28,19,26,17,.65384614,61.53846,61.53846,46.153847,0,40.76923,35.897,46.470589,54.902
72,25,14,23,14,.60869563,43.47826,43.47826,30.434782,0,35.625,18.75,39.642857,32.143
73,26,22,23,21,.9130435,73.91304,73.91304,56.52174,0,42.230434,40.768,43.395237,44.651
74,42,37,26,23,.88461536,88.46154,84.615387,53.846153,15.384615,45.240742,50.802,47.145832,57.153
75,186,153,111,93,.83783782,79.279282,79.279282,79.279282,61.261261,59.182884,97.276,64.831184,116.104
76,77,61,72,59,.81944442,50,48.611111,23.611111,0,36.164383,20.548,37.5,25
77,32,19,21,11,.52380955,28.571428,28.571428,28.571428,14.285714,36.952381,23.175,43.272728,44.242
78,63,57,42,36,.85714287,64.285713,64.285713,64.285713,23.809525,46.507141,55.024,49.258331,64.194
79,6,6,5,5,1,80,80,60,0,44,46.667,44,46.667
80,35,29,31,27,.87096775,83.870964,83.870964,83.870964,25.806452,50.21212,67.374,53.82143,79.405
81,15,1,15,1,.06666667,0,0,0,0,30,0,30,0
82,17,9,17,9,.52941179,52.941177,52.941177,52.941177,0,43.235294,44.118,55,83.333
83,71,52,49,33,.67346936,38.775509,38.775509,26.530613,6.1224489,37.510204,25.034,41.151516,37.172
84,45,35,24,17,.70833331,37.5,37.5,29.166666,4.1666665,37.043999,23.48,40.358822,34.529
85,20,10,15,10,.66666669,13.333333,13.333333,13.333333,0,32.666668,8.888999999999999,34,13.333
86,14,12,5,3,.60000002,0,0,0,0,30,0,30,0
87,22,17,22,17,.77272725,77.272728,77.272728,0,0,37.727272,25.758,40,33.333
88,8,7,8,7,.875,87.5,87.5,0,0,40.5,35,42,40
89,11,4,8,1,.125,0,0,0,0,30,0,30,0
90,10,2,9,1,.11111111,11.111111,11.111111,0,0,31.111111,3.704,40,33.333
91,52,34,38,23,.60526317,31.578947,31.578947,23.68421,10.526316,36.947369,23.158,41.47826,38.261
92,98,89,56,54,.96428573,80.35714,80.35714,80.35714,62.5,56,86.667,56.912281,89.708
93,47,33,16,8,.5,31.25,31.25,31.25,12.5,37.75,25.833,45.5,51.667
94,53,42,38,30,.78947371,78.947365,78.947365,78.947365,71.052635,53.589745,78.63200000000001,59.677418,98.925
95,39,24,31,20,.64516127,51.612904,51.612904,51.612904,6.4516129,38.990623,29.969,44.384998,47.95
201,10,2,1,0,0,0,0,0,0,30,0,,
202,7,0,2,0,0,0,0,0,0,30,0,,
0,3384,2333,2691,1831,.68041623,.54440731,.53808993,.43255296,.12374582,40.870132,36.2337760925293,45.773048,52.57682800292969
