dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,PrixMoyenS2,depmoyen,depmoyenS2
1,14,6.0,14,6.0,0.42857142857142855,7.142857142857142,7.142857142857142,7.142857142857142,0.0,52.68571428571429,56.0,4.95162208309619,11.554
2,24,3.0,24,3.0,0.125,8.333333333333332,4.166666666666666,0.0,0.0,51.39615384615385,57.975,2.382776585963841,15.488
3,10,3.0,10,3.0,0.3,10.0,10.0,0.0,0.0,52.18000000000001,56.800000000000004,3.944223107569729,13.147
4,11,3.0,10,3.0,0.3,10.0,10.0,0.0,0.0,52.160000000000004,56.73333333333333,3.9043824701195233,13.015
5,6,3.0,6,3.0,0.5,50.0,33.33333333333333,0.0,0.0,58.81666666666666,67.43333333333334,17.164674634794142,34.329
6,188,82.0,187,82.0,0.4385026737967914,31.016042780748666,28.87700534759358,13.368983957219251,0.53475935828877,58.464228723404254,69.14725609756097,16.462607018733564,37.744
7,8,3.0,7,3.0,0.42857142857142855,28.57142857142857,28.57142857142857,0.0,0.0,56.58571428571429,65.10000000000001,12.720546385885031,29.681
8,10,2.0,10,2.0,0.2,30.0,30.0,10.0,0.0,57.72727272727273,77.8,14.994567185802238,54.98
9,7,1.0,7,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,50.2,50.2,0.0,0.0
10,5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
11,15,2.0,15,2.0,0.13333333333333333,6.666666666666667,6.666666666666667,0.0,0.0,51.52,60.1,2.6294820717131477,19.721
12,11,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
13,346,134.0,341,129.0,0.3782991202346041,25.219941348973606,24.04692082111437,11.730205278592376,0.2932551319648094,56.768750000000004,67.2014705882353,13.085159362549803,33.867
14,40,16.0,39,15.0,0.38461538461538464,28.205128205128204,23.076923076923077,7.6923076923076925,0.0,56.145,65.0625,11.842629482071713,29.607
15,3,1.0,3,1.0,0.3333333333333333,33.33333333333333,33.33333333333333,33.33333333333333,0.0,60.13333333333333,80.0,19.787516600265597,59.363
16,14,5.0,14,5.0,0.35714285714285715,35.714285714285715,35.714285714285715,0.0,0.0,55.84285714285715,66.0,11.240751280591924,31.474
17,34,13.0,34,13.0,0.38235294117647056,32.35294117647059,29.411764705882355,11.76470588235294,0.0,56.89595588235294,67.7125,13.338557534567611,34.885
18,10,2.0,10,2.0,0.2,20.0,10.0,0.0,0.0,52.96,64.0,5.498007968127486,27.49
19,10,2.0,10,2.0,0.2,20.0,0.0,0.0,0.0,51.86,58.5,3.3067729083665265,16.534
21,45,13.0,45,13.0,0.28888888888888886,17.77777777777778,11.11111111111111,4.444444444444445,0.0,53.364444444444445,61.15384615384615,6.3036741921204005,21.82
